CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14388
NOMBRE    : ZAPOTLANEJO (DGE)
ESTADO    : JALISCO
MUNICIPIO : ZAPOTLANEJO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.622°
LONGITUD  : -103.068°
ALTITUD   : 1,515 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    5.1    27.0    7.0
02/01/2008    0.0    4.7    20.0    7.0
03/01/2008    0.0    2.4    23.0    0.5
04/01/2008    0.0    3.5    25.0    1.0
05/01/2008    0.0    2.9    27.5    3.0
06/01/2008    0.0    3.6    29.0    5.0
07/01/2008    0.0    4.1    28.5    6.0
08/01/2008    0.0    4.1    28.0    4.5
09/01/2008    0.0    4.4    28.0    4.5
10/01/2008    0.0    3.8    27.0    5.0
11/01/2008    0.0    3.6    26.0    4.5
12/01/2008    0.0    3.5    25.5    5.0
13/01/2008    0.0    3.3    27.0    4.0
14/01/2008    0.0    4.4    27.0    4.5
15/01/2008    0.0    3.6    25.5    8.0
16/01/2008    0.0    3.0    23.5    4.0
17/01/2008    0.0    2.7    25.0    4.0
18/01/2008    0.0    2.6    22.5    5.0
19/01/2008    0.0    2.9    26.5    6.0
20/01/2008    0.0    2.8    23.0    7.0
21/01/2008    0.0    3.1    28.0    6.5
22/01/2008    0.0    3.8    29.0    6.5
23/01/2008    0.0    4.0    31.0    7.0
24/01/2008    0.0    4.2    30.5    8.5
25/01/2008    0.0    4.0    30.5    9.0
26/01/2008    0.0    3.8    30.0    9.0
27/01/2008    0.0    4.8    30.5    10.0
28/01/2008    0.0    4.4    30.0    8.5
29/01/2008    0.0    3.5    27.5    7.5
30/01/2008    0.0    4.7    29.5    7.5
31/01/2008    0.0    4.2    29.0    6.5
01/02/2008    0.0    4.6    27.5    6.5
02/02/2008    0.0    3.8    29.0    7.0
03/02/2008    0.0    4.6    28.0    7.0
04/02/2008    0.0    4.3    28.5    6.5
05/02/2008    0.0    4.8    29.0    6.0
06/02/2008    0.0    4.8    29.0    5.5
07/02/2008    0.0    4.4    27.0    5.5
08/02/2008    0.0    4.7    28.0    7.0
09/02/2008    0.0    4.1    30.0    6.5
10/02/2008    0.0    3.8    28.5    7.0
11/02/2008    0.0    4.9    27.5    8.0
12/02/2008    0.0    5.7    27.5    7.5
13/02/2008    0.0    5.2    28.0    6.5
14/02/2008    0.0    5.6    28.0    6.5
15/02/2008    0.0    7.0    30.5    5.0
16/02/2008    0.0    6.0    31.5    5.5
17/02/2008    0.0    6.7    30.5    6.0
18/02/2008    0.0    5.8    31.0    6.0
19/02/2008    0.0    6.1    31.0    7.5
20/02/2008    0.0    5.5    30.0    6.0
21/02/2008    0.0    5.3    29.5    6.0
22/02/2008    0.0    5.7    31.0    6.5
23/02/2008    0.0    6.2    32.0    6.5
24/02/2008    0.0    6.4    35.0    6.5
25/02/2008    0.0    7.0    33.0    9.0
26/02/2008    0.0    7.5    33.5    8.0
27/02/2008    0.0    5.9    30.0    8.0
28/02/2008    0.0    5.5    30.5    8.5
29/02/2008    0.0    5.9    30.0    8.0
01/03/2008    0.0    5.4    31.0    8.0
02/03/2008    0.0    7.1    31.0    9.0
03/03/2008    0.0    6.9    30.0    6.0
04/03/2008    0.0    5.9    30.0    7.0
05/03/2008    0.0    6.1    29.0    6.5
06/03/2008    0.0    2.6    27.5    5.5
07/03/2008    0.0    7.1    27.0    7.5
08/03/2008    0.0    7.0    28.0    3.0
09/03/2008    0.0    6.8    28.0    4.0
10/03/2008    0.0    6.4    29.5    5.5
11/03/2008    0.0    6.4    30.0    6.0
12/03/2008    0.0    7.3    31.5    8.0
13/03/2008    0.0    8.1    30.5    8.0
14/03/2008    0.0    7.9    30.0    5.5
15/03/2008    0.0    8.0    29.0    6.0
16/03/2008    0.0    8.3    30.5    8.0
17/03/2008    0.0    7.8    31.0    9.0
18/03/2008    0.0    7.8    31.5    9.5
19/03/2008    0.0    8.4    31.0    10.0
20/03/2008    0.0    8.2    31.5    8.0
21/03/2008    0.0    8.8    30.0    9.5
22/03/2008    0.0    8.1    30.5    9.0
23/03/2008    0.0    8.1    31.5    10.0
24/03/2008    0.0    7.9    31.0    10.5
25/03/2008    0.0    7.7    29.0    11.0
26/03/2008    0.0    8.0    31.0    9.5
27/03/2008    0.0    8.9    32.0    11.0
28/03/2008    0.0    8.1    31.5    9.5
29/03/2008    0.0    8.0    32.0    11.0
30/03/2008    0.0    8.2    31.5    11.0
31/03/2008    0.0    7.1    30.0    10.5
01/04/2008    0.0    8.2    32.5    10.5
02/04/2008    0.0    8.6    33.0    9.5
03/04/2008    0.0    7.9    33.5    10.0
04/04/2008    0.0    7.2    26.0    10.0
05/04/2008    0.0    8.1    33.5    9.0
06/04/2008    0.0    8.1    33.0    11.0
07/04/2008    0.0    8.9    34.0    10.0
08/04/2008    0.0    8.9    36.0    9.0
09/04/2008    0.0    7.3    33.0    9.0
10/04/2008    0.0    10.6    35.0    9.0
11/04/2008    0.0    8.5    34.0    9.0
12/04/2008    0.0    7.7    34.5    9.0
13/04/2008    0.0    8.7    33.5    9.5
14/04/2008    2.5    6.7    36.0    10.0
15/04/2008    0.0    6.7    32.0    12.0
16/04/2008    0.0    7.5    33.0    12.0
17/04/2008    0.0    10.1    34.0    11.0
18/04/2008    0.0    9.0    35.0    9.0
19/04/2008    0.0    9.3    34.5    9.0
20/04/2008    0.0    9.1    36.0    10.0
21/04/2008    0.0    9.2    38.0    11.0
22/04/2008    0.0    10.4    38.0    12.0
23/04/2008    0.0    10.1    38.0    13.0
24/04/2008    0.0    9.2    36.0    14.0
25/04/2008    0.0    7.2    36.0    12.0
26/04/2008    0.0    8.9    36.5    12.0
27/04/2008    0.0    12.7    36.0    11.0
28/04/2008    0.0    9.2    36.0    11.0
29/04/2008    0.0    9.6    35.0    11.0
30/04/2008    0.0    9.4    33.0    11.0
01/05/2008    0.0    9.8    34.0    10.0
02/05/2008    0.0    11.1    34.0    10.0
03/05/2008    0.0    8.9    36.0    11.0
04/05/2008    0.0    10.1    36.0    12.0
05/05/2008    0.0    8.0    35.0    13.0
