CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14390
NOMBRE    : EL CORCOVADO
ESTADO    : JALISCO
MUNICIPIO : AUTLAN DE NAVARRO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.846°
LONGITUD  : -104.284°
ALTITUD   : 900 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.5    33.0    13.0
02/01/2008    0.0    7.9    29.0    12.0
03/01/2008    0.0    5.3    30.0    15.0
04/01/2008    0.0    5.4    32.0    12.0
05/01/2008    0.0    2.5    33.0    11.0
06/01/2008    0.0    2.8    32.0    9.0
07/01/2008    0.0    4.1    32.0    9.0
08/01/2008    0.0    4.1    32.0    9.0
09/01/2008    0.0    4.2    32.0    9.0
10/01/2008    0.0    4.0    31.0    8.0
11/01/2008    0.0    3.4    27.0    8.0
12/01/2008    0.0    4.2    31.0    8.0
13/01/2008    0.0    4.0    32.0    7.0
14/01/2008    0.0    3.6    30.0    8.0
15/01/2008    0.0    4.1    29.0    11.0
16/01/2008    0.0    4.1    28.0    9.0
17/01/2008    0.0    4.2    27.0    7.5
18/01/2008    0.0    4.2    29.0    8.0
19/01/2008    0.0    4.2    39.0    11.0
20/01/2008    0.0    4.2    31.0    11.0
21/01/2008    0.0    5.2    32.0    11.0
22/01/2008    0.0    3.3    30.0    13.0
23/01/2008    0.0    5.6    35.0    11.0
24/01/2008    0.0    3.3    33.0    12.0
25/01/2008    0.0    4.2    32.0    13.0
26/01/2008    0.0    4.5    34.0    13.0
27/01/2008    0.0    4.4    33.0    12.0
28/01/2008    0.0    4.9    33.0    13.0
29/01/2008    0.0    4.7    34.3    13.0
30/01/2008    0.0    4.7    31.0    12.5
31/01/2008    0.0    4.5    32.0    12.0
