CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14395
NOMBRE    : IXTLAHUACAN DE SANTIAGO
ESTADO    : JALISCO
MUNICIPIO : UNION DE TULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.997°
LONGITUD  : -104.185°
ALTITUD   : 1,460 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008    0.0    4.0    36.0    8.0
02/01/2008    0.0    5.1    32.0    12.0
03/01/2008    0.0    5.0    30.0    6.5
04/01/2008    0.0    4.2    35.0    3.0
05/01/2008    0.0    4.7    30.0    5.0
06/01/2008    0.0    4.6    36.0    6.0
07/01/2008    0.0    5.3    29.0    2.0
08/01/2008    0.0    5.0    30.0    3.0
09/01/2008    0.0    3.8    29.0    4.0
10/01/2008    0.0    3.5    28.0    5.0
11/01/2008    0.0    3.7    27.0    4.0
12/01/2008    0.0    3.9    30.0    5.0
13/01/2008    0.0    4.0    29.0    3.0
14/01/2008    0.0    3.1    21.0    6.0
15/01/2008    0.0    4.9    23.0    7.0
16/01/2008    0.0    3.7    24.0    5.0
17/01/2008    0.0    3.9    21.0    2.5
18/01/2008    0.0    2.9    23.0    3.5
19/01/2008    0.0    3.1    24.0    5.0
20/01/2008    0.0    3.3    22.0    6.0
21/01/2008    0.0    3.4    27.0    7.0
22/01/2008    0.0    3.8    21.0    7.0
23/01/2008    0.0    4.5    31.0    7.0
24/01/2008    0.0    4.4    30.0    7.0
25/01/2008    0.0    3.8    30.5    9.0
26/01/2008    0.0    3.5    30.0    10.0
27/01/2008    0.0    5.7    30.0    9.0
28/01/2008    0.0    3.3    30.5    8.0
29/01/2008    0.0    4.5    30.0    7.0
30/01/2008    0.0    5.8    28.0    7.0
31/01/2008    0.0    4.9    30.0    8.0
01/02/2008    0.0    3.3    27.0    6.0
02/02/2008    0.0    3.6    27.0    6.0
03/02/2008    0.0    4.6    27.5    6.5
04/02/2008    0.0    4.9    28.0    7.0
05/02/2008    0.0    5.9    27.0    5.0
06/02/2008    0.0    5.1    28.0    5.0
07/02/2008    0.0    5.1    28.0    6.0
08/02/2008    0.0    4.1    28.0    6.5
09/02/2008    0.0    5.0    28.5    8.0
10/02/2008    0.0    5.9    29.0    7.5
11/02/2008    0.0    4.5    29.0    7.0
