,Archivo,Original,Falso nulo,Calculada,Valor O,Valor C
0,14002-ACATLAN DE JUAREZ.txt,"['01/08/2009', '0', '3.7', '34.5', '16']","['01/08/2009', 'Nulo', '3.7', '34.5', '16']","['01/08/2009', '0.0', '3.7', '34.5', '16.0']",0,0.0
1,14002-ACATLAN DE JUAREZ.txt,"['30/09/2009', '0', '4.1', '31', '16']","['30/09/2009', '0', '4.1', '31', 'Nulo']","['30/09/2009', '0.0', '4.1', '31.0', '16.7']",16,16.7
2,14002-ACATLAN DE JUAREZ.txt,"['06/04/2015', '0', '5.5', '28.5', '14.5']","['06/04/2015', '0', '5.5', 'Nulo', '14.5']","['06/04/2015', '0.0', '5.5', '28.6', '14.5']",28.5,28.6
3,14006-TEOCALTICHE.txt,"['13/08/2013', '0', '4.7', '29', '15']","['13/08/2013', 'Nulo', '4.7', '29', '15']","['13/08/2013', '0.0', '4.7', '29.0', '15.0']",0,0.0
4,14006-TEOCALTICHE.txt,"['08/08/2012', '0', '6.2', '32', '12.5']","['08/08/2012', '0', '6.2', 'Nulo', '12.5']","['08/08/2012', '0.0', '6.2', '30.4', '12.5']",32,30.4
5,14006-TEOCALTICHE.txt,"['31/08/2015', '23', '5.4', '29', '10']","['31/08/2015', 'Nulo', '5.4', '29', '10']","['31/08/2015', '2.6', '5.4', '29.0', '10.0']",23,2.6
6,14009-AMECA.txt,"['03/02/2009', '0', '5.6', '26.5', '8.5']","['03/02/2009', '0', 'Nulo', '26.5', '8.5']","['03/02/2009', '0.0', '4.7', '26.5', '8.5']",5.6,4.7
7,14009-AMECA.txt,"['23/09/2011', '0', '5.3', '30', '18']","['23/09/2011', '0', 'Nulo', '30', '18']","['23/09/2011', '0.0', '4.4', '30.0', '18.0']",5.3,4.4
8,14009-AMECA.txt,"['27/04/2017', '0', '10.5', '33.5', '7']","['27/04/2017', '0', '10.5', 'Nulo', '7']","['27/04/2017', '0.0', '10.5', '32.9', '7.0']",33.5,32.9
9,14011-LA HUERTA.txt,"['14/06/2011', '0', 'Nulo', '34', '26']","['14/06/2011', 'Nulo', 'Nulo', '34', '26']","['14/06/2011', '17.6', '5.6', '34.0', '26.0']",0,17.6
10,14011-LA HUERTA.txt,"['22/10/2015', '51.5', '3.6', '32.5', '26']","['22/10/2015', 'Nulo', '3.6', '32.5', '26']","['22/10/2015', '17.4', '3.6', '32.5', '26.0']",51.5,17.4
11,14011-LA HUERTA.txt,"['03/03/2014', '0', '3.5', '31.5', '15.5']","['03/03/2014', '0', '3.5', '31.5', 'Nulo']","['03/03/2014', '0.0', '3.5', '31.5', '15.9']",15.5,15.9
12,14016-IXTLAHUACAN DE LOS MEMBRILLOS.txt,"['27/10/2008', '0', '5.5', '24', '10']","['27/10/2008', '0', '5.5', '24', 'Nulo']","['27/10/2008', '0.0', '5.5', '24.0', '12.4']",10,12.4
13,14016-IXTLAHUACAN DE LOS MEMBRILLOS.txt,"['13/06/2010', '17.5', '6.9', '32', '16.5']","['13/06/2010', '17.5', 'Nulo', '32', '16.5']","['13/06/2010', '17.5', '6.9', '32.0', '16.5']",6.9,6.9
