CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14002
NOMBRE    : ACATLAN DE JUAREZ
ESTADO    : JALISCO
MUNICIPIO : ACATLAN DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.421°
LONGITUD  : -103.591°
ALTITUD   : 1,370 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    4.1    27.7    9.7
02/01/2008    0.0    3.0    23.6    9.1
03/01/2008    0.0    2.6    26.6    8.5
04/01/2008    0.0    3.0    28.3    6.0
05/01/2008    0.0    3.0    27.9    6.6
06/01/2008    0.0    3.5    29.6    7.9
07/01/2008    0.0    3.2    29.2    8.0
08/01/2008    0.0    4.0    29.4    7.3
09/01/2008    0.0    3.8    28.6    7.9
10/01/2008    0.0    3.8    29.4    7.8
11/01/2008    0.0    3.5    28.5    8.4
12/01/2008    0.0    3.4    27.1    8.5
13/01/2008    0.0    3.2    30.4    7.2
14/01/2008    0.0    3.9    29.2    7.2
15/01/2008    0.0    3.2    24.9    9.9
16/01/2008    0.0    4.1    25.1    7.6
17/01/2008    0.0    3.7    27.6    7.6
18/01/2008    0.0    2.0    23.2    10.1
19/01/2008    0.3    1.9    24.6    9.6
20/01/2008    0.0    2.5    25.0    9.6
21/01/2008    0.0    3.3    25.9    9.4
22/01/2008    0.0    3.2    27.6    9.5
23/01/2008    0.0    3.6    28.6    10.7
24/01/2008    0.0    4.3    28.6    11.4
25/01/2008    0.0    3.5    28.9    12.3
26/01/2008    0.0    3.3    29.2    14.0
27/01/2008    0.0    3.9    28.0    11.7
28/01/2008    0.0    3.7    27.8    11.4
29/01/2008    0.0    3.3    28.6    10.6
30/01/2008    0.0    4.0    29.2    10.5
31/01/2008    0.0    4.5    25.8    10.1
01/02/2008    0    4.3    31    6.5
02/02/2008    0    4.2    31    5
03/02/2008    0    4.2    31    5.5
04/02/2008    0    4.1    31    5
05/02/2008    0    4.6    31.5    4.5
06/02/2008    0    4.7    32    4.5
07/02/2008    0    3.5    29    5.5
08/02/2008    0    4.1    31    6
09/02/2008    0    4.2    32    6
10/02/2008    0    3    29    8
11/02/2008    0    4.4    30.5    11
12/02/2008    0    4.7    31    10
13/02/2008    0    4.5    31    5
14/02/2008    0    4.6    31    4.5
15/02/2008    0    4.4    32    3.5
16/02/2008    0    4.6    32.5    4
17/02/2008    0    5.7    33    4
18/02/2008    0    5.2    33.5    4
19/02/2008    0    5.1    33    4.5
20/02/2008    0    4.6    32.5    4
21/02/2008    0    4.5    32.5    5
22/02/2008    0    5.4    32.5    5
23/02/2008    0    5.1    32    4.5
24/02/2008    0    5.9    34.5    5
25/02/2008    0    5.7    34    6.5
26/02/2008    0    3.7    34.5    6
27/02/2008    0    5.4    34    7.5
28/02/2008    0    5.2    33.5    7
29/02/2008    0    5.2    33.5    6.5
01/03/2008    0    5.6    34    8
02/03/2008    0    5.3    33.5    9.5
03/03/2008    0    4.8    33    6
04/03/2008    0    5.5    33    4
05/03/2008    0    5.3    32.5    5
06/03/2008    0    5.6    30.5    3.5
07/03/2008    0    6.3    30    1
08/03/2008    0    6.7    30    7
09/03/2008    0    5.8    30    3.5
10/03/2008    0    5.8    31.5    4.5
11/03/2008    0    5.1    33    6
12/03/2008    0    6.8    33    6
13/03/2008    0    6.5    32    6.5
14/03/2008    0    6.3    33.5    4
15/03/2008    0    6    34    5
16/03/2008    0    6.8    33.5    5.5
17/03/2008    0    6.9    31    6
18/03/2008    0    8.6    30    9
19/03/2008    0    6.7    31    8
20/03/2008    0    6.8    32    9.5
21/03/2008    0    6.8    32.5    8.5
22/03/2008    0    6.7    33    9
23/03/2008    0    6.9    34    8.5
24/03/2008    0    6.9    34    7.5
25/03/2008    0    6.8    34.5    8
26/03/2008    0    6.9    34.5    7.5
27/03/2008    0    6.9    34.5    7
28/03/2008    0    7.1    35.5    7
29/03/2008    0    7.2    36    7
30/03/2008    0    7.1    36.5    7
31/03/2008    0    6.9    37    7
01/04/2008    0    6.9    37.5    7
02/04/2008    0    7.8    38.5    8.5
03/04/2008    0    7.5    37.5    8.5
04/04/2008    0    7.8    37.5    8
05/04/2008    0    6.9    35    9.5
06/04/2008    0    7.3    35    10.5
07/04/2008    0    7.6    35.5    10
08/04/2008    0    7.9    36    8
09/04/2008    0    7.7    36.5    9.5
10/04/2008    0    7.6    36    7.5
11/04/2008    0    6.9    36    8
12/04/2008    0    7.8    37    9
13/04/2008    0    7.6    35.5    12
14/04/2008    0    7.4    31    15.5
15/04/2008    0    6.3    33    14
16/04/2008    0    7.1    35    10.5
17/04/2008    0    8.1    35    9
18/04/2008    0    7.7    36.5    6.5
19/04/2008    0    7.6    37    9.5
20/04/2008    0    7.9    37.5    10
21/04/2008    0    8.1    39    9.5
22/04/2008    0    8.6    39    11
23/04/2008    0    7.8    38.5    11
24/04/2008    0    7.8    38    12.5
25/04/2008    0    7.9    37    9.5
26/04/2008    0    8.2    37    11
27/04/2008    0    7.6    37    9
28/04/2008    0    7.7    37.5    9
29/04/2008    0    7.6    37    9.5
30/04/2008    0    7.6    36    10.5
01/05/2008    0    8.4    35    9
02/05/2008    0    7.6    36    8
03/05/2008    0    7.9    36.5    8.5
04/05/2008    0    7.8    37.5    9.5
05/05/2008    0    7.1    36    12
06/05/2008    0    7.2    36    14
07/05/2008    0    6.5    35    14.5
08/05/2008    0    8.1    37    11.5
09/05/2008    0    7.9    37    12
10/05/2008    0    8.4    37.5    12
11/05/2008    0    7.8    39    13
12/05/2008    0    3.3    36    15.5
13/05/2008    0    7.6    36.5    12
14/05/2008    0    6.7    36    13
15/05/2008    0    2.8    31    15.5
16/05/2008    0    6.8    34.5    14
17/05/2008    0    6.7    33    13.5
18/05/2008    0    8    34    11
19/05/2008    0    5.8    32    12.5
20/05/2008    0    7.3    33    12
21/05/2008    0    8.2    32.5    12
22/05/2008    0    7.6    33    11
23/05/2008    0    7.4    32.5    10.5
24/05/2008    0    7.2    32    12
25/05/2008    0    6.7    33    13
26/05/2008    0    7.1    36    14
27/05/2008    11    6.7    37    14
28/05/2008    0    7.4    35    16
29/05/2008    0    8.8    33.5    17
30/05/2008    0    7.8    35.5    17
31/05/2008    0    6.5    36    16.5
01/06/2008    0    6.7    36.5    16
02/06/2008    0    8.5    37    16
03/06/2008    0    8.6    37.5    16
04/06/2008    0    8.8    37    15.5
05/06/2008    0    8.6    37    15.5
06/06/2008    0    8.4    37.5    16
07/06/2008    16    7.8    35    15.5
08/06/2008    0    7.8    35    15
09/06/2008    51    5.1    31    15
10/06/2008    13    1.6    23    17
11/06/2008    15.3    3.5    29.5    17.5
12/06/2008    2    3.8    30    16.5
13/06/2008    1    4.1    31    16
14/06/2008    2.5    4.2    32    17
15/06/2008    0    5.4    31.5    17
16/06/2008    0    6.4    33.5    17
17/06/2008    3.5    6.2    34    16.5
18/06/2008    0    6.2    33    17
19/06/2008    0    6.3    34.5    17
20/06/2008    14    6.1    34    17.5
21/06/2008    22    4.8    31    15.5
22/06/2008    5.5    4.4    30    16
23/06/2008    0    4.6    30    16
24/06/2008    21    6.7    31.5    17.5
25/06/2008    0    5.1    29    16
26/06/2008    0    5.8    31    17
27/06/2008    13    6.8    32    18
28/06/2008    0    5.4    30    16
29/06/2008    33.5    6.2    30    16.5
30/06/2008    7    3.5    27.5    17.5
01/07/2008    0    1.9    26    18
02/07/2008    0    4.7    29    17
03/07/2008    0    4.6    31    18
04/07/2008    5    5.5    31    16
05/07/2008    23.5    3.3    29    17
06/07/2008    21.5    1.5    27    17
07/07/2008    26.5    1    27.5    17.5
08/07/2008    15.5    0.9    25.5    18
09/07/2008    50    0.3    24    17.5
10/07/2008    15.5    0.4    25    16.5
11/07/2008    0    2.9    27    17
12/07/2008    6    2.8    29    16
13/07/2008    19    2.8    28.5    16.5
14/07/2008    0    3.1    28    16
15/07/2008    0    3.9    29    16
16/07/2008    0    4.4    30.5    16.5
17/07/2008    0    5.9    31    16.5
18/07/2008    0    3.8    29    16
19/07/2008    0    3.9    29    16.5
20/07/2008    0    4.8    30    16
21/07/2008    0    5.3    30    16.5
22/07/2008    0    5.9    30.5    16.5
23/07/2008    0    5.1    31    17.5
24/07/2008    20    5.7    32    18
25/07/2008    3.5    2.6    28.5    16.5
26/07/2008    3.5    4.2    28    16
27/07/2008    0    2.9    28    16.5
28/07/2008    0    5.1    30    15
29/07/2008    8.5    5.4    30.5    16.5
30/07/2008    0    4.4    30    15.5
31/07/2008    4    4.4    30.5    16.5
01/08/2008    0    5.1    30    15.5
02/08/2008    1    1.9    28    17
03/08/2008    0    4.1    29    15
04/08/2008    3    4.2    29.5    16.5
05/08/2008    0    4.9    30.5    17
06/08/2008    1    4.4    30.5    17
07/08/2008    0.5    1.8    26    16
08/08/2008    0    4    29    15
09/08/2008    0    4.9    31    14
10/08/2008    0    3.8    31    17
11/08/2008    2    3.7    31    17
12/08/2008    7    4.8    30.5    16.5
13/08/2008    0.5    4.8    31.5    16
14/08/2008    4.5    3.5    30.5    17
15/08/2008    2    4.7    31.5    17
16/08/2008    0    4.2    35    17.5
17/08/2008    10    3.5    30    18.5
18/08/2008    1    4.6    30    17
19/08/2008    13    3.2    29    16.5
20/08/2008    7    2    28.5    17
21/08/2008    7.5    4.9    30    16.5
22/08/2008    0    4.7    29    18
23/08/2008    0    3.3    28    17.5
24/08/2008    0    4.8    30.5    14
25/08/2008    5    5.3    31.5    17
26/08/2008    12    2.5    27.5    18
27/08/2008    38    3.5    28.5    18
28/08/2008    0    3.8    29    17
29/08/2008    2    2.5    28    17.5
30/08/2008    1.5    2.9    29    17.5
31/08/2008    0    3.8    29    17.5
01/09/2008    0    4.7    31.5    16
02/09/2008    14.5    4.6    32    17
03/09/2008    2    4.4    30    17
04/09/2008    0    5.2    31    17.5
05/09/2008    0    5.7    29    17
06/09/2008    0    4.7    30    16
07/09/2008    0.5    2.1    27.5    16.5
08/09/2008    0    1.9    27    17.5
09/09/2008    11    4.5    30.5    17
10/09/2008    10    3.8    30.5    17.5
11/09/2008    0    3.8    30    18.5
12/09/2008    0    4.6    31    17
13/09/2008    8    4.1    31    18.5
14/09/2008    9    2.5    28    17
15/09/2008    27    1.5    23    18
16/09/2008    0    2.2    28    16.5
17/09/2008    0    4.3    28.5    16.5
18/09/2008    27    5.3    29    16
19/09/2008    7.5    2.8    28    16
20/09/2008    40.5    3.5    29.5    16.5
21/09/2008    10    3.3    29    16
