CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14017
NOMBRE    : ATOTONILCO EL ALTO
ESTADO    : JALISCO
MUNICIPIO : ATOTONILCO EL ALTO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.550°
LONGITUD  : -102.508°
ALTITUD   : 1,600 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0    4.1    28    7
02/02/2008    0    4.7    28    6.5
03/02/2008    0    2.9    28    6
04/02/2008    0    2.8    28    6
05/02/2008    0    4.2    28    6
06/02/2008    0    3.1    27    6
07/02/2008    0    3.5    27    6
08/02/2008    2    4    28    6.5
09/02/2008    0    3.9    29    7
10/02/2008    0    3.6    28.5    7.5
11/02/2008    0    2.5    26.5    11
12/02/2008    0    4    27    8
13/02/2008    0    3.9    27    7
14/02/2008    0    4.2    28    6.5
15/02/2008    0    4.3    29    6.5
16/02/2008    0    4.5    29.5    5.5
17/02/2008    0    4.7    29.5    5.5
18/02/2008    0    3.8    30    5.5
19/02/2008    0    4.5    29    6.5
20/02/2008    0    4.2    28    6
21/02/2008    0    4    28    6
22/02/2008    0    3.5    30    6.5
23/02/2008    0    4.7    31    6
24/02/2008    0    4.5    33.5    6.5
25/02/2008    0    4.6    32    8.5
26/02/2008    0    5.1    32    8
27/02/2008    0    4    27.5    8
28/02/2008    0    4.1    28.5    8
29/02/2008    0    4.5    29    7
01/03/2008    0    3.8    30    7
02/03/2008    0    5.9    29.5    7
03/03/2008    0    5.1    28.5    6
04/03/2008    0    4.2    28.5    6.5
05/03/2008    0    5.3    29.5    6
06/03/2008    0    5.7    26    5
07/03/2008    0    5.1    26.5    2.5
08/03/2008    0    4.2    26.5    3
09/03/2008    0    4.4    26.5    4
10/03/2008    0    4.5    28    4.5
11/03/2008    0    4    29.5    6.5
12/03/2008    0    5.1    30    7.5
13/03/2008    0    4.9    28.5    8
14/03/2008    0    4.5    29.5    6.5
15/03/2008    0    4.6    31.5    6
16/03/2008    0    5.3    30.5    6.5
17/03/2008    0    5.9    29.5    7
18/03/2008    0    5.8    27.5    7.5
19/03/2008    0    4.4    28    8
20/03/2008    0    3    29    7
21/03/2008    0    5.4    31    7
22/03/2008    0    5.8    30    8
23/03/2008    0    4.4    30    7.5
24/03/2008    0    4.3    29    9.5
25/03/2008    0    4.7    28    10.5
26/03/2008    0    4.4    30.5    9.5
27/03/2008    0    5.4    31    9.5
28/03/2008    0    5.4    31.5    8.5
29/03/2008    0    5.4    32.5    9
30/03/2008    0    5.3    32.5    8.5
31/03/2008    0    5.4    34    8.5
01/04/2008    0    5.4    35    9
02/04/2008    0    5.2    35    10
03/04/2008    0    6.7    24.5    11
04/04/2008    0    5.4    33.5    10
05/04/2008    0    4.2    33    9.5
06/04/2008    0    4.2    33    9
07/04/2008    0    5.8    32.5    9
08/04/2008    0    5.8    33    10
09/04/2008    0    6.5    33    10
10/04/2008    0    6.2    33    9
11/04/2008    0    5.7    33    9
12/04/2008    0    0.6    34    9.5
13/04/2008    10    0.6    31    12.5
14/04/2008    0    5.4    28    13
15/04/2008    0    5.4    31    14
16/04/2008    0    4.9    31    13.5
17/04/2008    0    6.4    32    11
18/04/2008    0    5.9    33.5    8
19/04/2008    0    5.3    33.5    8
20/04/2008    0    5.9    33.5    11.5
21/04/2008    0    6.4    35.5    10.5
22/04/2008    0    6.7    36.5    10
23/04/2008    0    6.1    35    12
24/04/2008    0    6.5    34.5    14
25/04/2008    0    6.1    34.5    11.5
26/04/2008    0    6.1    34    11
27/04/2008    0    4.1    34    11
28/04/2008    3    4.1    34    11
29/04/2008    0    6.8    32.5    13
30/04/2008    0    6.5    32    12
01/05/2008    0    7.7    32.5    10
02/05/2008    0    6.7    32.5    9
03/05/2008    0    6    33.5    9.5
04/05/2008    0    5.6    34    10.5
05/05/2008    0    6.2    33.5    13
06/05/2008    0    6.2    33.5    14
07/05/2008    0    5.8    32.5    14.5
08/05/2008    0    5.5    35.5    13.5
09/05/2008    0    4.2    36    13.5
10/05/2008    0    4.9    32    14
11/05/2008    0    8.2    37.5    14.5
12/05/2008    4    1.5    36    14.5
13/05/2008    0    5.5    33.5    13.5
14/05/2008    0    6    34    13.5
15/05/2008    0    5    31.5    15
16/05/2008    0    5.2    32    14.5
17/05/2008    0    6.5    32    14.5
18/05/2008    0    5.8    32    12.5
19/05/2008    0    5.5    30.5    12
20/05/2008    0    6.8    31    12.5
21/05/2008    0    5.9    31.5    16
22/05/2008    0    6.7    31    16
23/05/2008    0    5.9    32    12
24/05/2008    0    6.3    34.5    12
25/05/2008    0    6.8    36    13
26/05/2008    0    5.9    34.5    16
27/05/2008    0    5.5    35    16
28/05/2008    0    7.1    34.5    16
29/05/2008    0    7.8    33    16
30/05/2008    0    6.7    34    15
31/05/2008    0    6.7    33    15
01/06/2008    0    6.7    36    15
02/06/2008    0    7.8    35    15
03/06/2008    0    6.8    35    15
04/06/2008    0    1    35    15
05/06/2008    0    9.6    35    16
06/06/2008    8    5.1    35    15.5
07/06/2008    2.5    5.5    33    15.5
08/06/2008    5.5    6.7    30.5    17
09/06/2008    18.5    3.8    30    17.5
10/06/2008    30    2.3    27.5    17
11/06/2008    10.5    0.8    25.5    17
12/06/2008    17.5    2    26    16.5
13/06/2008    11.5    5    29.5    15.5
14/06/2008    0    4    30    16
15/06/2008    7.5    2.7    30    16
16/06/2008    3    6    30    15
17/06/2008    30.5    7.4    31.5    15
18/06/2008    0    4.2    31    15
19/06/2008    0    3.1    30    15.5
20/06/2008    8    4.9    32.5    16.5
21/06/2008    2    2.6    30    16
22/06/2008    4    5.1    30    16
23/06/2008    0    4    29.5    15
24/06/2008    7    4.7    29.5    15
25/06/2008    2.5    5.4    30.5    16.5
26/06/2008    1.5    3.8    30.5    16
27/06/2008    10    3    31    16
28/06/2008    3    3.8    31    16
29/06/2008    0    3.6    31    15
30/06/2008    9.5    3.3    29.5    15
01/07/2008    1.5    5.2    26    16
02/07/2008    4.5    4.6    29.5    16
03/07/2008    4.5    3.7    27    16
04/07/2008    5    3.4    29.5    17.5
05/07/2008    9.5    2.3    26.5    17
06/07/2008    37    5    27.5    16
07/07/2008    36.5    3.5    26    16
08/07/2008    38    3.3    25.5    16.5
09/07/2008    16    0.6    23    16.5
10/07/2008    7    3.3    27    16
11/07/2008    1.5    2.7    27    16
12/07/2008    4.5    3.3    27    15
13/07/2008    0    4.4    29.5    15
14/07/2008    8.5    2.6    27.5    15
15/07/2008    6    4.1    29.5    14.5
16/07/2008    0    4.6    29.5    14.5
17/07/2008    0    3.9    30    14.5
18/07/2008    0    3.2    28.5    14.5
19/07/2008    21.5    6.5    30.5    14.5
20/07/2008    0    4.9    30    14.5
21/07/2008    0    5.7    30    14.5
22/07/2008    0    4.4    30.5    13
23/07/2008    0    5    30    13
24/07/2008    35.5    5    30.5    17.5
25/07/2008    5.5    2    28    16.5
26/07/2008    7.5    6.6    28.5    16
27/07/2008    0    5    28    13.5
28/07/2008    0    7.7    30    13.5
29/07/2008    2.5    5.3    30    14
30/07/2008    3    5    29.5    16
31/07/2008    45    9.3    30    16
01/08/2008    0    5    29    15
02/08/2008    0    2.5    29    15.5
03/08/2008    31.5    7.6    29    15
04/08/2008    3.5    0.7    28    14
05/08/2008    0    4.6    29.5    16
06/08/2008    0    3.2    28.5    15.5
07/08/2008    0    1.6    27.5    16
08/08/2008    0    1.6    28    15
09/08/2008    0    3.5    29.5    15.5
10/08/2008    2    3.3    30.5    13
11/08/2008    2.5    5.8    30    13
12/08/2008    0.0    4.5    26.5    15
13/08/2008    0.2    4.3    26.2    15.2
14/08/2008    13.6    4.3    26.5    13.8
15/08/2008    1.0    4.2    26.5    14.5
16/08/2008    4.0    4.2    23.8    13.6
17/08/2008    0.0    3.9    23.2    14.5
18/08/2008    20    3.2    28    14.5
19/08/2008    0    0.9    23    17
20/08/2008    4    3.3    28.5    17
21/08/2008    1    3.4    28    17
22/08/2008    1    2.5    29.5    16
23/08/2008    1    2.5    29.5    16
24/08/2008    10.5    5.9    29.5    14
25/08/2008    20    5.4    29.5    14.5
26/08/2008    11.5    1.7    24    17
27/08/2008    5    3.6    28    17
28/08/2008    10    4.1    29    16
29/08/2008    0    3.7    29    16
30/08/2008    12.5    4.3    30    16.5
31/08/2008    6    4.5    29.5    16
01/09/2008    0    3.2    30    15
02/09/2008    7    3.9    30    15
03/09/2008    0    4.9    30.5    16
04/09/2008    0    4.6    30.5    14.5
05/09/2008    0    4.8    31    14
