CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14024
NOMBRE    : CAJON DE PEÑA
ESTADO    : JALISCO
MUNICIPIO : TOMATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.993°
LONGITUD  : -105.130°
ALTITUD   : 132 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0    4.2    29    19
02/02/2008    0    4.9    30.5    18.5
03/02/2008    0    5.4    32    19
04/02/2008    0    4.9    29    18.5
05/02/2008    0    5.1    28.5    17
06/02/2008    0    4.7    29.5    16.5
07/02/2008    0    5.4    29.5    18
08/02/2008    0    4.1    30    19
09/02/2008    0    5.8    29    19
10/02/2008    0    2.3    30    18
11/02/2008    0    5.6    31    17.5
12/02/2008    0    3.4    30.5    17
13/02/2008    0    5    30.5    18
14/02/2008    0    6.9    31    15.5
15/02/2008    0    6.9    31.5    16.5
16/02/2008    0    6    32.5    17
17/02/2008    0    5.3    29.5    14.5
18/02/2008    0    5.6    27.5    13.5
19/02/2008    0    4.6    29    13.5
20/02/2008    0    4.8    29.5    15.5
21/02/2008    0    5.6    28.5    17
22/02/2008    0    3.1    30    17
23/02/2008    0    6.7    29.5    17.5
24/02/2008    0    6    29    17
25/02/2008    0    6.9    30    15.5
26/02/2008    0    5.6    29    15
27/02/2008    0    5.8    29    16.5
28/02/2008    0    6.4    29.5    15.5
29/02/2008    0    6.8    31.5    17.5
01/03/2008    0    5.6    32    18
02/03/2008    0    6.2    28    18
03/03/2008    0    5.1    31    16.5
04/03/2008    0    7    31    17
05/03/2008    0    6.8    31    13.5
06/03/2008    0    6.8    31.5    15.5
07/03/2008    0    7.9    32    15
08/03/2008    0    8.7    30    15
09/03/2008    0    6.4    30.5    15
10/03/2008    0    8    33    16
11/03/2008    0    7.9    33.5    17
12/03/2008    0    9    30.5    16
13/03/2008    0    7.9    29.5    15.5
14/03/2008    0    7.2    32    16
15/03/2008    0    8.8    30.5    14
16/03/2008    0    6.9    29.5    15
17/03/2008    0    7.1    29    14
18/03/2008    0    7.8    19.5    14.5
19/03/2008    0    8    30.5    13.5
20/03/2008    0    8    31    15.5
21/03/2008    0    8    31.5    18
22/03/2008    0    7.1    32.5    18
23/03/2008    0    8    32    18
24/03/2008    0    8    31    16
25/03/2008    0    7.3    30.5    15.5
26/03/2008    0    7.7    33    19
27/03/2008    0    8.9    34.5    19
28/03/2008    0    9    35    14
29/03/2008    0    9.4    34.5    15.5
30/03/2008    0    9.7    32    14.5
31/03/2008    0    6.8    32.5    14
01/04/2008    0    7.9    30    14
02/04/2008    0    7.3    30.5    16
03/04/2008    0    7.7    31.5    17.5
04/04/2008    0    8.3    32.5    19.5
05/04/2008    0    8.3    31    18.5
06/04/2008    0    7.1    30    20.5
07/04/2008    0    6.4    31    20
08/04/2008    0    6.6    32.5    17.5
09/04/2008    0    8.1    31.5    19.5
10/04/2008    0    7.1    31    19
11/04/2008    0    7.5    32    18
12/04/2008    0    7.4    30.5    18.5
13/04/2008    0    6.9    33    18.5
14/04/2008    0    8.7    32.5    20.5
15/04/2008    0    8.1    33.5    22
16/04/2008    0    6.6    33    20.5
17/04/2008    0    8.6    33.5    16
18/04/2008    0    8.1    34    18
19/04/2008    0    5.1    32    18
20/04/2008    0    6.6    35    19
21/04/2008    0    8.4    35.5    20
22/04/2008    0    9.9    32.5    18.5
23/04/2008    0    9.2    33    18
24/04/2008    0    8.9    33.5    18.5
25/04/2008    0    8.1    34    19
26/04/2008    0    8.4    32    19
27/04/2008    0    8.1    32.5    20
28/04/2008    0    7.4    33    20
29/04/2008    0    7.9    33.5    17.5
30/04/2008    0    8.6    33.5    17.5
01/05/2008    0    7.3    34    18.5
02/05/2008    0    9.1    34.5    19
03/05/2008    0    8    35    18.5
04/05/2008    0    9.9    32    19
05/05/2008    0    7    34.5    18.5
06/05/2008    0    9.2    34.5    20
07/05/2008    0    8.8    33.5    23
08/05/2008    0    9.3    34    23
09/05/2008    0    8.7    34    19
10/05/2008    0    9.5    33.5    20.5
11/05/2008    0    9.3    33    20.5
12/05/2008    0    7.8    34    21
13/05/2008    0    7.4    34.5    22
14/05/2008    0    7.3    34.5    22
15/05/2008    0    8.9    35    23
16/05/2008    0    8.5    34    23
17/05/2008    0    10    33.5    23
18/05/2008    0    6.5    34    23.5
19/05/2008    0    8.6    33    20.5
20/05/2008    0    8    32    22.5
21/05/2008    0    8.6    29.5    19
22/05/2008    0    7.2    31.5    19
23/05/2008    0    8.9    31.5    20
24/05/2008    0    7.3    31    20
25/05/2008    0    7.5    31.5    21
26/05/2008    0    7    31    21
27/05/2008    0    7.8    32    21
28/05/2008    0    5.8    32.5    22
29/05/2008    0    9    32.5    24
30/05/2008    0    8    32.5    23
31/05/2008    0    8    33.5    23
01/06/2008    0    8.1    33.5    22
02/06/2008    0    9.9    32.5    21.5
03/06/2008    0    8.2    31.5    21.5
04/06/2008    0    7.8    32    21.5
05/06/2008    0    7.2    31.5    24
06/06/2008    0    7.1    32    23.5
07/06/2008    0    8.4    37    24
08/06/2008    0    4.5    29    24.5
09/06/2008    0    5.5    25    23.5
10/06/2008    0    1.1    25    23.5
11/06/2008    0    1.1    26    23
12/06/2008    0    1.1    29.5    22
13/06/2008    0    3.2    31.5    22.5
14/06/2008    0    7.3    32    21.5
15/06/2008    0    5.9    34.5    23.5
16/06/2008    0    4.9    32    24
17/06/2008    0    3.2    32.5    23.5
18/06/2008    0    5    29    24
19/06/2008    0    3.9    30    24
20/06/2008    0    4.9    30.5    24
21/06/2008    0    5.1    29.5    25
22/06/2008    16    2.1    27.5    24
23/06/2008    0    3.6    30.5    23.5
24/06/2008    0    7.7    33.5    21.5
25/06/2008    0    8.8    35    25
26/06/2008    0    8.9    30    26
27/06/2008    0    4.2    31.5    25
28/06/2008    0    3.6    33.5    24.5
29/06/2008    0    5.2    33    23.5
30/06/2008    0    4.2    33    24.5
01/07/2008    22.5    6.7    25.5    24.5
02/07/2008    1    4.1    28.5    24
03/07/2008    0    6.5    31.5    23.5
04/07/2008    0    8.2    31.5    24.5
05/07/2008    0    6.5    30.5    25
06/07/2008    50.5    3    26    24.5
07/07/2008    41.5    1.2    25.5    24
08/07/2008    7.5    3    27.5    22.5
09/07/2008    0    1.8    27.5    23
10/07/2008    0    1.2    29.5    23
11/07/2008    0    1.7    28    20.3
12/07/2008    17    1.8    30.5    24
13/07/2008    4.5    5.6    28.5    24
14/07/2008    13    4.4    26.5    22.5
15/07/2008    37    4.9    26    23
16/07/2008    0    6.9    31    22.5
17/07/2008    0    5.7    30.5    23
18/07/2008    0    2.8    31    24
19/07/2008    45    5.9    31    24.5
20/07/2008    0    8.3    30.5    23.5
21/07/2008    0    5.6    32    24.5
22/07/2008    13.5    6.2    30.5    24.5
23/07/2008    0    6.1    26    24
24/07/2008    34    3.3    30.5    24.5
25/07/2008    98    6.9    29.5    24
26/07/2008    19    3    31    22.5
27/07/2008    0    7.2    31    23
28/07/2008    0    2.4    31    23.5
29/07/2008    0    5.8    32    24.5
30/07/2008    0    4.6    27    25
31/07/2008    57    1.2    29    23.5
01/08/2008    0    1    30.5    23.5
02/08/2008    0    3    30.5    24
03/08/2008    0    4.7    31    23.5
04/08/2008    0    7.3    32    24.5
05/08/2008    6.5    6    29.5    25
06/08/2008    0    4.5    30    24.5
07/08/2008    30.5    4.9    27    22.5
08/08/2008    0    2.2    31    23
09/08/2008    0    7.3    32    22.5
10/08/2008    0    5.8    31.5    23.5
11/08/2008    45    7.1    31    26
12/08/2008    27    7.1    27.5    24
13/08/2008    0    8    30.5    24.5
14/08/2008    9.5    4.9    30.5    24.5
15/08/2008    0    5.5    30.5    24.5
16/08/2008    0    4.4    30.5    24
17/08/2008    0    4.2    28    24
18/08/2008    0    3.5    30    24.5
19/08/2008    0    4.5    28.5    24.5
20/08/2008    0    3.5    30.5    25
21/08/2008    0    5.7    29    24.5
22/08/2008    29.5    5.4    31    24.5
23/08/2008    3.5    2.6    29    24.5
24/08/2008    0    1.7    30.5    24
25/08/2008    0    5.2    30    24
26/08/2008    18.5    6.4    27.5    24.5
27/08/2008    11    3.2    27    24.5
28/08/2008    5    3.9    26    24.5
29/08/2008    0    2.9    29.5    24
30/08/2008    22.5    1.1    30    24.5
31/08/2008    13    7.9    31    25
01/09/2008    3    3.4    30    24.5
02/09/2008    19    2.4    26    24.5
03/09/2008    0    4.1    31    24
04/09/2008    0    4.3    32.5    24
05/09/2008    0    6.7    30.5    24.5
