CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14025
NOMBRE    : CALERA
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.498°
LONGITUD  : -102.586°
ALTITUD   : 1,800 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    Nulo    Nulo    Nulo    Nulo
02/01/2008    Nulo    Nulo    Nulo    Nulo
03/01/2008    Nulo    Nulo    Nulo    Nulo
04/01/2008    Nulo    Nulo    Nulo    Nulo
05/01/2008    Nulo    Nulo    Nulo    Nulo
06/01/2008    Nulo    Nulo    Nulo    Nulo
07/01/2008    Nulo    Nulo    Nulo    Nulo
08/01/2008    Nulo    Nulo    Nulo    Nulo
09/01/2008    Nulo    Nulo    Nulo    Nulo
10/01/2008    Nulo    Nulo    Nulo    Nulo
11/01/2008    Nulo    Nulo    Nulo    Nulo
12/01/2008    Nulo    Nulo    Nulo    Nulo
13/01/2008    Nulo    Nulo    Nulo    Nulo
14/01/2008    Nulo    Nulo    Nulo    Nulo
15/01/2008    Nulo    Nulo    Nulo    Nulo
16/01/2008    Nulo    Nulo    Nulo    Nulo
17/01/2008    Nulo    Nulo    Nulo    Nulo
18/01/2008    Nulo    Nulo    Nulo    Nulo
19/01/2008    Nulo    Nulo    Nulo    Nulo
20/01/2008    Nulo    Nulo    Nulo    Nulo
21/01/2008    Nulo    Nulo    Nulo    Nulo
22/01/2008    Nulo    Nulo    Nulo    Nulo
23/01/2008    Nulo    Nulo    Nulo    Nulo
24/01/2008    Nulo    Nulo    Nulo    Nulo
25/01/2008    Nulo    Nulo    Nulo    Nulo
26/01/2008    Nulo    Nulo    Nulo    Nulo
27/01/2008    Nulo    Nulo    Nulo    Nulo
28/01/2008    Nulo    Nulo    Nulo    Nulo
29/01/2008    Nulo    Nulo    Nulo    Nulo
30/01/2008    Nulo    Nulo    Nulo    Nulo
31/01/2008    Nulo    Nulo    Nulo    Nulo
01/02/2008    0    4.5    40    17
02/02/2008    0    4.0    41    18
03/02/2008    0    3.7    39    18
04/02/2008    0    5.0    39    19
05/02/2008    0    5.1    40    18
06/02/2008    0    4.2    39    18
07/02/2008    0    4.3    40    19
08/02/2008    0    4.0    41    18
09/02/2008    0    4.6    41    18
10/02/2008    0    3.0    41    19
11/02/2008    0    4.9    42    19
12/02/2008    0    4.1    41    21
13/02/2008    0    4.8    41    21
14/02/2008    0    5.0    31    21
15/02/2008    0    4.5    40    21
16/02/2008    0    5.1    37    20
17/02/2008    0    6.8    38    21
18/02/2008    0    5.6    39    19
19/02/2008    0    5.7    37    22
20/02/2008    0    6.0    32    21
21/02/2008    0    6.1    32    19
22/02/2008    0    6.1    39    19
23/02/2008    0    5.1    39    19
24/02/2008    0    5.7    38    21
25/02/2008    0    6.1    36    19
26/02/2008    0    5.5    34    22
27/02/2008    0    6.5    33    21
28/02/2008    0    5.0    41    20
29/02/2008    0    5.7    40    20
01/03/2008    0    5.2    39    19
02/03/2008    0    7.1    39    19
03/03/2008    0    8.7    43    19
04/03/2008    0    7.5    44    22
05/03/2008    0    6.3    44    21
06/03/2008    0    10.2    44    17
07/03/2008    0    7.1    45    18
08/03/2008    0    5.8    32    17
09/03/2008    0    8.0    34    20
10/03/2008    0    9.8    36    21
11/03/2008    0    5.2    39    20
12/03/2008    0    7.1    38    19
13/03/2008    0    8.8    41    21
14/03/2008    0    8.0    40    14
15/03/2008    0    6.8    39    14
16/03/2008    0    7.2    41    13
17/03/2008    0    8.0    42    14
18/03/2008    0    9.5    41    13
19/03/2008    0    10.3    42    13
20/03/2008    0    5.7    43    18
21/03/2008    0    6.2    42    19
22/03/2008    0    6.9    43    19
23/03/2008    0    8.9    42    20
24/03/2008    0    7.3    42    20
25/03/2008    0    5.3    41    19.5
26/03/2008    0    6.5    42    20
27/03/2008    0    7.6    40    20
28/03/2008    0    8.4    41    19
29/03/2008    0    8.5    39    19
30/03/2008    0    9.0    40    20
31/03/2008    0    11.2    40    19
01/04/2008    0    8.8    42    21
02/04/2008    0    6.1    43    20
03/04/2008    0    7.2    42    21
04/04/2008    0    10.4    42    21
05/04/2008    0    10.7    43    19
06/04/2008    0    10.6    41    19
07/04/2008    0    8.9    45    19
08/04/2008    0    9.2    44    21
09/04/2008    0    10.4    43    20
10/04/2008    0    9.5    46    20
11/04/2008    0    8.8    45    18.5
12/04/2008    0    5.4    45    19
13/04/2008    0    7.0    45    19
14/04/2008    0    5.3    46    19
15/04/2008    0    7.1    46    18
16/04/2008    0    6.0    42    19
17/04/2008    0    8.2    41    22
18/04/2008    0    7.6    40    21
19/04/2008    0    8.3    41    20
20/04/2008    0    9.5    42    21
21/04/2008    0    8.5    41    21
22/04/2008    0    9.0    41    20
23/04/2008    0    11.3    43    21
24/04/2008    0    7.4    42    22
25/04/2008    0    9.3    43    22
26/04/2008    0    9.9    41    21
27/04/2008    0    10.4    40    21
28/04/2008    0    9.8    43    19
29/04/2008    0    7.7    42    22
30/04/2008    0    8.4    43    20
01/05/2008    0    10.0    42    21
02/05/2008    0    9.8    41    20
03/05/2008    0    6.0    42    19
04/05/2008    0    8.7    39    21
05/05/2008    0    8.4    39    21
06/05/2008    0    8.2    41    19
07/05/2008    0    8.6    41    20
08/05/2008    0    9.4    41    20
09/05/2008    0    8.8    40    18
10/05/2008    0    9.2    41    19
11/05/2008    0    9.3    44    19
12/05/2008    0    8.1    42    20
13/05/2008    0    9.2    46    20
14/05/2008    3    9.2    45    21
15/05/2008    0    6.2    46    21
16/05/2008    0    6.9    47    19
17/05/2008    0    9.6    47    21
18/05/2008    0    10.0    42    20
19/05/2008    0    7.1    47    20
20/05/2008    0    8.5    47    20
21/05/2008    0    8.6    46    19
22/05/2008    0    10.0    47    18
23/05/2008    0    9.9    46    20
24/05/2008    0    7.7    46    20
25/05/2008    0    8.7    45    19
26/05/2008    0    9.9    47    18
27/05/2008    0    9.9    46    20
28/05/2008    0    9.7    47    19
29/05/2008    0    9.7    46    19
30/05/2008    0    9.2    47    20
31/05/2008    0    9.8    46    21
01/06/2008    0    9.3    45    21
02/06/2008    0    9.8    47    21
03/06/2008    0    11.0    47    21
04/06/2008    0    9.9    46    20
05/06/2008    0    9.4    47    20
06/06/2008    0    9.2    48    19
07/06/2008    0    5.8    45    19
08/06/2008    2    4.7    47    21
09/06/2008    4    6.7    46    19
10/06/2008    7    4.6    47    21
11/06/2008    9    5.8    46    19
12/06/2008    0    4.5    47    22
13/06/2008    0    5.8    45    20
14/06/2008    0    4.1    49    21
15/06/2008    0    5.5    47    21
16/06/2008    0    5.6    48    22
17/06/2008    0    6.8    47    19
18/06/2008    0    5.6    47    19
19/06/2008    0    7.7    47    19
20/06/2008    0    7.0    47    20
21/06/2008    0    8.0    47    21
22/06/2008    0.1    5.9    42    20
23/06/2008    0    8.1    46    20
24/06/2008    0    4.1    47    20
25/06/2008    0    6.5    47    19
26/06/2008    7    7.4    46    20
27/06/2008    9    6.7    48    20
28/06/2008    3    6.1    48    19
29/06/2008    0    5.6    48    20
30/06/2008    0    4.2    48    21
01/07/2008    0    4.0    47    21
02/07/2008    0    2.7    48    20
03/07/2008    2    3.7    47    20
04/07/2008    7    4.0    48    21
05/07/2008    5    3.5    47    20
06/07/2008    9    4.0    48    19
07/07/2008    8    2.8    47    19
08/07/2008    6    2.3    48    20
09/07/2008    9    1.5    47    19
10/07/2008    0    1.4    47    19
11/07/2008    0    3.0    41    19
12/07/2008    0    2.6    39    19
13/07/2008    0    4.6    39    20
14/07/2008    0    5.8    37    20
15/07/2008    0    5.1    37    19
16/07/2008    0    6.4    40    19
17/07/2008    0    6.2    40    22
18/07/2008    0    4.8    38    22
19/07/2008    0    4.6    39    20
20/07/2008    0    4.4    38    21
21/07/2008    2    4.9    39    20
22/07/2008    0    5.0    39    22
23/07/2008    0    5.4    38    21
24/07/2008    0    4.1    37    19
25/07/2008    0    4.0    37    19
26/07/2008    0    3.8    38    19
27/07/2008    0    4.5    38    20
28/07/2008    7    4.8    37    19
29/07/2008    0    7.6    39    20
30/07/2008    0    7.6    36    24
31/07/2008    0    4.9    38    25
01/08/2008    0    4.4    38    22
02/08/2008    0    5.2    37    24
03/08/2008    6    5.6    36    24
04/08/2008    0    4.8    37    23
05/08/2008    0    5.3    34    22
06/08/2008    0    6.0    33    22
07/08/2008    0    4.8    35    22
08/08/2008    0    3.9    32    24
09/08/2008    0    4.0    33    23
10/08/2008    0    5.2    36    23
11/08/2008    0    4.2    34    23
12/08/2008    11    6.2    36    23
13/08/2008    9    5.3    36    22
14/08/2008    14    5.3    35    21
15/08/2008    6    4.6    33    22
16/08/2008    0    5.7    36    23
17/08/2008    11    4.0    33    23
18/08/2008    0    3.9    37    21
19/08/2008    13    3.6    38    23
20/08/2008    9    3.9    36    24
21/08/2008    16    1.7    35    24
22/08/2008    12    4.0    36    22
23/08/2008    7.5    2.7    35    22
24/08/2008    0    4.3    34    22
25/08/2008    0    3.8    37    22
26/08/2008    0    2.2    34    22
27/08/2008    0    1.7    33    24
28/08/2008    11    3.3    33    24
29/08/2008    6    4.5    36    24
30/08/2008    6    2.3    34    23
31/08/2008    0    3.8    36    23
01/09/2008    0.0    4.4    33    24
02/09/2008    0.0    4.6    34    21
03/09/2008    0.0    4.5    37    22
04/09/2008    0.0    5.8    36    22
05/09/2008    0.0    4.9    36    21
06/09/2008    0.0    4.8    37    22
07/09/2008    0.1    6.1    37    22
08/09/2008    3.9    2.4    36    23
09/09/2008    1.1    3.7    35    23
10/09/2008    1.7    3.0    36    20
11/09/2008    0.0    2.9    38    21
12/09/2008    0.1    3.4    39    23
13/09/2008    1.5    4.2    38    22
14/09/2008    4.6    2.8    37    21
15/09/2008    14.5    3.0    34    22
16/09/2008    0.0    1.1    34    22
17/09/2008    0.2    3.6    37    20
18/09/2008    0.7    4.2    33    22
19/09/2008    0.0    4.3    35    21
20/09/2008    0.0    3.7    36    21
21/09/2008    0.0    4.0    33    22
22/09/2008    0.0    2.4    36    20
23/09/2008    0.0    1.9    34    20
24/09/2008    3.7    3.1    33    20
25/09/2008    0.0    2.7    34    20
