CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14029
NOMBRE    : CONCEPCION DE BUENOS AIRES
ESTADO    : JALISCO
MUNICIPIO : CONCEPCION DE BUENOS AIRES
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.978°
LONGITUD  : -103.261°
ALTITUD   : 1,639 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008    0.0    5.4    25.8    9.2
02/01/2008    0.0    5.4    21.8    9.2
03/01/2008    0.0    3.1    17.7    6.8
04/01/2008    0.0    3.1    19.8    4.6
05/01/2008    0.0    1.3    24.5    5.8
06/01/2008    0.0    3.3    25.0    6.2
07/01/2008    0.0    3.9    24.8    7.2
08/01/2008    0.0    4.1    24.8    6.8
09/01/2008    0.0    3.5    25.7    6.8
10/01/2008    0.0    5.1    26.1    6.8
11/01/2008    0.0    4.0    24.7    7.4
12/01/2008    0.0    3.1    23.5    6.8
13/01/2008    0.0    3.3    24.5    6.7
14/01/2008    0.0    3.4    23.7    8.5
15/01/2008    0.0    3.5    24.5    10.2
16/01/2008    0.0    5.2    23.5    7.6
17/01/2008    0.0    3.0    22.9    7.6
18/01/2008    0.0    4.1    24.3    9.2
19/01/2008    0.0    1.7    23.5    9.4
20/01/2008    0.0    2.5    21.6    9.2
21/01/2008    0.0    3.4    24.3    7.8
22/01/2008    0.0    1.5    24.7    8.0
23/01/2008    0.0    2.8    27.0    10.0
24/01/2008    0.0    3.8    27.6    10.4
25/01/2008    0.0    3.7    27.1    10.8
26/01/2008    0.0    3.5    27.5    11.0
27/01/2008    0.0    3.5    27.1    10.6
28/01/2008    0.0    4.3    26.3    10.6
29/01/2008    0.0    4.2    26.1    10.4
30/01/2008    0.0    5.7    26.9    10.4
31/01/2008    0.0    3.6    27.3    10.0
01/02/2008    0    4.2    25    7
02/02/2008    0    4.3    25    7
03/02/2008    0    4.5    25    5
