,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.8,24.0,6.5
1,02/01/2008,0.0,4.7,17.5,5.7
2,03/01/2008,0.0,4.0,16.3,1.8
3,04/01/2008,0.0,2.9,19.7,2.2
4,05/01/2008,0.0,3.8,23.0,3.7
5,06/01/2008,0.0,4.2,23.2,5.3
6,07/01/2008,0.0,4.7,22.4,5.8
7,08/01/2008,0.0,4.8,22.8,4.6
8,09/01/2008,0.0,4.3,22.4,4.2
9,10/01/2008,0.0,4.8,22.9,3.9
10,11/01/2008,0.0,4.2,22.3,5.1
11,12/01/2008,0.0,4.0,22.3,4.0
12,13/01/2008,0.0,4.5,22.2,3.3
13,14/01/2008,0.0,4.7,20.4,5.1
14,15/01/2008,0.0,4.6,20.3,9.3
15,16/01/2008,0.0,4.9,20.2,5.5
16,17/01/2008,0.0,3.6,19.0,5.9
17,18/01/2008,0.0,3.4,20.1,7.4
18,19/01/2008,0.0,3.4,21.5,8.1
19,20/01/2008,0.0,3.1,20.6,6.2
20,21/01/2008,0.0,3.6,23.3,6.1
21,22/01/2008,0.0,3.5,23.4,5.9
22,23/01/2008,0.0,3.8,25.9,7.2
23,24/01/2008,0.0,3.8,25.1,7.5
24,25/01/2008,0.0,3.3,24.3,8.0
25,26/01/2008,0.0,3.1,25.5,8.8
26,27/01/2008,0.0,3.9,24.0,8.4
27,28/01/2008,0.0,4.1,24.6,8.4
28,29/01/2008,0.0,4.4,24.1,7.2
29,30/01/2008,0.0,5.8,23.7,7.5
30,31/01/2008,0.0,5.0,25.1,7.5
31,01/02/2008,0.0,4.0,26.0,7.0
32,02/02/2008,0.0,4.6,27.0,7.5
33,03/02/2008,0.0,4.1,26.0,4.5
34,04/02/2008,0.0,4.1,27.0,6.0
35,05/02/2008,0.0,3.9,26.5,6.5
36,06/02/2008,0.0,3.1,27.5,6.0
37,07/02/2008,0.0,3.1,26.0,6.0
38,08/02/2008,0.0,3.1,26.0,5.5
39,09/02/2008,0.0,3.0,26.0,5.0
40,10/02/2008,0.0,3.1,25.5,6.0
41,11/02/2008,0.0,3.0,25.5,6.0
42,12/02/2008,0.0,3.2,26.0,5.5
43,13/02/2008,0.0,2.1,25.0,6.0
44,14/02/2008,0.0,2.5,25.5,5.0
45,15/02/2008,0.0,4.0,27.0,5.5
46,16/02/2008,0.0,4.1,27.5,5.0
47,17/02/2008,0.0,4.0,28.0,5.5
48,18/02/2008,0.0,5.1,28.0,6.0
49,19/02/2008,0.0,5.9,27.5,5.5
50,20/02/2008,0.0,4.1,28.0,6.0
51,21/02/2008,0.0,5.1,28.0,6.0
52,22/02/2008,0.0,5.1,28.0,5.5
53,23/02/2008,0.0,5.9,29.5,6.0
54,24/02/2008,0.0,5.1,28.0,6.5
55,25/02/2008,0.0,5.0,28.5,6.0
56,26/02/2008,0.0,5.8,28.0,6.5
57,27/02/2008,0.0,5.1,28.5,6.0
58,28/02/2008,0.0,5.1,28.5,6.0
59,29/02/2008,0.0,5.1,26.0,6.5
60,01/03/2008,0.0,5.0,27.0,6.0
61,02/03/2008,0.0,5.3,26.5,5.0
62,03/03/2008,0.0,4.8,27.0,5.5
63,04/03/2008,0.0,4.8,25.5,6.0
64,05/03/2008,0.0,6.2,27.0,1.5
65,06/03/2008,0.0,3.1,25.0,2.0
66,07/03/2008,0.0,3.8,25.5,2.5
67,08/03/2008,0.0,4.0,26.0,1.5
68,09/03/2008,0.0,5.1,27.0,2.0
69,10/03/2008,0.0,5.8,26.5,3.0
70,11/03/2008,0.0,5.1,27.0,5.5
71,12/03/2008,0.0,6.9,26.0,5.5
72,13/03/2008,0.0,5.9,27.0,5.0
73,14/03/2008,0.0,6.1,29.0,5.0
74,15/03/2008,0.0,4.9,29.0,5.5
75,16/03/2008,0.0,6.1,28.5,4.5
76,17/03/2008,0.0,6.1,29.0,5.0
77,18/03/2008,0.0,7.1,28.0,5.0
78,19/03/2008,0.0,6.0,28.5,5.0
79,20/03/2008,0.0,6.1,29.0,4.5
80,21/03/2008,0.0,6.2,30.0,5.0
81,22/03/2008,0.0,5.6,30.5,6.5
82,23/03/2008,0.0,6.6,30.5,7.5
83,24/03/2008,0.0,5.7,31.0,8.0
84,25/03/2008,0.0,5.3,30.5,8.0
85,26/03/2008,0.0,5.7,30.5,7.5
86,27/03/2008,0.0,7.1,30.0,8.0
87,28/03/2008,0.0,6.0,30.5,7.0
88,29/03/2008,0.0,7.2,30.5,7.5
89,30/03/2008,0.0,6.8,31.0,7.0
90,31/03/2008,0.0,7.0,31.0,8.0
91,01/04/2008,0.0,7.2,31.5,9.0
92,02/04/2008,0.0,7.0,32.0,12.0
93,03/04/2008,0.0,7.8,30.0,10.0
94,04/04/2008,0.0,7.0,31.0,12.5
95,05/04/2008,0.0,6.1,30.0,11.5
96,06/04/2008,0.0,7.0,31.0,10.5
97,07/04/2008,0.0,8.0,31.0,10.0
98,08/04/2008,0.0,8.1,31.5,10.5
99,09/04/2008,0.0,9.1,31.0,10.5
100,10/04/2008,0.0,8.0,32.0,10.0
101,11/04/2008,0.0,6.7,31.0,11.0
102,12/04/2008,0.0,7.2,30.5,11.0
103,13/04/2008,33.7,7.9,30.0,11.5
104,14/04/2008,0.0,6.1,30.5,11.0
105,15/04/2008,0.0,6.0,32.0,11.5
106,16/04/2008,0.0,5.8,32.5,9.5
107,17/04/2008,0.0,6.7,32.0,10.0
108,18/04/2008,0.0,7.1,33.0,10.5
109,19/04/2008,0.0,7.0,32.0,11.0
110,20/04/2008,0.0,7.1,32.5,11.5
111,21/04/2008,0.0,8.1,31.0,10.0
112,22/04/2008,0.0,7.9,32.5,11.0
113,23/04/2008,0.0,8.1,31.5,10.0
114,24/04/2008,0.0,7.0,29.5,11.5
115,25/04/2008,0.0,6.0,30.5,11.0
116,26/04/2008,0.0,5.8,30.0,8.5
117,27/04/2008,0.0,6.0,29.0,9.5
118,28/04/2008,0.0,5.1,28.0,8.0
119,29/04/2008,0.0,5.1,30.0,8.5
120,30/04/2008,0.0,5.7,30.0,9.0
121,01/05/2008,0.0,6.1,32.0,8.5
122,02/05/2008,0.0,6.0,32.5,9.0
123,03/05/2008,0.0,7.1,32.0,9.5
124,04/05/2008,0.0,6.1,32.0,10.0
125,05/05/2008,12.4,5.2,31.5,9.0
126,06/05/2008,0.0,5.9,30.5,9.0
127,07/05/2008,0.0,6.1,31.0,8.5
128,08/05/2008,0.0,6.9,32.0,9.0
129,09/05/2008,0.0,8.1,33.0,10.0
130,10/05/2008,0.0,6.4,32.5,8.0
131,11/05/2008,0.0,6.1,32.0,8.5
132,12/05/2008,0.0,6.1,32.0,8.0
133,13/05/2008,0.0,6.1,32.5,8.0
134,14/05/2008,0.0,5.9,32.0,9.0
135,15/05/2008,0.0,5.9,31.5,8.0
136,16/05/2008,0.0,6.0,32.0,8.5
137,17/05/2008,0.0,6.1,32.5,8.0
138,18/05/2008,0.0,6.0,32.0,8.5
139,19/05/2008,0.0,6.1,31.0,8.0
140,20/05/2008,0.0,6.1,31.5,8.5
141,21/05/2008,0.0,6.0,31.0,7.5
142,22/05/2008,0.0,6.3,30.0,8.0
143,23/05/2008,0.0,5.9,31.0,7.5
144,24/05/2008,0.0,5.9,31.5,10.0
145,25/05/2008,0.0,6.1,31.0,11.5
146,26/05/2008,0.0,5.3,32.0,10.5
147,27/05/2008,2.5,5.6,30.0,11.5
148,28/05/2008,0.0,7.1,28.5,13.0
149,29/05/2008,0.0,6.0,29.5,12.0
150,30/05/2008,0.0,6.0,30.0,12.5
151,31/05/2008,0.0,6.4,31.0,11.5
152,01/06/2008,0.0,7.1,31.0,12.0
153,02/06/2008,0.0,6.1,30.0,11.5
154,03/06/2008,0.0,6.7,31.0,11.0
155,04/06/2008,0.0,6.1,31.5,10.5
156,05/06/2008,0.0,6.1,31.0,11.5
157,06/06/2008,7.4,5.3,29.5,12.0
158,07/06/2008,0.0,5.4,27.0,14.5
159,08/06/2008,1.9,3.1,24.0,16.0
160,09/06/2008,22.7,3.0,23.0,17.0
161,10/06/2008,4.5,0.9,19.5,15.0
162,11/06/2008,0.0,3.6,23.0,15.0
163,12/06/2008,9.9,2.3,22.5,15.5
164,13/06/2008,1.7,2.4,24.0,15.0
165,14/06/2008,18.3,3.5,25.0,15.5
166,15/06/2008,9.5,3.6,25.5,14.5
167,16/06/2008,31.7,4.8,26.0,14.0
168,17/06/2008,24.3,1.4,26.0,15.0
169,18/06/2008,0.0,2.0,25.5,14.5
170,19/06/2008,0.0,4.8,25.5,15.5
171,20/06/2008,23.1,5.6,27.0,16.5
172,21/06/2008,5.5,5.6,24.5,13.5
173,22/06/2008,20.8,5.4,25.5,13.5
174,23/06/2008,2.6,3.1,24.5,14.0
175,24/06/2008,8.5,3.3,24.0,14.0
176,25/06/2008,5.2,3.1,25.0,14.5
177,26/06/2008,0.0,4.4,24.5,14.0
178,27/06/2008,0.0,5.7,25.0,15.0
179,28/06/2008,0.0,3.1,24.5,15.0
180,29/06/2008,7.3,3.4,24.0,14.0
181,30/06/2008,3.5,4.5,24.5,14.5
182,01/07/2008,7.2,3.1,23.0,15.0
183,02/07/2008,5.8,2.8,23.5,14.0
184,03/07/2008,6.4,2.6,23.5,13.0
185,04/07/2008,16.8,3.7,23.0,14.0
186,05/07/2008,18.9,2.8,23.0,14.0
187,06/07/2008,8.2,2.3,22.5,14.0
188,07/07/2008,10.1,2.1,21.0,13.5
189,08/07/2008,9.5,2.6,20.0,14.0
190,09/07/2008,17.7,2.6,19.5,14.0
191,10/07/2008,6.4,2.5,20.0,14.5
192,11/07/2008,4.2,2.7,22.0,14.0
193,12/07/2008,23.8,1.9,22.0,12.0
194,13/07/2008,5.9,3.0,21.5,13.0
195,14/07/2008,1.4,2.4,22.0,13.5
196,15/07/2008,12.4,3.1,23.5,14.0
197,16/07/2008,0.0,2.9,23.0,13.0
198,17/07/2008,11.2,3.2,22.5,13.5
199,18/07/2008,19.7,1.3,23.0,13.0
200,19/07/2008,0.7,2.9,22.5,13.0
201,20/07/2008,0.0,3.1,23.5,13.5
202,21/07/2008,0.0,2.4,24.0,12.5
203,22/07/2008,0.0,2.7,24.5,12.0
204,23/07/2008,0.0,2.1,24.0,13.5
205,24/07/2008,9.4,3.3,24.0,14.0
206,25/07/2008,1.7,2.5,22.0,14.5
207,26/07/2008,0.0,1.9,26.0,15.0
208,27/07/2008,0.0,3.0,25.5,12.5
209,28/07/2008,0.0,3.8,26.0,12.5
210,29/07/2008,0.0,3.0,25.0,13.0
211,30/07/2008,16.2,3.1,25.0,12.5
212,31/07/2008,0.1,3.3,20.5,12.0
213,01/08/2008,0.0,3.7,25.0,12.0
214,02/08/2008,16.4,3.5,25.0,12.5
215,03/08/2008,5.1,3.2,25.5,13.5
216,04/08/2008,2.6,3.4,25.0,12.0
217,05/08/2008,0.0,2.7,24.5,13.0
218,06/08/2008,0.0,0.4,25.0,12.5
219,07/08/2008,0.0,2.1,22.5,13.0
220,08/08/2008,14.5,1.9,21.0,12.5
221,09/08/2008,0.0,2.6,23.0,12.0
222,10/08/2008,0.0,2.6,23.0,12.0
223,11/08/2008,6.2,3.2,24.0,13.0
224,12/08/2008,0.0,3.0,23.5,12.5
225,13/08/2008,0.0,3.1,23.5,13.0
226,14/08/2008,15.8,2.8,24.0,13.5
227,15/08/2008,0.0,3.0,24.5,13.0
228,16/08/2008,0.0,3.2,25.0,13.5
229,17/08/2008,4.9,3.0,24.0,13.0
230,18/08/2008,0.0,2.8,25.0,13.5
231,19/08/2008,13.1,3.0,25.0,13.0
232,20/08/2008,0.0,2.6,24.5,13.0
233,21/08/2008,0.0,4.2,24.0,12.0
234,22/08/2008,0.0,2.0,24.0,11.0
235,23/08/2008,0.0,2.1,24.5,12.5
236,24/08/2008,0.0,1.9,24.0,13.0
237,25/08/2008,12.8,3.9,23.5,13.0
238,26/08/2008,8.3,3.2,23.0,12.5
239,27/08/2008,41.9,3.0,24.0,13.0
240,28/08/2008,0.0,3.0,23.5,13.5
241,29/08/2008,3.8,2.9,25.0,13.0
242,30/08/2008,7.9,3.7,24.5,11.5
243,31/08/2008,10.3,2.6,24.5,11.0
244,01/09/2008,0.0,2.0,24.0,11.5
245,02/09/2008,5.2,2.1,25.0,11.0
246,03/09/2008,0.0,3.0,25.0,11.5
247,04/09/2008,1.8,2.7,24.5,11.0
248,05/09/2008,4.6,2.7,23.5,11.5
249,06/09/2008,0.0,2.0,24.0,10.0
250,07/09/2008,10.1,2.9,24.5,11.0
251,08/09/2008,18.6,1.5,23.0,10.5
252,09/09/2008,22.3,2.4,23.5,11.0
253,10/09/2008,16.9,2.9,24.0,10.5
254,11/09/2008,14.3,2.3,23.0,11.0
255,12/09/2008,0.0,2.7,24.0,11.0
256,13/09/2008,14.7,2.8,24.0,11.5
257,14/09/2008,6.3,2.4,24.0,11.0
258,15/09/2008,20.3,2.4,25.0,11.5
259,16/09/2008,0.0,2.1,24.0,12.0
260,17/09/2008,14.8,2.9,23.5,11.5
261,18/09/2008,0.0,2.1,25.0,12.0
262,19/09/2008,0.0,3.0,24.5,12.5
263,20/09/2008,8.5,2.7,24.0,12.0
264,21/09/2008,26.1,2.9,23.5,11.5
265,22/09/2008,18.8,8.2,23.0,12.0
266,23/09/2008,34.2,2.3,24.0,12.0
267,24/09/2008,0.0,2.8,23.5,11.0
268,25/09/2008,0.0,1.9,23.0,12.0
269,26/09/2008,0.0,3.1,23.5,10.0
270,27/09/2008,0.0,2.0,23.0,9.5
271,28/09/2008,0.0,2.8,22.5,9.5
272,29/09/2008,0.0,2.0,23.0,10.0
273,30/09/2008,0.0,3.1,21.5,10.0
274,01/10/2008,0.0,3.1,20.0,8.0
275,02/10/2008,0.0,3.0,22.5,7.0
276,03/10/2008,0.0,4.2,24.5,6.5
277,04/10/2008,0.0,2.8,25.0,8.5
278,05/10/2008,0.0,2.1,25.0,10.0
279,06/10/2008,1.7,2.8,24.5,12.5
280,07/10/2008,2.5,2.5,24.0,11.5
281,08/10/2008,3.1,2.0,24.5,12.0
282,09/10/2008,1.0,3.2,24.5,11.0
283,10/10/2008,10.4,3.5,24.0,13.5
284,11/10/2008,5.5,2.3,25.5,15.0
285,12/10/2008,0.0,2.0,25.0,13.5
286,13/10/2008,21.7,2.3,24.0,9.5
287,14/10/2008,0.0,2.2,24.5,9.0
288,15/10/2008,0.0,3.0,23.5,10.0
289,16/10/2008,0.0,2.7,27.0,11.0
290,17/10/2008,0.0,1.5,24.0,12.5
291,18/10/2008,0.0,7.1,25.5,14.0
292,19/10/2008,0.0,2.0,25.0,9.0
293,20/10/2008,0.0,2.8,24.5,9.5
294,21/10/2008,0.0,3.0,24.0,9.0
295,22/10/2008,0.0,2.0,24.5,9.0
296,23/10/2008,0.0,2.0,24.0,8.0
297,24/10/2008,2.3,2.3,20.0,9.5
298,25/10/2008,0.0,3.0,23.0,11.0
299,26/10/2008,0.0,3.1,22.5,6.0
300,27/10/2008,0.0,2.0,23.0,6.5
301,28/10/2008,0.0,2.9,22.5,6.0
302,29/10/2008,0.0,2.0,23.0,6.0
303,30/10/2008,0.0,2.1,23.5,6.5
304,31/10/2008,0.0,2.1,23.0,7.0
305,01/11/2008,0.0,1.9,23.0,6.0
306,02/11/2008,0.0,2.0,22.5,6.5
307,03/11/2008,0.0,2.1,24.0,7.5
308,04/11/2008,0.0,2.0,23.0,8.0
309,05/11/2008,0.0,2.1,24.5,8.5
310,06/11/2008,0.0,2.9,22.5,8.0
311,07/11/2008,0.0,2.9,23.0,8.5
312,08/11/2008,0.0,2.0,21.5,7.5
313,09/11/2008,0.0,2.1,22.5,7.0
314,10/11/2008,0.0,2.1,23.0,7.0
315,11/11/2008,0.0,2.0,21.0,7.5
