,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.7,27.5,5.2
1,02/01/2008,0.0,4.6,20.7,5.2
2,03/01/2008,0.0,3.2,23.1,1.8
3,04/01/2008,0.0,3.5,26.5,2.5
4,05/01/2008,0.0,3.2,27.3,2.9
5,06/01/2008,0.0,3.3,28.1,3.5
6,07/01/2008,0.0,4.2,27.6,3.8
7,08/01/2008,0.0,4.0,27.2,3.8
8,09/01/2008,0.0,4.1,27.5,3.7
9,10/01/2008,0.0,3.6,26.2,3.8
10,11/01/2008,0.0,3.2,26.4,3.9
11,12/01/2008,0.0,3.8,26.2,3.8
12,13/01/2008,0.0,3.4,26.3,4.0
13,14/01/2008,0.0,4.7,26.7,2.8
14,15/01/2008,0.0,3.8,24.7,6.3
15,16/01/2008,0.0,3.4,23.6,5.4
16,17/01/2008,0.0,2.8,24.0,4.2
17,18/01/2008,0.0,2.7,24.0,4.1
18,19/01/2008,0.0,2.7,27.0,4.3
19,20/01/2008,0.0,2.7,25.0,4.8
20,21/01/2008,0.0,3.6,26.4,5.4
21,22/01/2008,0.0,3.3,27.7,3.7
22,23/01/2008,0.0,3.9,29.7,3.9
23,24/01/2008,0.0,3.6,29.5,7.3
24,25/01/2008,0.0,3.4,29.0,7.9
25,26/01/2008,0.0,4.3,29.0,7.6
26,27/01/2008,0.0,4.0,29.4,7.6
27,28/01/2008,0.0,4.0,28.2,7.7
28,29/01/2008,0.0,3.6,27.0,6.6
29,30/01/2008,0.0,4.3,27.8,6.6
30,31/01/2008,0.0,4.4,27.3,6.5
31,01/02/2008,0.0,4.7,27.0,4.0
32,02/02/2008,0.0,4.8,27.5,3.5
33,03/02/2008,0.0,4.6,26.0,3.5
34,04/02/2008,0.0,5.4,26.0,4.5
35,05/02/2008,0.0,5.7,26.0,3.5
36,06/02/2008,0.0,4.9,27.0,2.0
37,07/02/2008,0.0,4.3,25.5,3.0
38,08/02/2008,0.2,4.1,26.5,4.0
39,09/02/2008,0.0,5.0,28.0,4.5
40,10/02/2008,0.0,4.9,28.0,6.0
41,11/02/2008,0.0,5.1,25.5,7.5
42,12/02/2008,0.0,6.3,25.0,4.5
43,13/02/2008,0.0,5.3,26.5,4.0
44,14/02/2008,0.0,6.0,26.5,3.0
45,15/02/2008,0.0,6.1,28.0,2.5
46,16/02/2008,0.0,6.9,28.0,3.0
47,17/02/2008,0.0,6.6,28.0,2.5
48,18/02/2008,0.0,6.0,28.5,2.5
49,19/02/2008,0.0,6.0,28.5,4.0
50,20/02/2008,0.0,6.3,27.0,2.5
51,21/02/2008,0.0,5.3,26.5,3.0
52,22/02/2008,0.0,4.7,27.5,3.0
53,23/02/2008,0.0,6.1,30.0,3.0
54,24/02/2008,0.0,7.3,32.5,5.0
55,25/02/2008,0.0,6.9,31.0,7.0
56,26/02/2008,0.0,7.9,31.0,4.0
57,27/02/2008,0.0,6.2,27.5,6.0
58,28/02/2008,0.0,5.0,27.0,6.0
59,29/02/2008,0.0,6.1,28.0,5.5
60,01/03/2008,0.0,5.3,29.0,5.0
61,02/03/2008,0.0,8.2,28.0,6.0
62,03/03/2008,0.0,7.5,28.0,2.5
63,04/03/2008,0.0,6.8,27.0,5.0
64,05/03/2008,0.0,8.3,27.5,3.5
65,06/03/2008,0.0,8.3,23.0,3.0
66,07/03/2008,0.0,6.8,25.0,-2.0
67,08/03/2008,0.0,7.9,25.5,1.0
68,09/03/2008,0.0,7.6,24.0,2.0
69,10/03/2008,0.0,6.8,27.0,3.0
70,11/03/2008,0.0,6.6,28.0,4.5
71,12/03/2008,0.0,8.7,28.5,5.0
72,13/03/2008,0.0,10.0,28.0,5.0
73,14/03/2008,0.0,7.0,29.0,2.5
74,15/03/2008,0.0,7.6,31.0,4.0
75,16/03/2008,0.0,8.6,29.5,5.0
76,17/03/2008,0.0,9.1,28.5,4.5
77,18/03/2008,0.0,11.3,26.5,6.5
78,19/03/2008,0.0,7.6,27.0,5.5
79,20/03/2008,0.0,6.9,28.5,6.5
80,21/03/2008,0.0,7.6,29.5,6.0
81,22/03/2008,0.0,7.6,29.5,6.0
82,23/03/2008,0.0,8.2,30.0,6.5
83,24/03/2008,0.0,7.3,29.0,8.0
84,25/03/2008,0.0,5.9,27.0,8.0
85,26/03/2008,0.0,7.8,30.0,7.5
86,27/03/2008,0.0,9.2,29.0,7.0
87,28/03/2008,0.0,8.1,31.0,6.0
88,29/03/2008,0.0,9.5,31.5,6.5
89,30/03/2008,0.0,9.7,32.0,6.5
90,31/03/2008,0.0,9.7,32.0,5.5
91,01/04/2008,0.0,10.1,33.5,6.5
92,02/04/2008,0.0,8.8,35.0,8.0
93,03/04/2008,0.0,9.8,33.0,8.0
94,04/04/2008,0.0,10.0,32.0,7.0
95,05/04/2008,0.0,9.9,29.5,6.0
96,06/04/2008,0.0,9.4,29.5,8.0
97,07/04/2008,0.0,8.7,31.0,7.0
98,08/04/2008,0.0,11.1,31.0,7.0
99,09/04/2008,0.0,9.8,31.5,8.0
100,10/04/2008,0.0,10.0,31.5,5.5
101,11/04/2008,0.0,9.0,32.0,6.5
102,12/04/2008,0.0,8.2,33.0,8.0
103,13/04/2008,18.5,8.4,31.0,10.0
104,14/04/2008,0.0,7.3,26.5,12.0
105,15/04/2008,0.0,7.2,28.0,11.5
