,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.1,36.0,17.0
1,02/01/2008,0.0,6.8,33.0,16.0
2,03/01/2008,0.0,4.2,34.0,14.0
3,04/01/2008,0.0,3.7,31.0,11.5
4,05/01/2008,0.0,3.2,33.0,12.0
5,06/01/2008,0.0,3.8,35.0,13.0
6,07/01/2008,0.0,4.2,34.0,13.5
7,08/01/2008,0.0,4.2,35.0,12.0
8,09/01/2008,0.0,4.5,35.0,10.5
9,10/01/2008,0.0,4.0,34.0,10.5
10,11/01/2008,0.0,5.1,34.0,10.5
11,12/01/2008,0.0,3.8,33.0,9.5
12,13/01/2008,0.0,3.0,32.0,9.8
13,14/01/2008,0.0,5.1,33.0,11.0
14,15/01/2008,0.0,2.9,32.0,13.5
15,16/01/2008,0.0,4.3,32.5,12.5
16,17/01/2008,0.0,3.6,31.0,11.5
17,18/01/2008,0.0,3.2,33.0,12.0
18,19/01/2008,0.0,3.1,35.0,13.0
19,20/01/2008,0.0,6.7,34.0,12.0
20,21/01/2008,0.0,5.7,34.5,13.0
21,22/01/2008,0.0,3.2,35.0,14.0
22,23/01/2008,0.0,4.9,35.0,14.0
23,24/01/2008,0.0,4.1,34.0,14.0
24,25/01/2008,0.0,4.1,35.0,15.0
25,26/01/2008,0.0,5.6,36.0,16.0
26,27/01/2008,0.0,5.2,35.0,15.0
27,28/01/2008,0.0,3.3,34.5,14.0
28,29/01/2008,0.0,4.7,36.5,14.0
29,30/01/2008,0.0,5.7,35.0,14.5
30,31/01/2008,0.0,3.8,34.0,15.0
31,01/02/2008,0.0,4.8,33.0,15.0
32,02/02/2008,0.0,6.3,35.5,15.0
33,03/02/2008,0.0,4.1,33.0,13.0
34,04/02/2008,0.0,4.1,35.5,13.0
35,05/02/2008,0.0,5.2,34.0,13.5
36,06/02/2008,0.0,5.6,34.5,12.5
37,07/02/2008,0.0,4.8,34.0,13.0
38,08/02/2008,0.0,3.3,33.5,14.0
39,09/02/2008,0.0,5.4,34.0,14.0
40,10/02/2008,0.0,3.8,35.0,14.5
41,11/02/2008,0.0,6.4,36.0,14.5
42,12/02/2008,0.0,5.1,35.0,13.0
43,13/02/2008,0.0,5.6,36.0,12.5
44,14/02/2008,0.0,5.3,35.0,11.0
45,15/02/2008,0.0,6.5,36.0,11.0
46,16/02/2008,0.0,6.1,31.5,11.0
47,17/02/2008,0.0,6.7,34.0,10.5
48,18/02/2008,0.0,4.4,31.5,11.5
49,19/02/2008,0.0,6.5,32.5,12.5
50,20/02/2008,0.0,4.7,32.0,12.0
51,21/02/2008,0.0,5.8,35.0,12.0
52,22/02/2008,0.0,3.2,31.0,11.0
53,23/02/2008,0.0,6.6,35.0,11.5
54,24/02/2008,0.0,6.4,35.5,12.5
55,25/02/2008,0.0,7.3,36.5,12.5
56,26/02/2008,0.0,7.4,34.5,12.5
57,27/02/2008,0.0,6.4,32.5,12.0
58,28/02/2008,0.0,5.4,35.0,12.0
59,29/02/2008,0.0,6.6,36.0,12.5
60,01/03/2008,0.0,7.6,36.5,14.0
61,02/03/2008,0.0,5.1,33.0,13.0
62,03/03/2008,0.0,7.3,36.0,12.0
63,04/03/2008,0.0,3.9,32.0,12.5
64,05/03/2008,0.0,6.6,35.0,11.0
65,06/03/2008,0.0,7.4,36.0,11.0
66,07/03/2008,0.0,5.7,35.0,10.3
67,08/03/2008,0.0,6.4,33.5,8.5
68,09/03/2008,0.0,7.3,35.0,8.5
69,10/03/2008,0.0,7.2,37.0,11.0
70,11/03/2008,0.0,6.8,38.0,13.5
71,12/03/2008,0.0,7.8,37.0,13.5
72,13/03/2008,0.0,9.5,36.5,13.0
73,14/03/2008,0.0,8.3,35.0,12.0
74,15/03/2008,0.0,7.1,34.5,11.5
75,16/03/2008,0.0,6.8,36.0,11.0
76,17/03/2008,0.0,6.3,35.5,11.5
77,18/03/2008,0.0,7.1,34.0,12.0
78,19/03/2008,0.0,6.0,36.0,12.0
79,20/03/2008,0.0,7.8,36.0,12.5
80,21/03/2008,0.0,7.3,37.0,15.0
81,22/03/2008,0.0,8.3,38.0,16.0
82,23/03/2008,0.0,8.4,38.0,16.0
83,24/03/2008,0.0,8.6,37.0,13.5
84,25/03/2008,0.0,5.1,37.0,13.5
85,26/03/2008,0.0,8.7,38.0,16.0
86,27/03/2008,0.0,9.3,38.0,15.0
87,28/03/2008,0.0,8.4,38.0,15.0
88,29/03/2008,0.0,9.9,38.0,13.0
89,30/03/2008,0.0,7.7,38.0,13.0
90,31/03/2008,0.0,8.3,37.5,12.5
91,01/04/2008,0.0,8.8,35.5,13.0
92,02/04/2008,0.0,8.9,35.0,13.5
93,03/04/2008,0.0,6.9,37.5,14.5
94,04/04/2008,0.0,7.2,36.0,16.0
95,05/04/2008,0.0,6.9,35.0,18.0
96,06/04/2008,0.0,7.2,36.0,20.0
97,07/04/2008,0.0,8.6,37.5,16.0
98,08/04/2008,0.0,7.3,36.5,16.0
99,09/04/2008,0.0,6.8,37.0,17.0
100,10/04/2008,0.0,6.5,36.5,15.0
101,11/04/2008,0.0,7.0,37.0,16.0
102,12/04/2008,0.0,6.8,35.0,16.5
103,13/04/2008,0.0,7.7,36.5,17.0
104,14/04/2008,0.0,8.3,38.0,21.0
105,15/04/2008,0.0,8.7,37.5,20.0
106,16/04/2008,0.0,9.7,38.0,21.0
107,17/04/2008,0.0,9.7,34.0,17.0
108,18/04/2008,0.0,7.2,37.5,13.5
109,19/04/2008,0.0,7.7,37.0,14.5
110,20/04/2008,0.0,9.2,37.5,17.0
111,21/04/2008,0.0,9.6,38.0,17.0
112,22/04/2008,0.0,7.6,36.0,18.0
113,23/04/2008,0.0,7.0,37.0,19.0
114,24/04/2008,0.0,8.2,38.0,19.0
115,25/04/2008,0.0,7.3,39.0,16.0
116,26/04/2008,0.0,7.1,36.0,17.0
117,27/04/2008,0.0,7.8,35.0,18.5
118,28/04/2008,0.0,11.1,37.0,19.0
119,29/04/2008,0.0,7.9,33.0,18.0
120,30/04/2008,0.0,8.2,37.0,19.0
121,01/05/2008,0.0,10.0,38.0,14.0
122,02/05/2008,0.0,8.3,37.0,14.5
123,03/05/2008,0.0,7.0,36.0,15.0
124,04/05/2008,0.0,7.1,35.0,16.0
125,05/05/2008,0.0,7.6,38.0,17.0
