,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.2,35.0,9.7
1,02/01/2008,0.0,5.6,31.0,11.7
2,03/01/2008,0.0,5.0,30.0,9.2
3,04/01/2008,0.0,4.5,33.9,6.0
4,05/01/2008,0.0,4.1,31.0,7.2
5,06/01/2008,0.0,4.2,34.4,7.2
6,07/01/2008,0.0,4.9,30.1,4.7
7,08/01/2008,0.0,4.7,30.7,5.2
8,09/01/2008,0.0,3.9,30.1,5.8
9,10/01/2008,0.0,3.7,29.1,6.1
10,11/01/2008,0.0,3.7,27.6,5.4
11,12/01/2008,0.0,4.0,30.5,6.0
12,13/01/2008,0.0,4.0,30.0,4.6
13,14/01/2008,0.0,3.4,24.5,7.0
14,15/01/2008,0.0,4.6,25.0,8.3
15,16/01/2008,0.0,3.9,25.7,6.4
16,17/01/2008,0.0,4.0,23.4,4.4
17,18/01/2008,0.0,3.4,25.2,5.4
18,19/01/2008,0.0,3.5,28.5,7.2
19,20/01/2008,0.0,3.6,25.1,7.7
20,21/01/2008,0.0,3.9,28.9,8.3
21,22/01/2008,0.0,4.0,24.4,8.8
22,23/01/2008,0.0,4.7,31.9,8.3
23,24/01/2008,0.0,4.2,31.3,8.5
24,25/01/2008,0.0,4.0,31.3,10.2
25,26/01/2008,0.0,3.9,31.6,11.0
26,27/01/2008,0.0,5.3,31.3,10.2
27,28/01/2008,0.0,3.9,31.7,9.8
28,29/01/2008,0.0,4.6,31.6,8.8
29,30/01/2008,0.0,5.4,29.3,8.8
30,31/01/2008,0.0,4.8,31.0,9.4
31,01/02/2008,0.0,4.4,28.6,8.0
32,02/02/2008,0.0,4.1,29.5,8.1
33,03/02/2008,0.0,5.3,29.2,7.9
34,04/02/2008,0.0,4.9,29.3,8.0
35,05/02/2008,0.0,5.3,28.5,7.2
36,06/02/2008,0.0,5.4,28.9,6.9
37,07/02/2008,0.0,5.1,28.7,7.4
38,08/02/2008,0.0,4.3,29.6,8.4
39,09/02/2008,0.0,5.1,29.4,9.3
40,10/02/2008,0.0,5.5,29.9,9.1
41,11/02/2008,0.0,5.0,30.0,9.5
42,12/02/2008,0.0,4.8,28.4,8.4
43,13/02/2008,0.0,5.1,29.5,6.8
44,14/02/2008,0.0,5.8,28.7,6.3
45,15/02/2008,0.0,5.6,30.5,6.2
46,16/02/2008,0.0,5.6,31.7,6.5
47,17/02/2008,0.0,5.6,31.4,6.4
48,18/02/2008,0.0,5.5,29.8,6.7
49,19/02/2008,0.0,5.5,30.0,6.0
50,20/02/2008,0.0,5.8,31.2,5.7
51,21/02/2008,0.0,5.5,31.0,6.6
52,22/02/2008,0.0,5.6,31.5,7.6
53,23/02/2008,0.0,6.1,33.1,7.9
54,24/02/2008,0.0,6.1,35.5,8.4
55,25/02/2008,0.0,5.6,31.5,8.9
56,26/02/2008,0.0,6.7,32.2,8.3
57,27/02/2008,0.0,5.0,33.0,7.3
58,28/02/2008,0.0,6.0,31.6,7.9
59,29/02/2008,0.0,5.9,31.4,7.8
60,01/03/2008,0.0,5.0,34.0,8.6
61,02/03/2008,0.0,5.8,33.9,8.8
62,03/03/2008,0.0,6.3,33.6,5.8
63,04/03/2008,0.0,5.4,31.7,6.6
64,05/03/2008,0.0,6.2,31.1,8.5
65,06/03/2008,0.0,6.8,29.1,6.7
66,07/03/2008,0.0,6.5,29.8,5.0
67,08/03/2008,0.0,5.9,32.2,5.2
68,09/03/2008,0.0,6.3,28.9,6.2
69,10/03/2008,0.0,6.4,30.3,6.2
70,11/03/2008,0.0,5.7,31.3,8.2
71,12/03/2008,0.0,5.8,32.9,8.6
72,13/03/2008,0.0,6.8,31.4,8.3
73,14/03/2008,0.0,7.4,31.6,6.5
74,15/03/2008,0.0,7.6,32.0,6.7
75,16/03/2008,0.0,7.5,32.1,7.6
76,17/03/2008,0.0,6.7,30.1,9.4
77,18/03/2008,0.0,7.6,30.0,7.5
78,19/03/2008,0.0,6.8,30.4,7.4
79,20/03/2008,0.0,6.8,31.5,8.0
80,21/03/2008,0.0,6.6,32.1,8.9
81,22/03/2008,0.0,6.6,31.4,9.8
82,23/03/2008,0.0,6.7,31.1,8.9
83,24/03/2008,0.0,6.7,30.3,9.2
84,25/03/2008,0.0,6.6,31.5,9.5
85,26/03/2008,0.0,6.1,32.3,9.9
86,27/03/2008,0.0,6.8,30.9,8.0
87,28/03/2008,0.0,7.1,32.1,9.2
88,29/03/2008,0.0,7.8,33.0,9.5
89,30/03/2008,0.0,7.9,32.2,8.8
90,31/03/2008,0.0,7.5,33.4,9.1
91,01/04/2008,0.0,7.7,34.5,9.0
92,02/04/2008,0.0,7.4,35.7,10.1
