,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.9,13.0,7.0
1,02/01/2008,0.0,2.8,8.0,7.0
2,03/01/2008,0.0,2.5,8.0,2.0
3,04/01/2008,0.0,4.2,11.0,2.0
4,05/01/2008,0.0,3.4,11.0,3.0
5,06/01/2008,0.0,2.0,11.0,5.0
6,07/01/2008,0.0,2.9,7.0,5.0
7,08/01/2008,0.0,5.6,7.0,1.0
8,09/01/2008,0.0,2.6,7.0,1.0
9,10/01/2008,0.0,4.7,8.0,1.0
10,11/01/2008,0.0,3.5,7.0,2.0
11,12/01/2008,0.0,3.5,8.0,1.0
12,13/01/2008,0.0,3.1,10.0,2.0
13,14/01/2008,0.0,2.6,10.0,3.0
14,15/01/2008,0.0,2.2,8.0,4.0
15,16/01/2008,0.0,3.6,8.0,2.0
16,17/01/2008,0.0,2.7,11.0,2.0
17,18/01/2008,0.0,2.6,11.0,3.0
18,19/01/2008,0.0,3.2,10.0,5.0
19,20/01/2008,0.0,2.7,10.0,4.0
20,21/01/2008,0.0,3.2,12.0,4.0
21,22/01/2008,0.0,2.5,11.0,5.0
22,23/01/2008,0.0,4.4,11.0,5.0
23,24/01/2008,0.0,3.2,11.0,5.0
24,25/01/2008,0.0,3.2,11.0,5.0
25,26/01/2008,0.0,4.2,13.0,5.0
26,27/01/2008,0.0,4.4,13.0,6.0
27,28/01/2008,0.0,2.4,13.0,5.0
28,29/01/2008,0.0,5.8,13.0,6.0
29,30/01/2008,0.0,4.7,10.0,7.0
30,31/01/2008,0.0,5.0,10.0,4.0
31,01/02/2008,0.0,2.9,11.0,5.0
32,02/02/2008,0.0,4.6,10.0,5.0
33,03/02/2008,0.0,4.0,10.0,4.0
34,04/02/2008,0.0,4.4,9.0,4.0
35,05/02/2008,0.0,2.9,9.0,3.0
36,06/02/2008,0.0,1.4,9.0,3.0
37,07/02/2008,0.0,4.0,12.0,3.0
38,08/02/2008,0.0,5.6,12.0,4.0
39,09/02/2008,0.0,3.5,12.0,6.0
40,10/02/2008,0.0,2.7,12.0,6.0
41,11/02/2008,0.0,8.6,12.0,6.0
42,12/02/2008,0.0,2.5,12.0,6.0
43,13/02/2008,0.0,5.9,8.0,6.0
44,14/02/2008,0.0,5.6,8.0,2.0
45,15/02/2008,0.0,4.3,10.0,2.0
46,16/02/2008,0.0,4.2,8.0,3.0
47,17/02/2008,0.0,7.2,7.0,2.0
48,18/02/2008,0.0,4.6,7.0,1.0
49,19/02/2008,0.0,3.6,9.0,1.0
50,20/02/2008,0.0,5.5,9.0,2.0
51,21/02/2008,0.0,4.0,9.0,3.0
52,22/02/2008,0.0,4.5,9.0,3.0
