,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.0,29.0,6.0
1,02/01/2008,0.0,4.3,22.5,9.5
2,03/01/2008,0.0,6.5,22.0,5.0
3,04/01/2008,0.0,2.2,26.0,2.0
4,05/01/2008,0.0,0.9,30.5,3.0
5,06/01/2008,0.0,5.3,31.0,5.0
6,07/01/2008,0.0,2.8,31.0,4.5
7,08/01/2008,0.0,3.2,30.5,3.0
8,09/01/2008,0.0,4.0,30.0,3.0
9,10/01/2008,0.0,5.0,29.5,4.0
10,11/01/2008,0.0,4.2,28.0,0.7
11,12/01/2008,0.0,3.6,29.0,4.0
12,13/01/2008,0.0,4.0,28.5,3.0
13,14/01/2008,0.0,3.2,26.5,3.0
14,15/01/2008,0.0,2.8,27.0,8.0
15,16/01/2008,0.0,4.4,27.0,9.0
16,17/01/2008,0.0,4.2,25.0,9.0
17,18/01/2008,0.0,4.5,26.5,10.0
18,19/01/2008,0.0,1.2,30.5,9.0
19,20/01/2008,0.0,4.0,27.0,7.0
20,21/01/2008,0.0,5.6,29.5,6.0
21,22/01/2008,0.0,3.8,28.0,6.0
22,23/01/2008,0.0,2.5,33.5,7.0
23,24/01/2008,0.0,3.5,33.0,7.5
24,25/01/2008,0.0,4.3,32.0,5.0
25,26/01/2008,0.0,3.9,30.5,9.0
26,27/01/2008,0.0,4.0,30.5,10.0
27,28/01/2008,0.0,3.5,31.0,9.0
28,29/01/2008,0.0,3.7,29.5,7.0
29,30/01/2008,0.0,3.8,30.5,7.0
30,31/01/2008,0.0,4.4,31.0,6.0
31,01/02/2008,0.0,4.3,29.5,7.0
32,02/02/2008,0.0,4.4,31.5,5.5
33,03/02/2008,0.0,4.8,31.0,6.0
34,04/02/2008,0.0,3.8,31.5,6.5
35,05/02/2008,0.0,3.6,31.0,7.0
36,06/02/2008,0.0,5.2,29.5,5.0
37,07/02/2008,0.0,5.2,30.0,5.0
38,08/02/2008,0.0,2.9,30.0,6.5
39,09/02/2008,0.0,3.9,32.0,6.5
40,10/02/2008,0.0,3.9,21.0,7.5
41,11/02/2008,0.0,2.4,30.5,6.5
42,12/02/2008,0.0,3.7,30.5,7.0
43,13/02/2008,0.0,3.0,30.5,6.0
44,14/02/2008,0.0,5.9,29.5,5.5
45,15/02/2008,0.0,5.2,31.5,3.5
46,16/02/2008,0.0,4.6,33.5,4.0
47,17/02/2008,0.0,5.3,33.5,5.5
48,18/02/2008,0.0,6.7,31.5,5.0
49,19/02/2008,0.0,5.9,31.5,8.0
50,20/02/2008,0.0,5.4,31.5,5.0
51,21/02/2008,0.0,5.9,33.0,5.0
52,22/02/2008,0.0,5.4,32.0,5.5
53,23/02/2008,0.0,5.1,34.5,5.5
54,24/02/2008,0.0,5.1,36.0,7.0
55,25/02/2008,0.0,5.8,34.0,8.0
56,26/02/2008,0.0,6.8,34.0,6.5
57,27/02/2008,0.0,6.2,30.0,6.0
58,28/02/2008,0.0,6.6,30.5,8.5
59,29/02/2008,0.0,4.9,30.5,7.0
60,01/03/2008,0.0,6.6,33.0,5.5
61,02/03/2008,0.0,6.6,33.0,5.5
62,03/03/2008,0.0,6.6,32.0,5.5
63,04/03/2008,0.0,6.6,30.5,6.0
64,05/03/2008,0.0,5.0,33.0,6.5
65,06/03/2008,0.0,5.7,30.5,4.5
