,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.9,16.0,5.4
1,02/01/2008,0.0,2.7,12.6,4.8
2,03/01/2008,0.0,2.9,12.8,1.2
3,04/01/2008,0.0,4.0,15.3,1.7
4,05/01/2008,0.0,3.6,15.2,2.7
5,06/01/2008,0.0,2.7,14.9,3.9
6,07/01/2008,0.0,3.0,12.4,4.2
7,08/01/2008,0.0,5.3,12.1,1.3
8,09/01/2008,0.0,2.8,12.2,1.5
9,10/01/2008,0.0,4.5,13.1,1.7
10,11/01/2008,0.0,3.8,12.2,2.1
11,12/01/2008,0.0,3.5,12.8,1.1
12,13/01/2008,0.0,3.6,14.7,2.1
13,14/01/2008,0.0,2.8,14.4,2.7
14,15/01/2008,0.0,2.7,13.4,3.6
15,16/01/2008,0.0,3.9,13.1,2.4
16,17/01/2008,0.0,3.0,15.2,2.5
17,18/01/2008,0.0,2.9,15.4,2.7
18,19/01/2008,0.0,3.3,14.8,4.7
19,20/01/2008,0.0,3.0,14.7,4.0
20,21/01/2008,0.0,3.6,16.2,4.0
21,22/01/2008,0.0,2.9,15.6,5.0
22,23/01/2008,0.0,3.9,15.2,5.0
23,24/01/2008,0.0,3.4,15.3,4.9
24,25/01/2008,0.0,3.4,14.8,5.0
25,26/01/2008,0.0,4.2,17.0,4.5
26,27/01/2008,0.0,4.3,16.9,5.6
27,28/01/2008,0.0,2.9,16.9,4.7
28,29/01/2008,0.0,5.5,17.0,5.7
29,30/01/2008,0.0,4.7,14.8,6.5
30,31/01/2008,0.0,4.9,14.6,3.1
31,01/02/2008,0.0,3.3,20.2,5.9
32,02/02/2008,0.0,4.5,20.0,5.7
33,03/02/2008,0.0,5.1,20.1,5.5
34,04/02/2008,0.0,4.3,19.5,5.8
35,05/02/2008,0.0,3.7,19.2,5.1
36,06/02/2008,0.0,2.8,19.4,4.9
37,07/02/2008,0.0,3.9,21.1,4.8
