,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,7.3,27.7,6.8
1,02/01/2008,0.0,7.9,21.4,8.9
2,03/01/2008,0.0,3.9,20.7,5.2
3,04/01/2008,0.0,2.9,24.2,2.8
4,05/01/2008,0.0,1.1,28.0,3.8
5,06/01/2008,0.0,5.1,26.8,5.0
6,07/01/2008,0.0,3.8,28.3,3.7
7,08/01/2008,0.0,3.8,28.0,2.4
8,09/01/2008,0.0,4.1,27.4,2.6
9,10/01/2008,0.0,3.8,27.5,3.4
10,11/01/2008,0.0,3.6,25.6,3.2
11,12/01/2008,0.0,3.8,26.3,2.0
12,13/01/2008,0.0,3.4,28.9,5.1
13,14/01/2008,0.0,3.2,24.8,5.1
14,15/01/2008,0.0,3.3,24.3,7.6
15,16/01/2008,0.0,3.7,24.0,5.2
16,17/01/2008,0.0,3.4,23.4,5.5
17,18/01/2008,0.0,3.5,24.7,6.3
18,19/01/2008,0.0,4.3,28.3,8.3
19,20/01/2008,0.0,4.0,26.4,6.0
20,21/01/2008,0.0,4.2,27.3,5.3
21,22/01/2008,0.0,3.3,27.4,5.4
22,23/01/2008,0.0,3.8,31.1,6.8
23,24/01/2008,0.0,4.1,30.2,7.1
24,25/01/2008,0.0,3.8,29.0,6.9
25,26/01/2008,0.0,4.3,29.6,9.1
26,27/01/2008,0.0,4.2,29.2,8.8
27,28/01/2008,0.0,3.9,29.3,7.7
28,29/01/2008,0.0,4.5,28.8,7.8
29,30/01/2008,0.0,4.5,28.3,7.7
30,31/01/2008,0.0,4.6,28.4,5.5
31,01/02/2008,0.0,4.4,27.8,6.2
32,02/02/2008,0.0,4.5,28.5,5.4
33,03/02/2008,0.0,4.7,29.0,5.7
34,04/02/2008,0.0,4.6,28.8,5.8
35,05/02/2008,0.0,4.6,27.9,5.0
36,06/02/2008,0.0,5.2,27.9,4.7
37,07/02/2008,0.0,4.4,27.9,4.3
38,08/02/2008,0.0,4.0,28.5,7.6
39,09/02/2008,0.0,4.0,29.8,6.2
