,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.5,25.9,0.9
1,02/01/2008,0.0,4.1,20.6,3.2
2,03/01/2008,0.0,3.6,21.2,-0.1
3,04/01/2008,0.0,3.3,24.8,1.3
4,05/01/2008,0.0,2.7,25.9,0.8
5,06/01/2008,0.0,3.8,27.1,1.7
6,07/01/2008,0.0,4.9,26.7,1.5
7,08/01/2008,0.0,4.1,26.9,2.6
8,09/01/2008,0.0,3.7,26.7,1.7
9,10/01/2008,0.0,4.4,25.3,1.9
10,11/01/2008,0.0,4.2,25.9,2.2
11,12/01/2008,0.0,3.9,25.7,0.8
12,13/01/2008,0.0,3.6,26.0,-0.3
13,14/01/2008,0.0,3.6,26.2,3.5
14,15/01/2008,0.0,5.1,24.2,5.8
15,16/01/2008,0.0,4.1,22.7,3.7
16,17/01/2008,0.0,3.2,23.6,1.2
17,18/01/2008,0.0,4.3,22.4,1.9
18,19/01/2008,0.4,1.6,25.0,1.3
19,20/01/2008,0.0,3.5,24.1,2.0
20,21/01/2008,0.0,5.6,25.9,2.8
21,22/01/2008,0.0,3.1,27.2,2.3
22,23/01/2008,0.0,3.9,27.5,3.8
23,24/01/2008,0.0,4.1,29.1,4.3
24,25/01/2008,0.0,4.5,28.8,5.5
25,26/01/2008,0.0,4.7,28.9,5.6
26,27/01/2008,0.0,4.7,28.2,3.6
27,28/01/2008,0.0,4.1,28.5,3.3
28,29/01/2008,0.0,4.1,27.2,3.4
29,30/01/2008,0.0,4.5,27.0,5.5
30,31/01/2008,0.0,5.8,27.2,4.5
31,01/02/2008,0.0,4.2,27.1,2.6
32,02/02/2008,0.0,6.1,26.7,4.3
33,03/02/2008,0.0,4.1,27.4,5.0
34,04/02/2008,0.0,4.7,26.6,4.8
35,05/02/2008,0.0,5.2,27.1,4.3
36,06/02/2008,0.0,5.0,26.9,2.4
37,07/02/2008,0.0,5.0,26.5,4.3
38,08/02/2008,0.0,5.0,26.9,1.7
39,09/02/2008,0.0,3.4,27.3,2.8
40,10/02/2008,0.0,4.0,26.6,4.6
41,11/02/2008,0.0,4.0,26.0,5.7
42,12/02/2008,0.0,5.0,25.7,6.0
43,13/02/2008,0.0,4.9,26.8,3.8
44,14/02/2008,0.0,5.1,26.8,4.4
45,15/02/2008,0.0,7.6,28.0,4.5
46,16/02/2008,0.0,5.6,27.9,3.6
47,17/02/2008,0.0,6.1,27.9,3.8
48,18/02/2008,0.0,5.8,29.1,2.0
49,19/02/2008,0.0,6.1,28.4,3.9
50,20/02/2008,0.0,5.2,28.0,3.0
51,21/02/2008,0.0,6.0,26.9,4.4
52,22/02/2008,0.0,5.7,28.6,4.8
53,23/02/2008,0.0,5.2,30.1,2.0
54,24/02/2008,0.0,3.4,30.8,3.2
55,25/02/2008,0.0,5.2,30.4,4.5
56,26/02/2008,0.0,6.1,30.7,5.5
57,27/02/2008,0.0,4.9,27.0,5.3
58,28/02/2008,0.0,4.0,27.3,3.7
59,29/02/2008,0.0,5.3,27.5,5.3
60,01/03/2008,0.0,5.1,29.3,5.5
61,02/03/2008,0.0,5.7,28.1,7.5
62,03/03/2008,0.0,6.4,28.0,6.4
63,04/03/2008,0.0,6.3,27.8,6.9
64,05/03/2008,0.0,6.8,27.5,5.2
65,06/03/2008,0.0,7.4,25.7,4.4
66,07/03/2008,0.0,5.7,26.3,0.9
67,08/03/2008,0.0,6.2,26.8,1.5
68,09/03/2008,0.0,6.0,26.6,3.0
69,10/03/2008,0.0,6.0,27.9,4.6
70,11/03/2008,0.0,5.3,27.5,5.2
71,12/03/2008,0.0,6.1,29.0,5.3
72,13/03/2008,0.0,7.4,28.0,6.8
