GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15006
NOMBRE    : AYOTLAN
ESTADO    : JALISCO
MUNICIPIO :  AYOTLAN
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  20.533°
LONGITUD  :  -102.332°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    3.4    23.7    5.4
02/01/2008    0.0    4.0    21.6    3.2
03/01/2008    0.0    3.7    22.2    1.4
04/01/2008    0.0    3.4    24.0    1.8
05/01/2008    0.0    2.7    25.4    2.8
06/01/2008    0.0    3.9    27.3    2.3
07/01/2008    0.0    3.6    26.5    4.2
08/01/2008    0.0    2.4    26.0    3.6
09/01/2008    0.0    4.0    26.1    3.4
10/01/2008    0.0    3.7    25.9    3.7
11/01/2008    0.0    2.3    27.1    3.6
12/01/2008    0.0    4.2    25.5    3.2
13/01/2008    0.0    4.1    25.8    3.4
14/01/2008    0.0    4.3    25.0    4.4
15/01/2008    0.0    3.6    26.7    5.2
16/01/2008    0.0    4.2    23.9    4.2
17/01/2008    0.0    3.0    22.5    4.0
18/01/2008    0.0    4.0    23.1    4.0
19/01/2008    0.0    4.2    24.3    4.0
20/01/2008    0.0    3.2    23.3    3.6
21/01/2008    0.0    3.4    25.8    4.0
22/01/2008    0.0    2.6    27.5    5.0
23/01/2008    0.0    3.6    29.0    5.4
24/01/2008    0.0    2.7    26.8    7.0
25/01/2008    0.0    2.8    26.5    5.6
26/01/2008    0.0    4.8    29.0    7.4
27/01/2008    0.0    4.2    26.7    6.8
28/01/2008    0.0    3.2    26.7    5.2
29/01/2008    0.0    4.5    26.9    6.4
30/01/2008    0.0    4.9    25.8    6.4
31/01/2008    0.0    4.8    25.8    6.8
01/02/2008    0.0    5.2    23.5    6.6
02/02/2008    0.0    5.8    24.2    5.7
03/02/2008    0.0    5.2    24.1    6.2
04/02/2008    0.0    5.0    23.5    6.5
05/02/2008    0.0    6.1    24.2    6.5
06/02/2008    0.0    5.2    24.3    5.7
07/02/2008    0.0    5.5    23.2    6.1
08/02/2008    0.3    5.8    24.4    6.2
09/02/2008    0.0    4.7    25.8    6.3
10/02/2008    0.0    5.4    24.6    7.3
11/02/2008    0.0    4.9    23.6    8.3
12/02/2008    0.0    6.5    23.9    7.2
13/02/2008    0.0    5.8    24.2    6.8
14/02/2008    0.0    5.9    23.8    6.2
15/02/2008    0.0    6.2    25.8    5.5
16/02/2008    0.0    6.9    24.8    5.5
17/02/2008    0.0    6.5    26.3    6.9
18/02/2008    0.0    6.5    26.0    6.1
19/02/2008    0.0    7.0    25.1    6.6
20/02/2008    0.0    6.3    24.3    6.7
21/02/2008    0.0    6.9    25.1    6.5
22/02/2008    0.0    6.0    25.8    6.7
23/02/2008    0.0    6.7    27.6    6.5
24/02/2008    0.0    7.1    29.0    7.1
25/02/2008    0.0    6.9    27.4    8.3
26/02/2008    0.0    6.9    27.2    8.1
27/02/2008    0.0    6.1    24.6    7.1
28/02/2008    0.0    6.5    24.3    6.3
29/02/2008    0.0    5.8    24.9    6.5
01/03/2008    0.0    5.2    26.6    7.5
02/03/2008    0.0    7.5    24.8    8.2
03/03/2008    0.0    7.2    24.2    7.1
04/03/2008    0.0    6.8    24.6    7.5
05/03/2008    0.0    7.8    24.7    6.4
06/03/2008    0.0    9.0    22.6    5.7
07/03/2008    0.0    7.6    22.7    3.7
08/03/2008    0.0    7.0    22.9    3.7
09/03/2008    0.0    6.9    22.3    4.7
10/03/2008    0.0    7.0    24.6    5.1
11/03/2008    0.0    6.2    24.9    6.6
12/03/2008    0.0    7.5    25.4    7.0
13/03/2008    0.0    7.4    25.3    7.8
14/03/2008    0.0    6.4    26.6    6.5
