GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15020
NOMBRE    : SAN JUAN DE LOS LAGOS
ESTADO    : JALISCO
MUNICIPIO :  SAN JUAN DE LOS LAGOS
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  21.250°
LONGITUD  :  -102.329°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    4.4    23.5    4.7
02/01/2008    0.0    3.4    19.5    4.3
03/01/2008    0.0    3.7    19.3    1.1
04/01/2008    0.0    2.7    21.6    1.7
05/01/2008    0.0    3.6    23.2    1.4
06/01/2008    0.0    3.4    24.9    2.6
07/01/2008    0.0    4.6    25.2    3.8
08/01/2008    0.0    3.8    25.1    4.1
09/01/2008    0.0    4.1    24.9    3.3
10/01/2008    0.0    4.1    23.8    3.2
11/01/2008    0.0    3.9    24.5    3.4
12/01/2008    0.0    3.8    24.1    2.1
13/01/2008    0.0    3.6    23.7    2.9
14/01/2008    0.0    3.6    23.3    3.3
15/01/2008    0.0    4.4    21.9    5.3
16/01/2008    0.0    3.5    20.2    3.7
17/01/2008    0.0    4.0    21.5    3.3
18/01/2008    0.0    4.1    20.7    3.5
19/01/2008    0.2    3.5    21.0    3.7
20/01/2008    0.0    3.5    20.8    3.7
21/01/2008    0.0    3.0    25.0    0.4
22/01/2008    0.0    2.8    26.0    -0.2
23/01/2008    0.0    3.8    28.4    1.2
24/01/2008    0.0    3.3    28.2    0.8
25/01/2008    0.0    3.2    28.2    2.4
26/01/2008    0.0    4.0    28.2    3.0
27/01/2008    0.0    4.0    26.8    0.8
28/01/2008    0.0    4.4    26.8    -0.8
29/01/2008    0.0    4.0    26.4    -0.8
30/01/2008    0.0    4.3    27.2    0.4
31/01/2008    0.0    4.4    27.2    -0.0
01/02/2008    0.0    4.6    29.1    3.2
02/02/2008    0.0    3.4    28.9    2.9
03/02/2008    0.0    4.3    28.3    3.4
04/02/2008    0.0    4.5    28.2    4.2
05/02/2008    0.0    4.0    28.5    2.5
06/02/2008    0.0    4.9    28.4    1.2
07/02/2008    0.0    3.7    28.1    3.0
08/02/2008    0.0    4.5    28.8    1.1
09/02/2008    0.1    3.9    29.3    1.8
10/02/2008    0.1    3.4    29.0    3.0
11/02/2008    0.1    3.8    27.6    5.2
12/02/2008    0.0    4.9    27.6    4.7
13/02/2008    0.0    3.8    28.6    3.8
14/02/2008    0.0    5.1    27.7    3.1
15/02/2008    0.0    4.5    29.1    1.6
16/02/2008    0.0    4.9    28.8    2.6
17/02/2008    0.0    6.1    29.8    1.8
18/02/2008    0.0    5.7    30.3    1.2
19/02/2008    0.0    5.4    29.8    2.3
20/02/2008    0.0    4.9    29.3    2.4
21/02/2008    0.0    5.6    28.2    2.4
22/02/2008    0.0    4.7    29.5    2.6
23/02/2008    0.0    5.2    31.9    1.8
24/02/2008    0.0    5.9    33.3    4.1
25/02/2008    0.0    5.7    32.7    4.4
26/02/2008    0.0    5.4    32.4    3.9
27/02/2008    0.0    5.5    28.9    5.1
28/02/2008    0.0    4.8    29.2    2.5
29/02/2008    0.0    4.6    30.1    4.3
01/03/2008    0.0    5.3    31.1    4.1
02/03/2008    0.0    6.4    30.3    5.4
03/03/2008    0.0    7.2    30.3    4.1
04/03/2008    0.0    6.4    30.0    5.3
05/03/2008    0.0    5.6    29.9    1.8
06/03/2008    0.0    7.5    28.0    2.0
07/03/2008    0.0    6.8    29.0    0.3
08/03/2008    0.0    5.2    28.0    0.3
09/03/2008    0.0    6.7    28.0    1.5
10/03/2008    0.0    6.2    29.6    2.3
11/03/2008    0.0    4.8    29.2    3.3
12/03/2008    0.0    6.9    30.3    4.3
13/03/2008    0.0    7.1    29.8    4.1
14/03/2008    0.0    7.8    31.1    1.3
15/03/2008    0.0    6.5    31.6    2.2
16/03/2008    0.0    7.1    31.1    3.8
17/03/2008    0.0    8.1    30.3    5.1
18/03/2008    0.0    7.8    29.8    5.8
19/03/2008    0.0    8.3    29.4    3.4
20/03/2008    0.0    5.8    30.0    3.3
21/03/2008    0.0    5.4    31.9    4.5
22/03/2008    0.0    5.9    32.1    4.4
23/03/2008    0.0    8.5    31.4    6.6
24/03/2008    0.0    5.5    30.3    6.8
25/03/2008    0.0    4.8    32.9    6.9
26/03/2008    0.0    7.1    31.9    6.9
27/03/2008    0.0    7.1    32.0    7.0
28/03/2008    0.0    9.1    32.4    6.2
29/03/2008    0.0    7.8    32.6    7.3
30/03/2008    0.0    8.0    33.6    5.5
31/03/2008    0.0    9.7    30.2    5.2
01/04/2008    0.0    8.4    36.7    4.6
02/04/2008    0.0    7.1    36.5    5.3
03/04/2008    0.0    7.5    36.6    6.9
04/04/2008    0.0    10.2    35.9    6.6
05/04/2008    0.0    9.7    34.5    4.5
06/04/2008    0.0    10.0    33.4    5.0
07/04/2008    0.0    8.7    34.9    3.0
08/04/2008    0.0    9.3    35.1    3.8
