,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.6,22.8,9.6
1,02/01/2008,0.0,4.8,19.8,8.9
2,03/01/2008,0.0,3.2,17.0,5.6
3,04/01/2008,0.0,1.9,18.7,4.7
4,05/01/2008,0.0,2.5,21.7,5.9
5,06/01/2008,0.0,3.2,21.9,7.4
6,07/01/2008,0.0,3.8,21.9,8.4
7,08/01/2008,0.0,3.9,21.7,7.7
8,09/01/2008,0.0,3.6,23.2,7.8
9,10/01/2008,0.0,4.6,23.6,7.8
10,11/01/2008,0.0,4.1,22.9,8.2
11,12/01/2008,0.0,3.2,22.2,8.2
12,13/01/2008,0.0,3.6,22.2,7.4
13,14/01/2008,0.0,3.7,22.9,8.9
14,15/01/2008,0.0,3.6,22.9,10.4
15,16/01/2008,0.0,5.1,22.0,8.2
16,17/01/2008,0.0,3.1,21.7,8.3
17,18/01/2008,0.0,3.3,22.2,9.7
18,19/01/2008,0.0,2.3,21.9,9.7
19,20/01/2008,0.0,2.2,19.7,9.2
20,21/01/2008,0.0,3.2,24.2,8.4
21,22/01/2008,0.0,2.4,23.1,8.8
22,23/01/2008,0.0,3.0,24.3,10.5
23,24/01/2008,0.0,3.4,24.9,10.6
24,25/01/2008,0.0,3.2,24.8,11.0
25,26/01/2008,0.0,2.7,25.3,11.1
26,27/01/2008,0.0,3.5,23.8,11.3
27,28/01/2008,0.0,4.0,24.7,11.1
28,29/01/2008,0.0,3.9,24.6,10.5
29,30/01/2008,0.0,5.6,25.8,10.7
30,31/01/2008,0.0,4.1,25.3,10.2
31,01/02/2008,0.0,4.5,24.0,14.0
32,02/02/2008,0.0,3.9,23.0,13.5
33,03/02/2008,0.0,4.0,24.5,12.5
34,04/02/2008,0.0,4.8,25.0,12.5
35,05/02/2008,0.0,4.7,26.5,12.0
36,06/02/2008,0.0,4.7,23.0,12.5
37,07/02/2008,0.0,3.7,24.0,13.0
38,08/02/2008,1.1,2.9,23.0,12.5
39,09/02/2008,0.0,3.7,24.0,12.0
40,10/02/2008,0.0,4.0,24.0,12.5
41,11/02/2008,0.0,3.9,23.0,13.0
42,12/02/2008,0.0,5.6,27.0,13.5
43,13/02/2008,0.0,4.2,23.0,13.0
44,14/02/2008,0.0,5.7,27.0,12.5
45,15/02/2008,0.0,4.2,25.5,13.0
46,16/02/2008,0.0,5.9,27.0,13.5
47,17/02/2008,0.0,5.3,27.5,14.0
48,18/02/2008,0.0,5.0,26.0,13.5
49,19/02/2008,0.0,5.3,26.5,14.0
50,20/02/2008,0.0,6.1,27.5,13.5
51,21/02/2008,0.0,5.0,26.0,13.0
52,22/02/2008,0.0,4.9,24.0,13.5
53,23/02/2008,0.0,4.4,25.5,13.5
54,24/02/2008,0.0,5.5,28.0,14.0
55,25/02/2008,0.0,5.1,27.0,15.0
56,26/02/2008,0.0,5.9,28.0,14.0
57,27/02/2008,0.0,5.0,23.0,14.0
58,28/02/2008,0.0,5.0,23.5,14.5
59,29/02/2008,0.0,4.9,25.0,14.0
60,01/03/2008,0.0,4.7,26.0,14.5
