,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.1,33.7,12.5
1,02/01/2008,0.0,5.5,31.1,12.1
2,03/01/2008,0.0,4.6,31.2,11.9
3,04/01/2008,0.0,5.2,32.1,9.8
4,05/01/2008,0.0,3.3,31.7,9.8
5,06/01/2008,0.0,3.3,32.6,8.9
6,07/01/2008,0.0,3.7,33.1,8.7
7,08/01/2008,0.0,4.0,32.9,7.8
8,09/01/2008,0.0,3.9,32.9,7.1
9,10/01/2008,0.0,3.8,33.4,7.2
10,11/01/2008,0.0,3.4,30.1,7.8
11,12/01/2008,0.0,4.2,31.5,6.2
12,13/01/2008,0.0,4.2,31.7,6.0
13,14/01/2008,0.0,3.7,31.4,6.7
14,15/01/2008,0.0,3.8,29.8,9.9
15,16/01/2008,0.0,3.9,30.3,8.1
16,17/01/2008,0.0,3.4,29.1,7.5
17,18/01/2008,0.0,3.6,29.9,7.7
18,19/01/2008,0.0,4.0,35.5,9.6
19,20/01/2008,0.0,3.7,31.3,10.2
20,21/01/2008,0.0,4.5,32.6,10.4
21,22/01/2008,0.0,3.0,32.5,11.5
22,23/01/2008,0.0,4.0,36.1,10.4
23,24/01/2008,0.0,3.5,33.6,11.0
24,25/01/2008,0.0,4.0,33.2,12.4
25,26/01/2008,0.0,4.5,34.8,12.3
26,27/01/2008,0.0,4.4,34.2,12.0
27,28/01/2008,0.0,4.1,34.1,11.9
28,29/01/2008,0.0,4.3,35.2,12.0
29,30/01/2008,0.0,4.5,32.4,11.9
30,31/01/2008,0.0,4.9,33.1,10.8
31,01/02/2008,0.0,4.0,33.1,15.2
32,02/02/2008,0.0,4.5,34.6,15.4
33,03/02/2008,0.0,4.5,33.9,14.3
34,04/02/2008,0.0,4.2,33.3,13.9
35,05/02/2008,0.0,4.6,32.6,13.4
36,06/02/2008,0.0,4.1,32.4,13.1
37,07/02/2008,0.0,4.5,33.0,13.6
38,08/02/2008,0.0,4.2,32.3,14.4
39,09/02/2008,0.0,4.2,33.1,15.0
40,10/02/2008,0.0,3.8,33.8,14.9
41,11/02/2008,0.0,4.4,34.3,15.0
42,12/02/2008,0.0,3.9,33.5,14.4
43,13/02/2008,0.0,4.4,34.3,13.5
44,14/02/2008,0.0,4.5,34.2,11.5
45,15/02/2008,0.0,4.7,35.4,11.8
46,16/02/2008,0.0,5.2,35.0,12.0
47,17/02/2008,0.0,4.6,34.1,11.7
48,18/02/2008,0.0,4.3,31.9,12.7
49,19/02/2008,0.0,4.1,32.0,12.8
50,20/02/2008,0.0,4.4,32.5,12.1
51,21/02/2008,0.0,4.5,32.9,12.4
52,22/02/2008,0.0,4.8,33.8,12.4
53,23/02/2008,0.0,4.8,34.2,11.9
54,24/02/2008,0.0,4.9,34.8,12.9
55,25/02/2008,0.0,5.4,34.9,13.3
56,26/02/2008,0.0,4.9,34.3,12.5
57,27/02/2008,0.0,5.2,31.8,12.4
58,28/02/2008,0.0,5.1,33.4,12.3
59,29/02/2008,0.0,5.4,34.3,13.2
60,01/03/2008,0.0,5.5,35.3,13.2
61,02/03/2008,0.0,5.1,34.2,12.0
62,03/03/2008,0.0,5.0,34.0,12.4
63,04/03/2008,0.0,5.0,33.6,13.6
64,05/03/2008,0.0,5.8,34.3,12.1
65,06/03/2008,0.0,5.9,34.1,10.9
66,07/03/2008,0.0,6.3,34.6,9.9
67,08/03/2008,0.0,6.4,33.1,9.2
68,09/03/2008,0.0,5.7,34.3,9.7
69,10/03/2008,0.0,6.6,36.2,11.3
70,11/03/2008,0.0,6.9,36.2,14.0
71,12/03/2008,0.0,7.0,35.3,12.9
72,13/03/2008,0.0,6.7,34.8,11.6
73,14/03/2008,0.0,6.1,35.1,10.6
74,15/03/2008,0.0,5.9,35.2,11.1
75,16/03/2008,0.0,5.9,33.9,11.6
76,17/03/2008,0.0,5.7,34.9,11.8
77,18/03/2008,0.0,6.1,33.3,12.3
78,19/03/2008,0.0,6.7,33.5,11.4
79,20/03/2008,0.0,6.8,33.0,11.7
