,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,5.0,27.3,6.4
1,02/01/2008,0.0,4.7,20.0,6.0
2,03/01/2008,0.0,2.9,23.0,1.8
3,04/01/2008,0.0,3.4,26.0,2.6
4,05/01/2008,0.0,3.2,27.2,3.3
5,06/01/2008,0.0,3.4,28.0,4.4
6,07/01/2008,0.0,4.2,27.5,4.7
7,08/01/2008,0.0,4.0,27.0,4.5
8,09/01/2008,0.0,4.5,27.4,4.5
9,10/01/2008,0.0,3.6,26.0,4.7
10,11/01/2008,0.0,3.3,26.0,4.5
11,12/01/2008,0.0,3.7,25.8,4.7
12,13/01/2008,0.0,3.4,26.0,4.6
13,14/01/2008,0.0,4.9,26.4,3.5
14,15/01/2008,0.0,3.7,24.2,7.7
15,16/01/2008,0.0,3.4,23.2,5.3
16,17/01/2008,0.0,2.9,23.7,4.6
17,18/01/2008,0.0,2.7,23.5,4.7
18,19/01/2008,0.0,2.8,26.8,5.4
19,20/01/2008,0.0,2.8,24.3,5.7
20,21/01/2008,0.0,3.4,26.4,6.2
21,22/01/2008,0.0,3.6,27.7,4.6
22,23/01/2008,0.0,4.1,29.7,4.7
23,24/01/2008,0.0,3.7,29.5,8.2
24,25/01/2008,0.0,3.4,28.9,8.7
25,26/01/2008,0.0,4.3,29.0,8.4
26,27/01/2008,0.0,4.2,29.5,8.7
27,28/01/2008,0.0,4.2,28.1,8.5
28,29/01/2008,0.0,3.6,26.5,7.2
29,30/01/2008,0.0,4.4,27.9,7.2
30,31/01/2008,0.0,4.3,27.4,6.8
31,01/02/2008,0.0,5.9,31.0,5.0
32,02/02/2008,0.0,5.2,31.5,8.5
33,03/02/2008,0.0,5.2,29.5,7.0
34,04/02/2008,0.0,5.2,29.0,7.5
35,05/02/2008,0.0,5.1,31.5,6.5
36,06/02/2008,0.0,3.4,29.5,7.5
37,07/02/2008,0.0,3.4,29.5,7.5
38,08/02/2008,6.5,4.7,28.5,6.5
39,09/02/2008,0.0,5.4,32.0,7.0
40,10/02/2008,0.0,6.0,29.0,8.0
41,11/02/2008,3.0,4.8,29.5,6.5
42,12/02/2008,0.0,5.1,27.5,6.5
43,13/02/2008,0.0,4.9,27.5,7.0
44,14/02/2008,0.0,4.6,28.0,7.5
45,15/02/2008,0.0,6.7,30.0,6.0
46,16/02/2008,0.0,5.2,32.0,7.0
47,17/02/2008,0.0,5.5,29.0,9.0
48,18/02/2008,0.0,5.2,31.0,7.0
49,19/02/2008,0.0,5.1,31.5,9.0
50,20/02/2008,0.0,5.8,28.5,9.0
51,21/02/2008,0.0,5.1,26.5,7.0
52,22/02/2008,0.0,5.8,31.0,2.0
53,23/02/2008,0.0,5.9,33.5,3.0
54,24/02/2008,0.0,6.2,34.5,8.5
55,25/02/2008,0.0,7.8,34.5,8.5
56,26/02/2008,0.0,5.9,32.5,8.5
57,27/02/2008,0.0,6.1,32.5,8.5
58,28/02/2008,0.0,4.2,28.5,7.5
59,29/02/2008,0.0,6.5,30.0,8.5
60,01/03/2008,0.0,6.2,30.0,9.0
61,02/03/2008,0.0,5.2,29.5,10.0
62,03/03/2008,0.0,5.6,29.5,7.0
63,04/03/2008,0.0,5.5,31.5,7.0
64,05/03/2008,0.0,5.2,29.5,9.0
65,06/03/2008,0.0,5.1,29.5,6.5
66,07/03/2008,0.0,4.9,29.5,3.5
67,08/03/2008,0.0,5.8,29.5,3.5
68,09/03/2008,0.0,4.2,29.5,3.5
69,10/03/2008,0.0,4.0,28.5,3.5
70,11/03/2008,0.0,6.0,28.5,7.5
71,12/03/2008,0.0,6.6,30.0,7.5
72,13/03/2008,0.0,5.6,29.5,9.5
73,14/03/2008,0.0,7.7,30.0,7.5
74,15/03/2008,0.0,6.8,31.5,7.5
75,16/03/2008,0.0,6.8,31.0,7.5
76,17/03/2008,0.0,7.2,28.5,7.5
77,18/03/2008,0.0,5.8,32.5,10.0
78,19/03/2008,0.0,6.1,28.5,9.0
79,20/03/2008,0.0,6.0,29.5,6.5
80,21/03/2008,0.0,6.8,33.0,10.5
81,22/03/2008,0.0,6.4,31.0,11.0
82,23/03/2008,0.0,5.8,32.0,10.5
83,24/03/2008,0.0,5.2,31.5,9.0
84,25/03/2008,0.0,6.7,33.0,9.0
85,26/03/2008,0.0,6.2,30.0,11.0
86,27/03/2008,0.0,5.8,29.0,7.0
87,28/03/2008,0.0,5.8,28.5,9.0
88,29/03/2008,0.0,5.8,31.5,8.0
89,30/03/2008,0.0,6.2,30.0,7.0
90,31/03/2008,0.0,6.8,31.5,11.0
91,01/04/2008,0.0,7.0,31.0,11.0
92,02/04/2008,0.0,6.2,33.5,10.5
93,03/04/2008,0.0,6.1,34.0,10.0
94,04/04/2008,0.0,7.0,33.0,11.0
95,05/04/2008,0.0,7.7,35.0,13.0
96,06/04/2008,0.0,7.7,34.5,10.0
97,07/04/2008,0.0,7.3,35.0,11.0
98,08/04/2008,0.0,7.9,34.5,13.0
99,09/04/2008,0.0,6.8,34.5,11.0
100,10/04/2008,0.0,8.1,36.0,11.0
101,11/04/2008,0.0,7.3,34.5,13.5
102,12/04/2008,0.0,8.7,34.5,10.0
103,13/04/2008,0.0,6.9,32.5,10.0
104,14/04/2008,0.0,7.0,33.5,11.5
105,15/04/2008,5.5,5.9,33.5,11.5
106,16/04/2008,10.0,1.0,27.5,12.0
107,17/04/2008,0.0,6.5,29.5,13.5
108,18/04/2008,0.0,6.2,31.0,13.0
109,19/04/2008,0.0,7.0,34.0,12.0
110,20/04/2008,0.0,7.7,32.5,12.5
111,21/04/2008,0.0,7.3,34.0,9.5
112,22/04/2008,0.0,6.9,36.0,12.0
113,23/04/2008,0.0,8.0,34.0,13.0
114,24/04/2008,0.0,7.1,35.0,14.0
115,25/04/2008,0.0,7.6,31.5,12.0
116,26/04/2008,0.0,7.0,33.0,9.5
117,27/04/2008,3.0,7.8,33.0,12.5
118,28/04/2008,0.0,7.3,33.5,12.5
119,29/04/2008,0.0,7.8,35.0,12.5
120,30/04/2008,0.0,7.2,34.5,13.0
121,01/05/2008,0.0,7.9,35.5,14.0
122,02/05/2008,0.0,7.8,34.5,13.0
123,03/05/2008,0.0,6.0,33.5,14.0
124,04/05/2008,0.0,8.0,34.5,11.0
125,05/05/2008,0.0,7.9,33.5,16.0
126,06/05/2008,0.0,6.0,32.0,16.0
