,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.6,26.4,1.8
1,02/01/2008,0.0,4.2,23.1,3.3
2,03/01/2008,0.0,3.5,23.5,1.0
3,04/01/2008,0.0,3.2,25.5,1.7
4,05/01/2008,0.0,2.6,26.4,1.3
5,06/01/2008,0.0,4.0,27.0,1.7
6,07/01/2008,0.0,5.1,26.9,1.4
7,08/01/2008,0.0,4.2,27.4,2.2
8,09/01/2008,0.0,4.0,26.9,1.7
9,10/01/2008,0.0,4.5,26.0,2.1
10,11/01/2008,0.0,4.5,26.4,2.3
11,12/01/2008,0.0,3.8,26.7,1.3
12,13/01/2008,0.0,3.8,26.8,0.5
13,14/01/2008,0.0,3.7,26.5,3.4
14,15/01/2008,0.0,5.4,25.1,5.5
15,16/01/2008,0.0,4.4,24.3,3.3
16,17/01/2008,0.0,3.4,24.9,2.7
17,18/01/2008,0.0,4.6,24.2,2.8
18,19/01/2008,0.3,1.5,25.8,1.7
19,20/01/2008,0.0,3.8,25.3,2.0
20,21/01/2008,0.0,5.8,26.3,2.1
21,22/01/2008,0.0,3.2,27.3,1.9
22,23/01/2008,0.0,4.1,27.2,2.9
23,24/01/2008,0.0,4.0,28.5,3.1
24,25/01/2008,0.0,4.5,28.2,4.3
25,26/01/2008,0.0,4.8,28.8,4.3
26,27/01/2008,0.0,4.8,28.3,2.9
27,28/01/2008,0.0,4.3,28.4,2.6
28,29/01/2008,0.0,4.3,27.5,2.3
29,30/01/2008,0.0,4.6,27.4,3.9
30,31/01/2008,0.0,5.9,27.7,3.1
31,01/02/2008,0.0,4.0,27.4,2.9
32,02/02/2008,0.0,6.7,27.1,4.3
33,03/02/2008,0.0,3.9,27.6,4.7
34,04/02/2008,0.0,4.7,27.0,4.6
35,05/02/2008,0.0,5.5,27.3,4.3
36,06/02/2008,0.0,5.3,27.1,2.7
37,07/02/2008,0.0,4.9,26.9,4.5
38,08/02/2008,0.0,5.0,27.2,2.4
39,09/02/2008,0.0,2.9,27.4,3.2
40,10/02/2008,0.0,4.0,27.0,4.5
41,11/02/2008,0.0,3.9,26.4,5.3
42,12/02/2008,0.0,5.2,25.9,5.7
43,13/02/2008,0.0,4.9,26.8,4.3
44,14/02/2008,0.0,5.2,26.2,5.0
45,15/02/2008,0.0,8.3,27.6,5.1
46,16/02/2008,0.0,5.7,27.7,4.1
47,17/02/2008,0.0,6.2,27.7,4.2
48,18/02/2008,0.0,6.1,28.5,3.0
49,19/02/2008,0.0,6.4,27.9,4.6
50,20/02/2008,0.0,5.5,27.1,3.4
51,21/02/2008,0.0,6.1,26.1,4.4
52,22/02/2008,0.0,5.9,27.9,4.7
53,23/02/2008,0.0,5.3,29.4,2.5
54,24/02/2008,0.0,3.0,29.9,3.3
55,25/02/2008,0.0,5.3,29.5,4.4
56,26/02/2008,0.0,6.3,29.4,5.4
57,27/02/2008,0.0,4.9,26.4,5.2
58,28/02/2008,0.0,4.1,27.2,3.6
59,29/02/2008,0.0,5.6,27.3,4.7
60,01/03/2008,0.0,5.0,29.5,6.1
61,02/03/2008,0.0,6.0,28.7,7.6
62,03/03/2008,0.0,7.0,28.8,7.3
63,04/03/2008,0.0,6.5,28.9,7.7
64,05/03/2008,0.0,7.3,28.6,6.7
65,06/03/2008,0.0,7.9,27.6,5.6
