,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.0,24.0,1.0
1,02/01/2008,0.0,2.5,25.0,-1.0
2,03/01/2008,0.0,4.1,26.0,-1.0
3,04/01/2008,0.0,3.6,27.0,1.0
4,05/01/2008,0.0,4.1,26.5,2.0
5,06/01/2008,0.0,4.7,25.5,1.0
6,07/01/2008,0.0,3.4,27.0,2.0
7,08/01/2008,0.0,4.4,26.0,2.0
8,09/01/2008,0.0,3.3,26.5,3.0
9,10/01/2008,0.0,4.1,27.0,3.5
10,11/01/2008,0.0,4.6,26.5,2.5
11,12/01/2008,0.0,3.5,26.0,1.5
12,13/01/2008,0.0,4.8,27.5,2.5
13,14/01/2008,0.0,3.3,26.5,2.0
14,15/01/2008,0.0,3.9,28.0,2.5
15,16/01/2008,0.0,4.7,27.0,3.5
16,17/01/2008,0.0,4.0,26.5,4.0
17,18/01/2008,0.0,3.9,27.5,2.0
18,19/01/2008,0.0,3.4,28.0,4.0
19,20/01/2008,0.0,4.0,27.5,4.0
20,21/01/2008,0.0,4.6,27.5,4.0
21,22/01/2008,0.0,4.1,28.0,5.0
22,23/01/2008,0.0,2.5,26.5,5.0
23,24/01/2008,0.0,4.0,27.0,4.5
24,25/01/2008,0.0,3.8,25.0,5.0
25,26/01/2008,0.0,4.3,28.0,3.0
26,27/01/2008,0.0,3.9,27.5,4.5
27,28/01/2008,0.0,4.4,27.5,4.0
28,29/01/2008,0.0,4.7,28.0,5.0
29,30/01/2008,0.0,4.7,28.0,5.0
30,31/01/2008,0.0,4.7,27.0,0.5
31,01/02/2008,0.0,3.5,26.5,4.0
32,02/02/2008,0.0,5.0,27.5,4.5
33,03/02/2008,0.0,4.8,28.0,5.0
34,04/02/2008,0.0,5.5,27.5,5.5
35,05/02/2008,0.0,4.4,28.0,6.0
36,06/02/2008,0.0,4.0,28.0,5.5
37,07/02/2008,0.0,4.6,28.5,6.0
38,08/02/2008,0.0,5.9,27.5,6.5
39,09/02/2008,0.0,5.0,28.0,6.5
40,10/02/2008,0.0,5.0,28.0,7.0
41,11/02/2008,0.0,4.1,28.0,7.0
42,12/02/2008,0.0,6.0,29.5,8.0
43,13/02/2008,0.0,6.0,28.0,3.0
44,14/02/2008,0.0,5.4,28.0,5.0
45,15/02/2008,0.0,5.2,29.0,3.0
46,16/02/2008,0.0,4.7,28.5,3.5
47,17/02/2008,0.0,6.0,29.0,4.0
48,18/02/2008,0.0,5.8,30.0,3.5
49,19/02/2008,0.0,6.7,30.0,4.0
50,20/02/2008,0.0,6.0,30.5,4.0
51,21/02/2008,0.0,5.2,29.5,4.0
52,22/02/2008,0.0,6.4,30.5,5.0
53,23/02/2008,0.0,4.5,31.0,4.0
54,24/02/2008,0.0,6.7,31.0,5.0
55,25/02/2008,0.0,6.8,32.0,5.0
56,26/02/2008,0.0,6.0,32.5,5.0
57,27/02/2008,0.0,7.4,29.0,7.0
58,28/02/2008,0.0,4.6,28.0,7.0
59,29/02/2008,0.0,4.9,29.0,6.0
60,01/03/2008,0.0,6.0,29.5,7.0
61,02/03/2008,0.0,6.3,28.0,7.0
62,03/03/2008,0.0,5.3,30.0,6.0
63,04/03/2008,0.0,5.4,27.0,7.0
64,05/03/2008,0.0,6.3,30.5,7.0
65,06/03/2008,0.0,8.0,27.5,4.5
66,07/03/2008,0.0,7.0,28.0,1.5
67,08/03/2008,0.0,7.0,28.0,2.0
68,09/03/2008,0.0,7.0,28.5,2.0
69,10/03/2008,0.0,6.5,29.5,2.5
70,11/03/2008,0.0,6.9,29.5,3.0
71,12/03/2008,0.0,7.1,31.0,6.5
72,13/03/2008,0.0,7.0,29.0,7.0
73,14/03/2008,0.0,6.9,29.5,7.0
74,15/03/2008,0.0,6.1,30.0,7.0
75,16/03/2008,0.0,6.9,30.5,8.0
76,17/03/2008,0.0,6.2,31.0,9.0
77,18/03/2008,0.0,7.3,30.5,9.0
78,19/03/2008,0.0,6.7,31.5,8.5
79,20/03/2008,0.0,6.0,31.0,10.0
80,21/03/2008,0.0,7.7,30.5,8.0
81,22/03/2008,0.0,6.2,31.5,9.0
82,23/03/2008,0.0,6.8,32.0,8.5
83,24/03/2008,0.0,6.3,32.5,9.0
84,25/03/2008,0.0,6.0,32.0,9.0
85,26/03/2008,0.0,6.9,33.0,10.0
86,27/03/2008,0.0,6.4,32.5,9.0
87,28/03/2008,0.0,6.3,32.0,8.5
88,29/03/2008,0.0,6.0,32.5,9.0
89,30/03/2008,0.0,4.9,33.5,8.5
90,31/03/2008,0.0,7.2,34.0,9.0
91,01/04/2008,0.0,6.2,33.5,9.0
92,02/04/2008,0.0,6.7,35.0,10.0
93,03/04/2008,0.0,4.7,33.5,10.5
94,04/04/2008,0.0,7.2,35.0,10.5
95,05/04/2008,0.0,5.9,35.5,12.0
96,06/04/2008,0.0,6.2,35.0,10.0
97,07/04/2008,0.0,5.6,36.0,11.0
98,08/04/2008,0.0,7.0,33.0,11.0
99,09/04/2008,0.0,8.2,33.0,11.0
100,10/04/2008,0.0,7.8,33.0,8.0
101,11/04/2008,0.0,6.0,33.5,8.0
102,12/04/2008,0.0,6.3,34.0,11.0
103,13/04/2008,12.4,7.9,34.0,12.0
104,14/04/2008,0.0,5.9,28.0,10.0
105,15/04/2008,0.0,7.2,31.0,12.5
106,16/04/2008,0.0,5.9,29.5,13.0
107,17/04/2008,0.0,8.9,33.0,11.0
108,18/04/2008,0.0,6.4,32.5,12.0
109,19/04/2008,0.0,6.5,33.0,11.0
110,20/04/2008,0.0,8.1,34.0,12.0
