,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.6,24.8,6.0
1,02/01/2008,0.0,3.3,21.0,5.1
2,03/01/2008,0.0,3.6,19.8,2.8
3,04/01/2008,0.0,2.7,21.0,3.1
4,05/01/2008,0.0,3.8,22.2,2.5
5,06/01/2008,0.0,3.3,24.7,3.2
6,07/01/2008,0.0,4.6,25.3,4.5
7,08/01/2008,0.0,3.8,25.3,4.9
8,09/01/2008,0.0,3.9,25.1,4.0
9,10/01/2008,0.0,4.1,24.2,4.0
10,11/01/2008,0.0,3.8,24.5,4.5
11,12/01/2008,0.0,3.7,24.3,3.5
12,13/01/2008,0.0,3.6,23.7,4.8
13,14/01/2008,0.0,3.6,23.5,4.2
14,15/01/2008,0.0,4.3,22.0,4.8
15,16/01/2008,0.0,3.4,20.3,3.8
16,17/01/2008,0.0,4.1,21.3,4.8
17,18/01/2008,0.0,4.1,21.3,4.8
18,19/01/2008,0.0,3.9,20.5,4.8
19,20/01/2008,0.0,3.5,21.1,4.5
20,21/01/2008,0.0,3.2,21.7,5.5
21,22/01/2008,0.0,2.7,22.5,6.5
22,23/01/2008,0.0,3.7,24.5,6.0
23,24/01/2008,0.0,3.4,23.5,6.2
24,25/01/2008,0.0,3.2,24.2,4.9
25,26/01/2008,0.0,4.5,23.7,5.7
26,27/01/2008,0.0,4.2,22.0,4.2
27,28/01/2008,0.0,4.5,22.0,6.2
28,29/01/2008,0.0,3.8,22.1,6.2
29,30/01/2008,0.0,4.5,23.7,6.2
30,31/01/2008,0.0,4.5,23.7,5.8
31,01/02/2008,0.0,2.1,29.0,5.0
32,02/02/2008,0.0,2.1,27.0,7.0
33,03/02/2008,0.0,2.1,27.0,8.0
34,04/02/2008,0.0,2.1,21.0,8.0
35,05/02/2008,0.0,4.4,23.0,4.0
36,06/02/2008,0.0,2.1,28.0,5.0
37,07/02/2008,0.0,2.1,26.0,6.0
