,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.2,7.4,30.0,10.2
1,02/01/2008,0.0,7.8,25.6,11.0
2,03/01/2008,0.0,3.4,25.0,8.1
3,04/01/2008,0.0,3.5,27.3,5.8
4,05/01/2008,0.0,4.4,29.0,6.4
5,06/01/2008,0.0,2.8,28.0,10.5
6,07/01/2008,0.0,3.8,29.4,6.2
7,08/01/2008,0.0,4.2,29.5,4.8
8,09/01/2008,0.0,4.2,28.6,4.7
9,10/01/2008,0.0,3.5,29.6,5.2
10,11/01/2008,0.0,3.8,27.9,6.1
11,12/01/2008,0.0,4.8,28.1,3.6
12,13/01/2008,0.0,3.3,30.4,6.7
13,14/01/2008,0.0,3.5,27.6,6.9
14,15/01/2008,0.0,3.8,26.0,7.8
15,16/01/2008,0.0,3.5,26.4,5.2
16,17/01/2008,0.0,3.1,25.8,5.6
17,18/01/2008,0.0,3.1,27.6,6.3
18,19/01/2008,0.0,5.4,30.7,8.9
19,20/01/2008,0.0,5.8,27.9,7.2
20,21/01/2008,0.0,3.7,29.3,6.9
21,22/01/2008,0.0,3.6,30.1,7.3
22,23/01/2008,0.0,4.7,32.1,8.9
23,24/01/2008,0.0,4.4,30.7,9.1
24,25/01/2008,0.0,3.9,30.1,9.7
25,26/01/2008,0.0,4.6,29.3,10.6
26,27/01/2008,0.0,4.9,31.0,10.0
27,28/01/2008,0.0,4.4,30.3,9.1
28,29/01/2008,0.0,4.6,31.0,9.8
29,30/01/2008,0.0,4.7,29.6,9.7
30,31/01/2008,0.0,4.9,29.7,7.9
31,01/02/2008,0.0,4.3,33.1,6.8
32,02/02/2008,0.0,4.7,34.0,6.7
33,03/02/2008,0.0,4.5,34.1,6.7
34,04/02/2008,0.0,5.0,34.1,6.7
35,05/02/2008,0.0,5.0,32.2,6.6
36,06/02/2008,0.0,5.2,33.1,5.7
37,07/02/2008,0.0,4.5,33.1,5.7
38,08/02/2008,0.0,4.6,34.1,7.1
39,09/02/2008,0.0,4.1,35.1,7.7
40,10/02/2008,0.0,3.9,34.8,8.7
41,11/02/2008,0.0,3.9,34.8,7.9
42,12/02/2008,0.0,3.8,34.0,6.7
43,13/02/2008,0.0,5.1,35.0,6.7
44,14/02/2008,0.0,5.4,33.1,4.8
45,15/02/2008,0.0,5.4,35.0,5.6
46,16/02/2008,0.0,5.5,35.2,5.7
47,17/02/2008,0.0,5.9,35.1,5.7
48,18/02/2008,0.0,5.8,31.1,5.5
49,19/02/2008,0.0,5.3,34.1,4.8
50,20/02/2008,0.0,5.2,35.1,4.7
51,21/02/2008,0.0,4.7,35.1,5.7
52,22/02/2008,0.0,4.7,36.2,4.9
53,23/02/2008,0.0,6.0,38.2,5.9
54,24/02/2008,0.0,5.3,37.8,9.0
55,25/02/2008,0.0,6.3,35.2,9.0
56,26/02/2008,0.0,5.9,35.3,7.6
57,27/02/2008,0.0,5.8,35.9,9.3
58,28/02/2008,0.0,6.2,34.1,8.6
59,29/02/2008,0.0,5.4,35.1,6.8
60,01/03/2008,0.0,5.6,37.1,8.8
61,02/03/2008,0.0,5.2,35.1,8.5
62,03/03/2008,0.0,5.3,35.1,8.5
63,04/03/2008,0.0,4.3,33.1,9.8
64,05/03/2008,0.0,6.2,35.3,7.6
65,06/03/2008,0.0,6.4,35.2,5.7
66,07/03/2008,0.0,5.2,34.2,4.8
67,08/03/2008,0.0,6.8,33.0,3.8
68,09/03/2008,0.0,6.3,33.1,4.7
69,10/03/2008,0.0,5.8,34.9,6.6
70,11/03/2008,0.0,5.7,37.1,7.7
71,12/03/2008,0.0,6.0,35.4,8.6
72,13/03/2008,0.0,6.8,36.1,8.6
73,14/03/2008,0.0,6.5,36.2,6.6
74,15/03/2008,0.0,6.7,36.3,5.7
75,16/03/2008,0.0,6.7,35.3,6.7
76,17/03/2008,0.0,6.4,34.1,6.7
77,18/03/2008,0.0,7.9,32.2,5.9
78,19/03/2008,0.0,5.9,36.2,6.6
79,20/03/2008,0.0,6.2,37.1,8.7
80,21/03/2008,0.0,6.5,38.2,9.6
81,22/03/2008,0.0,7.3,38.2,10.6
82,23/03/2008,0.0,6.1,36.4,9.6
83,24/03/2008,0.0,5.9,37.2,8.7
84,25/03/2008,0.0,5.5,36.3,9.7
85,26/03/2008,0.0,6.5,38.2,11.5
86,27/03/2008,0.0,6.5,38.3,11.5
