,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.1,33.7,12.5
1,02/01/2008,0.0,5.6,31.1,12.1
2,03/01/2008,0.0,4.6,31.2,12.0
3,04/01/2008,0.0,5.2,32.1,9.8
4,05/01/2008,0.0,3.3,31.7,9.8
5,06/01/2008,0.0,3.3,32.6,8.9
6,07/01/2008,0.0,3.7,33.1,8.7
7,08/01/2008,0.0,4.0,32.9,7.8
8,09/01/2008,0.0,3.9,32.9,7.1
9,10/01/2008,0.0,3.8,33.3,7.2
10,11/01/2008,0.0,3.4,30.0,7.8
11,12/01/2008,0.0,4.2,31.5,6.2
12,13/01/2008,0.0,4.2,31.7,6.0
13,14/01/2008,0.0,3.7,31.4,6.7
14,15/01/2008,0.0,3.8,29.8,9.9
15,16/01/2008,0.0,3.9,30.2,8.1
16,17/01/2008,0.0,3.4,29.1,7.5
17,18/01/2008,0.0,3.6,29.9,7.7
18,19/01/2008,0.0,4.0,35.6,9.6
19,20/01/2008,0.0,3.7,31.3,10.2
20,21/01/2008,0.0,4.5,32.6,10.4
21,22/01/2008,0.0,3.0,32.4,11.5
22,23/01/2008,0.0,4.1,36.1,10.4
23,24/01/2008,0.0,3.5,33.6,11.0
24,25/01/2008,0.0,4.0,33.2,12.4
25,26/01/2008,0.0,4.5,34.8,12.3
26,27/01/2008,0.0,4.4,34.2,12.0
27,28/01/2008,0.0,4.1,34.1,11.9
28,29/01/2008,0.0,4.3,35.2,12.0
29,30/01/2008,0.0,4.5,32.4,11.9
30,31/01/2008,0.0,4.9,33.1,10.8
31,01/02/2008,0.0,3.9,35.9,16.1
32,02/02/2008,0.0,4.2,36.9,16.5
33,03/02/2008,0.0,4.2,36.4,15.5
34,04/02/2008,0.0,3.8,36.5,15.0
35,05/02/2008,0.0,4.1,35.9,14.5
36,06/02/2008,0.0,3.9,35.9,15.0
37,07/02/2008,0.0,3.3,36.3,14.6
38,08/02/2008,0.0,3.3,35.0,16.4
39,09/02/2008,0.0,4.2,35.5,17.0
40,10/02/2008,0.0,3.8,37.4,17.4
41,11/02/2008,0.0,4.0,37.4,17.0
42,12/02/2008,0.0,3.9,36.4,16.4
43,13/02/2008,0.0,4.5,36.9,15.4
44,14/02/2008,0.0,4.7,36.9,13.1
45,15/02/2008,0.0,4.6,37.9,13.1
46,16/02/2008,0.0,4.9,38.7,13.8
47,17/02/2008,0.0,4.3,37.8,13.5
48,18/02/2008,0.0,4.4,35.7,13.6
49,19/02/2008,0.0,4.2,35.4,13.1
50,20/02/2008,0.0,4.6,36.8,12.6
51,21/02/2008,0.0,4.2,37.7,14.0
52,22/02/2008,0.0,5.0,38.2,14.4
53,23/02/2008,0.0,4.8,39.2,14.8
54,24/02/2008,0.0,5.1,38.8,16.3
55,25/02/2008,0.0,5.2,38.7,15.0
56,26/02/2008,0.0,5.2,37.8,13.9
57,27/02/2008,0.0,5.1,35.9,13.5
58,28/02/2008,0.0,5.1,36.4,14.0
59,29/02/2008,0.0,5.3,38.2,14.9
60,01/03/2008,0.0,5.1,39.3,15.4
61,02/03/2008,0.0,4.8,37.8,14.1
62,03/03/2008,0.0,5.2,37.8,13.6
63,04/03/2008,0.0,4.2,35.9,17.5
64,05/03/2008,0.0,5.9,37.8,13.6
65,06/03/2008,0.0,6.2,37.8,12.6
66,07/03/2008,0.0,6.2,37.4,11.1
67,08/03/2008,0.0,5.9,36.3,9.6
68,09/03/2008,0.0,5.5,37.8,11.1
69,10/03/2008,0.0,5.6,38.9,13.8
70,11/03/2008,0.0,6.6,39.3,16.3
71,12/03/2008,0.0,6.6,40.2,15.4
72,13/03/2008,0.0,6.3,38.3,14.3
73,14/03/2008,0.0,6.1,38.7,12.1
74,15/03/2008,0.0,5.2,38.3,12.5
75,16/03/2008,0.0,5.5,38.9,13.0
76,17/03/2008,0.0,6.0,38.0,13.1
