,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.9,25.9,10.4
1,02/01/2008,0.0,3.0,21.1,9.2
2,03/01/2008,0.0,2.5,22.5,7.2
3,04/01/2008,0.0,3.0,24.9,5.5
4,05/01/2008,0.0,3.0,24.6,6.7
5,06/01/2008,0.0,3.6,25.9,7.9
6,07/01/2008,0.0,3.2,26.0,8.9
7,08/01/2008,0.0,4.2,25.6,8.6
8,09/01/2008,0.0,4.0,26.6,8.8
9,10/01/2008,0.0,3.9,25.3,8.7
10,11/01/2008,0.0,3.6,25.8,9.1
11,12/01/2008,0.0,3.4,25.0,9.0
12,13/01/2008,0.0,3.2,25.2,8.5
13,14/01/2008,0.0,4.1,26.2,8.4
14,15/01/2008,0.0,3.2,23.9,10.1
15,16/01/2008,0.0,4.4,24.1,8.5
16,17/01/2008,0.0,3.8,23.9,8.3
17,18/01/2008,0.0,1.8,21.6,9.8
18,19/01/2008,0.2,2.2,23.4,9.1
19,20/01/2008,0.0,2.5,22.5,9.2
20,21/01/2008,0.0,3.4,25.1,9.5
21,22/01/2008,0.0,3.2,26.1,10.2
22,23/01/2008,0.0,3.7,26.5,11.6
23,24/01/2008,0.0,4.6,27.7,11.9
24,25/01/2008,0.0,3.6,28.4,12.1
25,26/01/2008,0.0,3.3,28.7,12.2
26,27/01/2008,0.0,4.0,27.0,12.0
27,28/01/2008,0.0,3.9,27.6,12.1
28,29/01/2008,0.0,3.3,28.0,10.7
29,30/01/2008,0.0,4.2,28.2,11.2
30,31/01/2008,0.0,4.8,27.6,10.5
31,01/02/2008,0.0,4.2,26.0,6.0
32,02/02/2008,0.0,4.2,26.0,6.0
33,03/02/2008,0.0,4.2,26.0,6.0
34,04/02/2008,0.0,4.3,26.5,5.5
35,05/02/2008,0.0,4.9,26.5,4.5
36,06/02/2008,0.0,4.6,25.5,3.0
37,07/02/2008,0.0,4.3,26.0,4.0
38,08/02/2008,0.0,4.1,27.0,5.5
39,09/02/2008,0.0,3.9,27.0,5.5
40,10/02/2008,0.0,3.6,25.5,3.5
41,11/02/2008,0.0,4.2,25.5,6.5
42,12/02/2008,0.0,4.7,25.5,7.0
43,13/02/2008,0.0,4.7,26.5,5.0
44,14/02/2008,0.0,4.7,27.0,4.5
45,15/02/2008,0.0,4.7,28.5,3.0
