,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.2,27.0,1.5
1,02/01/2008,0.0,1.6,21.0,3.0
2,03/01/2008,0.0,2.5,24.5,2.0
3,04/01/2008,0.0,2.6,26.5,-1.0
4,05/01/2008,0.0,3.4,26.5,-0.5
5,06/01/2008,0.0,3.1,26.5,0.0
6,07/01/2008,0.0,3.1,28.0,-1.0
7,08/01/2008,0.0,3.5,28.5,-1.5
8,09/01/2008,0.0,3.5,28.0,-0.5
9,10/01/2008,0.0,3.3,26.5,-2.0
10,11/01/2008,0.0,3.8,26.0,-0.5
11,12/01/2008,0.0,4.2,26.0,-2.5
12,13/01/2008,0.0,3.5,27.5,-3.5
13,14/01/2008,0.0,4.8,25.5,1.5
14,15/01/2008,0.0,4.3,23.5,5.0
15,16/01/2008,0.0,4.0,24.5,2.0
16,17/01/2008,0.0,3.5,23.5,-1.0
17,18/01/2008,0.0,2.5,22.5,1.5
18,19/01/2008,0.0,4.1,27.0,0.5
19,20/01/2008,0.0,4.1,26.0,2.0
20,21/01/2008,0.0,4.2,27.0,2.0
21,22/01/2008,0.0,3.8,26.5,3.0
22,23/01/2008,0.0,4.5,31.0,3.0
23,24/01/2008,0.0,4.2,28.0,3.0
24,25/01/2008,0.0,4.9,27.5,4.5
25,26/01/2008,0.0,3.6,28.5,5.5
26,27/01/2008,0.0,3.8,28.5,5.0
27,28/01/2008,0.0,3.2,27.5,3.5
28,29/01/2008,0.0,6.1,26.0,2.5
29,30/01/2008,0.0,4.4,27.0,3.0
30,31/01/2008,0.0,4.1,29.0,1.5
31,01/02/2008,0.0,3.4,28.5,3.0
32,02/02/2008,0.0,4.5,29.5,2.0
33,03/02/2008,0.0,5.3,26.0,1.5
34,04/02/2008,0.0,4.1,28.0,1.5
35,05/02/2008,0.0,4.7,25.5,1.0
36,06/02/2008,0.0,4.9,29.0,0.5
37,07/02/2008,0.0,4.9,26.0,2.0
38,08/02/2008,0.0,2.9,28.0,3.5
39,09/02/2008,0.0,4.8,29.0,2.0
40,10/02/2008,1.1,0.9,26.5,4.0
41,11/02/2008,0.0,5.0,28.0,4.5
42,12/02/2008,0.0,6.0,27.5,1.0
43,13/02/2008,0.0,4.8,28.5,0.5
44,14/02/2008,0.0,4.6,28.5,0.0
45,15/02/2008,0.0,5.1,30.0,0.0
46,16/02/2008,0.0,5.5,29.5,-0.5
47,17/02/2008,0.0,5.5,28.0,-0.5
48,18/02/2008,0.0,6.6,28.0,0.0
49,19/02/2008,0.0,5.5,30.0,-0.5
50,20/02/2008,0.0,6.7,29.0,-0.5
51,21/02/2008,0.0,4.8,29.5,1.5
52,22/02/2008,0.0,5.6,30.0,0.0
53,23/02/2008,0.0,7.6,31.0,0.5
54,24/02/2008,0.0,6.4,33.5,1.5
55,25/02/2008,0.0,5.3,30.0,4.0
56,26/02/2008,0.0,7.5,30.0,2.0
57,27/02/2008,0.0,6.2,29.5,1.5
58,28/02/2008,0.0,5.8,30.0,4.5
59,29/02/2008,0.0,5.8,30.0,2.5
60,01/03/2008,0.0,4.6,30.5,3.0
61,02/03/2008,0.0,5.5,30.0,3.0
62,03/03/2008,0.0,7.9,29.5,0.0
63,04/03/2008,0.0,6.4,29.5,5.0
64,05/03/2008,0.0,6.8,27.5,1.5
65,06/03/2008,0.0,7.8,27.0,-1.0
66,07/03/2008,0.0,6.4,26.0,-4.5
67,08/03/2008,0.0,6.6,28.0,-1.0
68,09/03/2008,0.0,6.3,27.0,0.0
69,10/03/2008,0.0,6.1,28.5,0.5
70,11/03/2008,0.0,6.4,30.0,3.0
71,12/03/2008,0.0,5.8,31.0,3.0
72,13/03/2008,0.0,7.5,29.5,4.5
73,14/03/2008,0.0,8.7,30.0,-2.0
74,15/03/2008,0.0,6.9,32.0,1.0
75,16/03/2008,0.0,6.5,29.5,2.0
76,17/03/2008,0.0,8.4,27.0,2.0
77,18/03/2008,0.0,7.3,23.5,8.0
78,19/03/2008,0.0,6.6,29.0,-1.0
79,20/03/2008,0.0,5.7,29.0,2.5
80,21/03/2008,0.0,6.3,29.5,4.0
81,22/03/2008,0.0,7.2,30.0,4.0
82,23/03/2008,0.0,6.0,31.0,3.0
83,24/03/2008,0.0,6.8,31.0,3.0
84,25/03/2008,0.0,7.1,28.5,5.0
85,26/03/2008,0.0,6.0,30.0,5.0
86,27/03/2008,0.0,7.0,31.0,4.5
87,28/03/2008,0.0,7.9,32.0,3.5
88,29/03/2008,0.0,8.4,33.0,2.0
89,30/03/2008,0.0,7.7,32.5,2.5
90,31/03/2008,0.0,7.8,32.5,4.0
91,01/04/2008,0.0,9.5,33.0,3.0
92,02/04/2008,0.0,6.9,33.0,4.0
93,03/04/2008,0.0,7.9,32.5,4.5
94,04/04/2008,0.0,7.8,32.0,3.5
95,05/04/2008,0.0,7.0,29.5,4.0
96,06/04/2008,0.0,6.7,29.5,6.5
97,07/04/2008,0.0,7.9,31.0,5.5
98,08/04/2008,0.0,8.7,32.0,3.0
99,09/04/2008,0.0,9.2,30.5,5.0
100,10/04/2008,0.0,9.0,31.0,2.5
101,11/04/2008,0.0,8.1,31.0,3.0
102,12/04/2008,0.0,9.6,35.0,7.0
103,13/04/2008,0.0,2.4,32.5,8.5
104,14/04/2008,0.0,6.1,30.5,14.0
105,15/04/2008,0.0,6.2,30.0,11.5
106,16/04/2008,0.0,7.7,30.5,6.5
107,17/04/2008,0.0,9.0,30.5,3.0
108,18/04/2008,0.0,9.1,33.0,2.0
109,19/04/2008,0.0,8.9,34.5,5.5
110,20/04/2008,0.0,9.8,33.0,6.5
111,21/04/2008,0.0,10.1,34.0,6.0
112,22/04/2008,0.0,10.8,34.0,6.5
113,23/04/2008,0.0,9.9,34.0,6.0
114,24/04/2008,0.0,10.0,33.5,7.0
115,25/04/2008,0.0,9.4,36.5,5.5
116,26/04/2008,0.0,8.1,32.0,6.5
