,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.8,32.0,11.0
1,02/01/2008,0.0,3.7,33.0,11.0
2,03/01/2008,0.0,4.4,31.0,11.0
3,04/01/2008,0.0,5.9,31.0,10.0
4,05/01/2008,0.0,6.2,33.0,9.0
5,06/01/2008,0.0,4.4,32.0,8.5
6,07/01/2008,0.0,1.6,33.0,8.0
7,08/01/2008,0.0,4.5,33.0,6.5
8,09/01/2008,0.0,3.0,33.0,4.5
9,10/01/2008,0.0,3.7,36.0,5.0
10,11/01/2008,0.0,3.0,31.0,6.0
11,12/01/2008,0.0,4.9,31.0,5.0
12,13/01/2008,0.0,4.9,31.0,5.0
13,14/01/2008,0.0,4.1,32.0,5.0
14,15/01/2008,0.0,2.2,29.0,6.5
15,16/01/2008,0.0,4.5,32.0,7.5
16,17/01/2008,0.0,2.8,31.0,7.5
17,18/01/2008,0.0,3.7,30.0,7.0
18,19/01/2008,0.0,4.0,33.0,9.0
19,20/01/2008,0.0,4.0,31.0,10.0
20,21/01/2008,0.0,5.0,32.0,10.0
21,22/01/2008,0.0,2.3,34.0,10.0
22,23/01/2008,0.0,1.9,36.0,10.0
23,24/01/2008,0.0,2.4,33.0,10.0
24,25/01/2008,0.0,4.9,33.0,11.5
25,26/01/2008,0.0,4.5,35.0,11.5
26,27/01/2008,0.0,4.7,34.0,11.5
27,28/01/2008,0.0,3.1,34.0,10.0
28,29/01/2008,0.0,4.1,35.0,10.5
29,30/01/2008,0.0,4.6,32.0,11.0
30,31/01/2008,0.0,6.6,33.0,9.5
31,01/02/2008,0.0,3.0,32.0,8.0
32,02/02/2008,0.0,4.1,33.0,9.0
33,03/02/2008,0.0,5.0,34.0,9.5
34,04/02/2008,0.0,5.9,33.5,8.0
35,05/02/2008,0.0,6.0,32.5,9.0
36,06/02/2008,0.0,5.0,31.5,9.5
37,07/02/2008,0.0,4.5,32.0,9.0
38,08/02/2008,0.0,5.1,32.0,10.0
39,09/02/2008,0.0,4.2,33.0,10.0
40,10/02/2008,0.0,3.3,32.0,11.0
41,11/02/2008,0.0,4.3,33.0,11.0
42,12/02/2008,0.0,4.8,33.0,10.0
43,13/02/2008,0.0,2.9,34.0,9.0
44,14/02/2008,0.0,4.5,32.0,7.0
45,15/02/2008,0.0,6.9,34.0,6.0
46,16/02/2008,0.0,5.9,35.0,6.0
47,17/02/2008,0.0,4.9,35.0,7.0
48,18/02/2008,0.0,7.1,31.0,8.0
49,19/02/2008,0.0,3.8,32.0,6.0
50,20/02/2008,0.0,5.9,33.0,6.0
51,21/02/2008,0.0,4.2,34.0,6.0
52,22/02/2008,0.0,5.4,36.0,7.0
53,23/02/2008,0.0,5.2,35.0,9.0
54,24/02/2008,0.0,7.9,36.0,10.0
55,25/02/2008,0.0,7.9,34.0,9.0
56,26/02/2008,0.0,5.8,34.0,7.5
57,27/02/2008,0.0,5.6,34.0,7.5
58,28/02/2008,0.0,7.3,32.0,8.0
59,29/02/2008,0.0,5.7,34.0,8.0
60,01/03/2008,0.0,6.7,36.0,9.0
61,02/03/2008,0.0,5.2,33.0,10.0
62,03/03/2008,0.0,5.6,32.0,8.0
63,04/03/2008,0.0,4.8,29.5,8.0
64,05/03/2008,0.0,8.2,30.0,6.5
65,06/03/2008,0.0,7.9,30.5,5.5
66,07/03/2008,0.0,6.9,35.0,4.5
67,08/03/2008,0.0,7.2,32.0,3.5
68,09/03/2008,0.0,7.8,33.0,4.0
69,10/03/2008,0.0,7.0,35.0,6.0
70,11/03/2008,0.0,7.4,36.5,8.0
71,12/03/2008,0.0,7.1,36.0,10.0
72,13/03/2008,0.0,7.0,34.0,8.5
73,14/03/2008,0.0,8.0,34.0,7.8
74,15/03/2008,0.0,7.8,34.0,6.0
75,16/03/2008,0.0,7.7,34.0,7.0
76,17/03/2008,0.0,7.0,33.5,6.5
77,18/03/2008,0.0,7.7,31.0,7.0
78,19/03/2008,0.0,7.4,31.0,5.5
79,20/03/2008,0.0,7.3,34.0,6.0
80,21/03/2008,0.0,7.3,33.0,7.0
81,22/03/2008,0.0,8.8,36.0,10.0
82,23/03/2008,0.0,7.7,36.0,10.0
