,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,6.0,31.6,8.1
1,02/01/2008,0.0,5.1,22.1,8.1
2,03/01/2008,0.0,3.3,23.3,8.1
3,04/01/2008,0.0,4.5,26.8,4.4
4,05/01/2008,0.0,2.2,30.3,5.7
5,06/01/2008,0.0,4.3,31.9,5.4
6,07/01/2008,0.0,5.0,31.3,6.1
7,08/01/2008,0.0,6.0,31.4,5.1
8,09/01/2008,0.0,4.8,30.0,5.3
9,10/01/2008,0.0,5.2,30.1,5.3
10,11/01/2008,0.0,3.9,29.3,6.7
11,12/01/2008,0.0,4.6,29.0,5.4
12,13/01/2008,0.0,4.8,31.0,4.6
13,14/01/2008,0.0,4.6,27.3,4.9
14,15/01/2008,0.0,4.9,26.7,9.3
15,16/01/2008,0.0,6.0,25.9,7.0
16,17/01/2008,0.0,4.8,26.7,7.0
17,18/01/2008,0.0,4.5,27.4,8.4
18,19/01/2008,0.0,2.9,28.4,8.7
19,20/01/2008,0.0,4.1,27.7,8.3
20,21/01/2008,0.0,5.1,29.0,7.7
21,22/01/2008,0.0,3.7,29.0,8.1
22,23/01/2008,0.0,3.8,32.9,8.7
23,24/01/2008,0.0,6.0,32.9,9.7
24,25/01/2008,0.0,5.1,31.6,10.9
25,26/01/2008,0.0,5.3,32.4,11.8
26,27/01/2008,0.0,4.9,31.6,10.3
27,28/01/2008,0.0,5.5,30.9,10.1
28,29/01/2008,0.0,5.2,29.1,9.7
29,30/01/2008,0.0,5.8,29.9,9.6
30,31/01/2008,0.0,5.0,29.7,8.7
31,01/02/2008,0.0,7.0,27.7,8.2
32,02/02/2008,0.0,4.6,29.4,7.2
33,03/02/2008,0.0,4.7,29.2,8.1
34,04/02/2008,0.0,5.3,29.7,8.2
35,05/02/2008,0.0,6.0,29.0,6.7
36,06/02/2008,0.0,5.4,29.1,6.9
37,07/02/2008,0.0,4.1,28.9,6.7
38,08/02/2008,0.0,4.7,30.3,9.0
39,09/02/2008,0.1,4.0,29.1,8.5
40,10/02/2008,0.0,4.8,30.6,7.4
41,11/02/2008,0.0,6.0,29.4,8.1
42,12/02/2008,0.0,6.5,28.0,8.0
43,13/02/2008,0.0,6.7,29.5,6.7
44,14/02/2008,0.0,6.3,28.7,6.5
45,15/02/2008,0.0,6.0,30.8,5.8
46,16/02/2008,0.0,6.8,31.7,6.4
47,17/02/2008,0.0,6.3,31.7,7.1
48,18/02/2008,0.0,7.5,30.9,7.0
49,19/02/2008,0.0,6.8,30.0,6.4
50,20/02/2008,0.0,5.6,30.8,6.0
51,21/02/2008,0.0,6.2,30.1,7.3
52,22/02/2008,0.0,6.1,31.8,7.0
53,23/02/2008,0.0,4.9,31.9,7.7
54,24/02/2008,0.0,5.2,33.3,7.9
55,25/02/2008,0.0,6.3,32.9,9.5
56,26/02/2008,0.0,7.7,32.1,7.3
57,27/02/2008,0.0,6.6,29.0,6.6
58,28/02/2008,0.0,7.5,29.9,8.8
59,29/02/2008,0.0,4.9,30.8,7.6
60,01/03/2008,0.0,6.0,31.4,9.5
