,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.5,27.8,0.9
1,02/01/2008,0.0,5.6,22.3,-0.4
2,03/01/2008,0.0,4.0,23.3,2.8
3,04/01/2008,0.0,3.7,26.7,2.3
4,05/01/2008,0.0,3.0,27.3,2.2
5,06/01/2008,0.0,4.1,26.5,2.9
6,07/01/2008,0.0,3.9,26.3,2.7
7,08/01/2008,0.0,3.8,26.0,1.1
8,09/01/2008,0.0,3.6,26.6,1.7
9,10/01/2008,0.0,3.8,25.5,1.9
10,11/01/2008,0.0,3.5,25.4,3.2
11,12/01/2008,0.0,3.6,26.4,-0.4
12,13/01/2008,0.0,4.0,25.1,-0.3
13,14/01/2008,0.0,4.0,24.7,4.7
14,15/01/2008,0.0,4.5,24.3,5.8
15,16/01/2008,0.0,3.9,24.3,4.2
16,17/01/2008,0.0,3.7,24.4,0.8
17,18/01/2008,0.0,3.2,22.3,0.0
18,19/01/2008,0.0,3.4,24.6,0.7
19,20/01/2008,0.0,3.5,24.3,3.2
20,21/01/2008,0.0,3.5,25.6,0.8
21,22/01/2008,0.0,3.7,26.3,4.2
22,23/01/2008,0.0,4.3,29.3,5.4
23,24/01/2008,0.0,4.2,28.8,7.0
24,25/01/2008,0.0,3.9,28.9,4.9
25,26/01/2008,0.0,4.5,28.8,6.8
26,27/01/2008,0.0,5.1,29.9,8.6
27,28/01/2008,0.0,4.5,28.0,5.9
28,29/01/2008,0.0,3.9,26.3,4.7
29,30/01/2008,0.0,4.2,25.9,3.9
30,31/01/2008,0.0,5.8,25.9,2.7
31,01/02/2008,0.0,5.4,26.0,2.7
32,02/02/2008,0.0,4.7,25.0,4.5
33,03/02/2008,0.0,5.6,25.3,3.8
34,04/02/2008,0.0,5.1,24.6,3.4
35,05/02/2008,0.0,6.0,24.4,4.2
36,06/02/2008,0.0,6.3,24.5,2.4
37,07/02/2008,0.0,3.7,25.5,3.2
38,08/02/2008,0.0,5.8,26.1,4.5
39,09/02/2008,0.0,4.6,27.0,5.2
40,10/02/2008,0.0,4.9,25.6,5.8
41,11/02/2008,0.0,3.7,24.5,5.8
42,12/02/2008,0.0,3.4,24.6,6.3
43,13/02/2008,0.0,5.5,25.4,3.8
44,14/02/2008,0.0,6.8,24.6,4.2
45,15/02/2008,0.0,7.1,26.4,3.4
46,16/02/2008,0.0,5.3,27.1,4.4
47,17/02/2008,0.0,8.4,27.4,3.6
48,18/02/2008,0.0,6.7,28.3,3.4
49,19/02/2008,0.0,6.7,27.4,4.3
50,20/02/2008,0.0,6.7,26.4,3.4
51,21/02/2008,0.0,6.5,26.2,5.1
52,22/02/2008,0.0,7.0,28.4,3.3
53,23/02/2008,0.0,5.4,31.1,4.0
54,24/02/2008,0.0,4.6,32.2,6.0
