,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.9,27.4,6.2
1,02/01/2008,0.0,4.7,20.0,5.7
2,03/01/2008,0.0,3.1,23.0,2.2
3,04/01/2008,0.0,3.4,26.3,3.1
4,05/01/2008,0.0,3.2,27.1,3.4
5,06/01/2008,0.0,3.3,27.7,4.2
6,07/01/2008,0.0,4.2,27.2,4.3
7,08/01/2008,0.0,3.9,26.7,4.5
8,09/01/2008,0.0,4.5,27.2,4.5
9,10/01/2008,0.0,3.5,25.7,4.6
10,11/01/2008,0.0,3.3,26.0,4.5
11,12/01/2008,0.0,3.8,25.9,4.6
12,13/01/2008,0.0,3.5,25.7,4.8
13,14/01/2008,0.0,5.0,26.2,3.2
14,15/01/2008,0.0,3.8,23.8,7.6
15,16/01/2008,0.0,3.5,23.1,5.7
16,17/01/2008,0.0,3.0,23.3,4.8
17,18/01/2008,0.0,2.7,23.8,4.6
18,19/01/2008,0.0,2.8,26.9,5.2
19,20/01/2008,0.0,2.8,24.7,5.3
20,21/01/2008,0.0,3.5,25.9,6.1
21,22/01/2008,0.0,3.5,27.3,4.0
22,23/01/2008,0.0,4.1,29.3,4.0
23,24/01/2008,0.0,3.5,29.2,8.1
24,25/01/2008,0.0,3.2,28.4,8.6
25,26/01/2008,0.0,4.4,28.7,8.2
26,27/01/2008,0.0,4.0,29.2,8.3
27,28/01/2008,0.0,4.1,27.5,8.5
28,29/01/2008,0.0,3.7,26.2,7.1
29,30/01/2008,0.0,4.4,27.4,7.1
30,31/01/2008,0.0,4.4,26.9,6.9
31,01/02/2008,0.0,4.3,26.8,5.1
32,02/02/2008,0.0,4.2,26.6,4.9
33,03/02/2008,0.0,4.5,26.0,4.8
34,04/02/2008,0.0,4.7,26.4,5.0
35,05/02/2008,0.0,4.8,26.7,4.8
36,06/02/2008,0.0,4.6,26.9,3.9
37,07/02/2008,0.0,3.8,25.3,4.4
38,08/02/2008,0.1,3.8,26.1,5.0
39,09/02/2008,0.0,4.0,27.4,5.1
40,10/02/2008,0.0,3.9,26.9,5.8
41,11/02/2008,0.0,4.4,25.4,6.8
42,12/02/2008,0.0,5.3,25.8,5.6
43,13/02/2008,0.0,5.1,26.7,4.6
44,14/02/2008,0.0,5.6,26.8,4.3
45,15/02/2008,0.0,5.8,27.2,3.7
46,16/02/2008,0.0,5.9,27.7,4.0
47,17/02/2008,0.0,5.9,27.9,3.7
48,18/02/2008,0.0,5.5,28.8,3.7
49,19/02/2008,0.0,5.4,28.4,4.7
50,20/02/2008,0.0,5.6,27.3,4.0
51,21/02/2008,0.0,4.9,27.1,4.3
52,22/02/2008,0.0,5.0,27.8,4.4
53,23/02/2008,0.0,6.0,29.9,4.5
54,24/02/2008,0.0,6.4,31.6,4.8
55,25/02/2008,0.0,6.3,30.5,5.4
56,26/02/2008,0.0,7.0,31.5,5.3
57,27/02/2008,0.0,5.7,27.5,6.1
58,28/02/2008,0.0,4.6,27.3,6.9
59,29/02/2008,0.0,5.3,28.1,6.0
60,01/03/2008,0.0,5.8,28.4,5.8
61,02/03/2008,0.0,6.6,27.9,5.8
62,03/03/2008,0.0,6.7,28.3,3.9
63,04/03/2008,0.0,6.1,27.5,5.3
64,05/03/2008,0.0,7.2,28.1,4.7
65,06/03/2008,0.0,7.1,27.3,4.1
66,07/03/2008,0.0,6.2,26.4,1.1
67,08/03/2008,0.0,6.8,26.5,2.4
68,09/03/2008,0.0,6.4,26.1,2.8
69,10/03/2008,0.0,5.9,27.8,3.8
70,11/03/2008,0.0,5.6,27.9,5.1
71,12/03/2008,0.0,7.2,28.8,5.6
72,13/03/2008,0.0,8.1,28.5,5.9
73,14/03/2008,0.0,6.7,28.9,3.9
74,15/03/2008,0.0,6.9,29.5,4.2
75,16/03/2008,0.0,7.2,29.3,5.6
76,17/03/2008,0.0,7.4,29.2,5.7
77,18/03/2008,0.0,8.9,27.8,7.3
78,19/03/2008,0.0,6.4,28.2,6.6
79,20/03/2008,0.0,6.4,28.6,7.0
80,21/03/2008,0.0,6.7,29.9,6.5
81,22/03/2008,0.0,6.6,29.3,6.7
82,23/03/2008,0.0,6.9,30.1,6.6
83,24/03/2008,0.0,6.2,28.9,7.4
84,25/03/2008,0.0,5.5,27.6,9.1
85,26/03/2008,0.0,6.5,30.0,7.9
86,27/03/2008,0.0,7.2,29.7,7.8
87,28/03/2008,0.0,7.6,30.1,7.3
88,29/03/2008,0.0,7.9,30.8,6.7
89,30/03/2008,0.0,7.8,31.8,6.9
90,31/03/2008,0.0,7.7,32.3,6.9
91,01/04/2008,0.0,8.2,33.4,7.1
92,02/04/2008,0.0,7.5,33.5,7.9
93,03/04/2008,0.0,8.2,33.4,8.6
94,04/04/2008,0.0,8.1,32.4,8.1
95,05/04/2008,0.0,8.1,31.8,7.4
96,06/04/2008,0.0,8.0,31.4,8.2
