,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.5,30.2,8.4
1,02/01/2008,0.0,4.2,24.2,8.4
2,03/01/2008,0.0,3.5,27.5,8.4
3,04/01/2008,0.0,3.8,29.5,5.7
4,05/01/2008,0.0,2.8,31.0,6.2
5,06/01/2008,0.0,4.0,32.8,6.7
6,07/01/2008,0.0,4.0,32.1,6.5
7,08/01/2008,0.0,4.4,32.6,5.5
8,09/01/2008,0.0,4.2,30.0,6.1
9,10/01/2008,0.0,4.2,32.1,6.1
10,11/01/2008,0.0,3.8,30.2,7.2
11,12/01/2008,0.0,4.0,28.9,6.7
12,13/01/2008,0.0,3.9,33.9,4.7
13,14/01/2008,0.0,4.0,29.8,5.8
14,15/01/2008,0.0,4.0,25.8,9.9
15,16/01/2008,0.0,4.5,25.4,6.9
16,17/01/2008,0.0,3.8,28.9,6.7
17,18/01/2008,0.0,3.4,25.4,9.5
18,19/01/2008,0.1,3.1,26.6,9.1
19,20/01/2008,0.0,3.5,28.3,9.0
20,21/01/2008,0.0,4.2,27.5,8.3
21,22/01/2008,0.0,3.9,29.1,8.5
22,23/01/2008,0.0,3.8,30.8,9.3
23,24/01/2008,0.0,4.9,30.7,10.3
24,25/01/2008,0.0,4.3,30.3,11.9
25,26/01/2008,0.0,4.4,30.6,14.3
26,27/01/2008,0.0,4.5,30.3,11.0
27,28/01/2008,0.0,4.5,28.9,10.4
28,29/01/2008,0.0,4.3,28.2,10.2
29,30/01/2008,0.0,4.7,29.5,9.7
30,31/01/2008,0.0,4.7,25.7,9.3
31,01/02/2008,0.0,3.1,21.5,6.4
32,02/02/2008,0.0,3.9,25.7,5.7
33,03/02/2008,0.0,3.6,25.0,6.1
34,04/02/2008,0.0,3.2,25.3,6.0
35,05/02/2008,0.0,3.8,25.5,4.8
36,06/02/2008,0.0,3.6,26.0,4.6
37,07/02/2008,0.0,3.1,25.6,5.0
38,08/02/2008,0.0,3.5,26.1,6.9
39,09/02/2008,0.6,3.0,26.2,7.8
40,10/02/2008,0.0,3.1,26.0,8.1
41,11/02/2008,0.0,2.7,25.6,7.8
42,12/02/2008,0.0,3.6,24.7,5.9
43,13/02/2008,0.0,4.1,26.0,4.8
44,14/02/2008,0.0,4.3,25.9,4.2
45,15/02/2008,0.0,5.5,26.8,4.5
46,16/02/2008,0.0,4.5,27.4,5.4
47,17/02/2008,0.0,5.0,27.3,6.2
48,18/02/2008,0.0,5.2,27.1,6.0
49,19/02/2008,0.0,4.5,26.6,5.0
50,20/02/2008,0.0,5.0,26.9,4.7
51,21/02/2008,0.0,5.1,27.0,5.5
52,22/02/2008,0.0,4.6,27.9,6.1
53,23/02/2008,0.0,5.0,28.2,6.1
54,24/02/2008,0.0,4.1,31.1,6.7
55,25/02/2008,0.0,5.1,29.1,8.4
56,26/02/2008,0.0,5.4,29.3,6.0
57,27/02/2008,0.0,5.2,27.8,6.0
58,28/02/2008,0.0,5.1,26.2,7.5
59,29/02/2008,0.0,5.1,26.7,5.5
60,01/03/2008,0.0,4.9,27.8,7.1
61,02/03/2008,0.0,4.5,27.4,7.4
62,03/03/2008,0.0,5.6,26.6,4.7
63,04/03/2008,0.0,4.9,27.0,7.3
64,05/03/2008,0.0,5.9,27.0,6.1
65,06/03/2008,0.0,5.8,26.3,4.9
66,07/03/2008,0.0,5.3,25.3,2.3
67,08/03/2008,0.0,6.4,24.1,3.1
68,09/03/2008,0.0,6.3,25.1,4.0
69,10/03/2008,0.0,5.5,26.7,4.6
70,11/03/2008,0.0,5.0,27.0,6.1
71,12/03/2008,0.0,6.2,27.0,6.2
72,13/03/2008,0.0,6.8,27.9,7.5
73,14/03/2008,0.0,5.2,28.5,5.0
74,15/03/2008,0.0,7.2,28.2,6.1
75,16/03/2008,0.0,6.2,28.3,6.6
76,17/03/2008,0.0,5.8,27.4,6.3
77,18/03/2008,0.0,6.7,25.6,5.4
78,19/03/2008,0.0,5.8,26.9,6.8
79,20/03/2008,0.0,5.7,27.8,7.1
80,21/03/2008,0.0,6.3,28.8,7.9
81,22/03/2008,0.0,4.6,28.8,8.7
82,23/03/2008,0.0,6.3,28.7,7.7
83,24/03/2008,0.0,6.2,27.7,8.3
84,25/03/2008,0.0,5.4,27.2,8.0
85,26/03/2008,0.0,6.4,28.8,8.7
86,27/03/2008,0.0,5.8,29.2,8.5
87,28/03/2008,0.0,7.9,29.1,7.8
88,29/03/2008,0.0,6.8,29.3,7.8
89,30/03/2008,0.0,6.2,29.7,7.9
90,31/03/2008,0.0,6.8,30.1,8.2
91,01/04/2008,0.0,7.7,31.2,8.2
92,02/04/2008,0.0,7.0,31.7,10.0
93,03/04/2008,5.1,8.5,32.5,9.3
94,04/04/2008,0.0,7.9,32.5,10.9
95,05/04/2008,0.0,7.0,29.1,9.9
96,06/04/2008,0.0,6.4,29.0,9.3
97,07/04/2008,0.0,6.3,30.3,9.7
98,08/04/2008,0.0,7.2,30.6,9.9
99,09/04/2008,0.0,7.0,30.5,9.0
100,10/04/2008,0.0,7.5,30.7,9.1
101,11/04/2008,0.0,7.1,31.2,8.7
102,12/04/2008,0.0,7.0,31.2,10.8
103,13/04/2008,7.3,6.4,28.8,13.6
104,14/04/2008,0.0,6.1,27.0,13.8
105,15/04/2008,1.2,3.9,27.7,12.1
106,16/04/2008,0.0,5.3,30.0,11.0
107,17/04/2008,0.0,5.1,29.9,9.7
108,18/04/2008,0.0,5.5,31.3,8.0
109,19/04/2008,0.0,5.7,31.9,10.1
110,20/04/2008,0.0,5.7,29.9,11.1
111,21/04/2008,0.0,6.3,31.8,10.3
112,22/04/2008,0.0,7.8,34.2,10.9
113,23/04/2008,0.0,8.4,33.4,10.5
114,24/04/2008,0.0,7.9,30.6,12.5
115,25/04/2008,0.0,7.4,32.2,10.5
116,26/04/2008,0.0,7.5,31.6,11.1
117,27/04/2008,0.0,7.3,31.8,10.6
118,28/04/2008,0.0,6.4,31.5,11.2
119,29/04/2008,0.0,6.6,30.1,12.9
120,30/04/2008,0.0,6.8,29.4,11.6
121,01/05/2008,0.0,7.1,30.4,9.3
122,02/05/2008,0.0,7.6,30.3,9.1
123,03/05/2008,0.0,7.4,31.7,10.3
124,04/05/2008,0.0,8.0,32.2,11.0
125,05/05/2008,0.0,7.5,30.9,13.5
126,06/05/2008,0.0,4.7,30.6,13.4
127,07/05/2008,0.0,6.0,29.4,13.5
128,08/05/2008,0.0,6.6,33.3,11.9
129,09/05/2008,0.0,7.2,32.6,12.8
130,10/05/2008,0.0,6.5,33.3,12.8
131,11/05/2008,2.4,6.9,33.7,14.8
132,12/05/2008,1.1,5.5,30.8,15.0
133,13/05/2008,0.0,5.7,29.8,11.8
134,14/05/2008,0.0,7.3,30.3,10.4
135,15/05/2008,0.6,6.4,27.4,13.6
136,16/05/2008,0.0,6.1,29.2,13.0
137,17/05/2008,0.0,5.5,29.5,12.9
138,18/05/2008,0.0,5.9,29.8,12.2
139,19/05/2008,0.0,7.0,27.1,11.8
140,20/05/2008,0.0,5.1,27.6,12.0
141,21/05/2008,4.8,5.0,28.1,10.9
142,22/05/2008,0.0,7.4,25.6,10.4
143,23/05/2008,0.0,6.3,28.4,8.6
144,24/05/2008,0.0,5.7,30.2,10.0
145,25/05/2008,0.0,6.8,31.5,12.7
146,26/05/2008,0.0,6.4,31.1,13.7
147,27/05/2008,0.0,6.4,31.0,14.1
148,28/05/2008,0.3,6.1,30.4,15.9
149,29/05/2008,0.0,6.1,29.7,14.9
150,30/05/2008,0.0,5.4,30.4,15.2
151,31/05/2008,0.2,4.7,30.1,15.0
152,01/06/2008,0.0,5.8,29.6,12.6
153,02/06/2008,0.0,5.4,31.4,13.3
154,03/06/2008,0.0,6.3,30.6,13.7
155,04/06/2008,0.0,7.0,28.1,12.5
156,05/06/2008,0.0,6.8,27.4,12.6
157,06/06/2008,0.2,6.0,27.4,12.1
158,07/06/2008,1.0,5.8,27.4,12.4
159,08/06/2008,15.1,4.6,25.8,14.1
160,09/06/2008,39.3,4.5,25.2,14.4
161,10/06/2008,7.0,4.5,21.3,14.8
162,11/06/2008,0.0,3.0,20.9,13.6
163,12/06/2008,3.8,1.8,20.6,13.9
164,13/06/2008,0.5,1.7,24.2,13.6
165,14/06/2008,8.4,3.8,25.4,13.6
166,15/06/2008,10.4,5.1,25.7,13.1
167,16/06/2008,0.0,4.6,24.0,12.7
168,17/06/2008,0.0,4.9,26.5,12.4
169,18/06/2008,0.0,4.3,26.9,13.1
170,19/06/2008,0.7,3.6,26.3,13.1
171,20/06/2008,34.7,4.8,26.7,13.0
172,21/06/2008,25.3,5.6,25.3,12.6
173,22/06/2008,11.6,3.8,24.3,13.2
174,23/06/2008,0.0,2.9,24.5,13.2
175,24/06/2008,13.5,4.0,25.7,13.6
176,25/06/2008,0.0,4.6,25.7,13.8
177,26/06/2008,0.0,3.3,25.4,13.0
178,27/06/2008,1.3,3.1,24.2,13.1
179,28/06/2008,8.7,3.4,25.0,13.6
180,29/06/2008,0.8,4.1,24.4,13.6
181,30/06/2008,4.8,3.2,24.3,14.5
182,01/07/2008,0.3,4.1,24.3,16.3
183,02/07/2008,16.9,3.1,24.7,15.7
184,03/07/2008,1.8,3.5,24.4,16.1
185,04/07/2008,10.7,3.0,25.7,14.8
186,05/07/2008,29.5,3.1,26.0,15.3
187,06/07/2008,14.6,3.1,23.8,16.0
