,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.0,29.4,5.2
1,02/01/2008,0.0,3.1,27.7,5.2
2,03/01/2008,0.0,4.0,27.0,2.0
3,04/01/2008,0.0,3.9,27.0,2.0
4,05/01/2008,0.0,3.0,28.7,2.0
5,06/01/2008,0.0,2.8,29.7,2.4
6,07/01/2008,0.0,3.9,30.2,2.7
7,08/01/2008,0.0,4.3,28.0,1.4
8,09/01/2008,0.0,3.9,28.5,1.4
9,10/01/2008,0.0,4.3,27.2,2.1
10,11/01/2008,0.0,3.3,27.5,1.4
11,12/01/2008,0.0,4.6,26.0,0.7
12,13/01/2008,0.0,3.8,28.7,0.3
13,14/01/2008,0.0,3.9,26.0,1.4
14,15/01/2008,0.0,4.4,24.3,4.7
15,16/01/2008,0.0,6.1,24.3,5.0
16,17/01/2008,0.0,6.1,24.3,2.0
17,18/01/2008,0.0,5.8,24.0,2.0
18,19/01/2008,0.0,5.5,25.1,2.4
19,20/01/2008,0.0,5.1,25.7,3.4
20,21/01/2008,0.0,5.3,27.4,4.4
21,22/01/2008,0.0,1.6,28.5,4.4
22,23/01/2008,0.0,4.3,31.0,5.0
23,24/01/2008,0.0,2.8,25.7,6.0
24,25/01/2008,0.0,4.9,29.4,5.9
25,26/01/2008,0.0,6.0,29.4,6.0
26,27/01/2008,0.0,4.0,35.9,6.4
27,28/01/2008,0.0,3.0,30.7,5.0
28,29/01/2008,0.0,5.2,29.5,4.0
29,30/01/2008,0.0,5.2,28.0,4.5
30,31/01/2008,0.0,5.0,28.6,3.7
31,01/02/2008,0.0,4.2,28.0,5.6
32,02/02/2008,0.0,4.9,28.5,4.3
33,03/02/2008,0.0,3.8,27.9,4.2
34,04/02/2008,0.0,5.0,29.4,4.3
35,05/02/2008,0.0,3.9,29.5,2.9
36,06/02/2008,0.0,5.1,28.8,3.2
37,07/02/2008,0.0,3.6,28.9,4.5
38,08/02/2008,0.0,3.7,29.5,5.0
39,09/02/2008,0.0,4.1,29.9,5.1
40,10/02/2008,0.5,3.2,29.0,5.5
41,11/02/2008,0.0,4.9,28.3,5.6
42,12/02/2008,0.0,3.9,25.8,4.9
43,13/02/2008,0.0,5.7,29.3,3.1
44,14/02/2008,0.0,4.4,28.6,2.6
45,15/02/2008,0.0,5.9,30.6,2.2
46,16/02/2008,0.0,3.4,30.8,2.5
47,17/02/2008,0.0,5.8,30.9,3.0
48,18/02/2008,0.0,5.2,30.9,3.9
49,19/02/2008,0.0,5.9,29.8,2.1
50,20/02/2008,0.0,5.0,29.6,2.3
51,21/02/2008,0.0,5.1,29.3,2.4
52,22/02/2008,0.0,5.0,32.0,4.0
53,23/02/2008,0.0,5.1,33.1,3.4
54,24/02/2008,0.0,1.8,34.7,4.1
