,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.4,23.7,5.4
1,02/01/2008,0.0,4.0,21.6,3.2
2,03/01/2008,0.0,3.7,22.2,1.4
3,04/01/2008,0.0,3.4,24.0,1.8
4,05/01/2008,0.0,2.7,25.4,2.8
5,06/01/2008,0.0,3.9,27.3,2.3
6,07/01/2008,0.0,3.6,26.5,4.2
7,08/01/2008,0.0,2.4,26.0,3.6
8,09/01/2008,0.0,4.0,26.1,3.4
9,10/01/2008,0.0,3.7,25.9,3.7
10,11/01/2008,0.0,2.3,27.1,3.6
11,12/01/2008,0.0,4.2,25.5,3.2
12,13/01/2008,0.0,4.1,25.8,3.4
13,14/01/2008,0.0,4.3,25.0,4.4
14,15/01/2008,0.0,3.6,26.7,5.2
15,16/01/2008,0.0,4.2,23.9,4.2
16,17/01/2008,0.0,3.0,22.5,4.0
17,18/01/2008,0.0,4.0,23.1,4.0
18,19/01/2008,0.0,4.2,24.3,4.0
19,20/01/2008,0.0,3.2,23.3,3.6
20,21/01/2008,0.0,3.4,25.8,4.0
21,22/01/2008,0.0,2.6,27.5,5.0
22,23/01/2008,0.0,3.6,29.0,5.4
23,24/01/2008,0.0,2.7,26.8,7.0
24,25/01/2008,0.0,2.8,26.5,5.6
25,26/01/2008,0.0,4.8,29.0,7.4
26,27/01/2008,0.0,4.2,26.7,6.8
27,28/01/2008,0.0,3.2,26.7,5.2
28,29/01/2008,0.0,4.5,26.9,6.4
29,30/01/2008,0.0,4.9,25.8,6.4
30,31/01/2008,0.0,4.8,25.8,6.8
31,01/02/2008,0.0,5.2,23.5,6.6
32,02/02/2008,0.0,5.8,24.2,5.7
33,03/02/2008,0.0,5.2,24.1,6.2
34,04/02/2008,0.0,5.0,23.5,6.5
35,05/02/2008,0.0,6.1,24.2,6.5
36,06/02/2008,0.0,5.2,24.3,5.7
37,07/02/2008,0.0,5.5,23.2,6.1
38,08/02/2008,0.3,5.8,24.4,6.2
39,09/02/2008,0.0,4.7,25.8,6.3
40,10/02/2008,0.0,5.4,24.6,7.3
41,11/02/2008,0.0,4.9,23.6,8.3
42,12/02/2008,0.0,6.5,23.9,7.2
43,13/02/2008,0.0,5.8,24.2,6.8
44,14/02/2008,0.0,5.9,23.8,6.2
45,15/02/2008,0.0,6.2,25.8,5.5
46,16/02/2008,0.0,6.9,24.8,5.5
47,17/02/2008,0.0,6.5,26.3,6.9
48,18/02/2008,0.0,6.5,26.0,6.1
49,19/02/2008,0.0,7.0,25.1,6.6
50,20/02/2008,0.0,6.3,24.3,6.7
51,21/02/2008,0.0,6.9,25.1,6.5
52,22/02/2008,0.0,6.0,25.8,6.7
53,23/02/2008,0.0,6.7,27.6,6.5
54,24/02/2008,0.0,7.1,29.0,7.1
55,25/02/2008,0.0,6.9,27.4,8.3
56,26/02/2008,0.0,6.9,27.2,8.1
57,27/02/2008,0.0,6.1,24.6,7.1
58,28/02/2008,0.0,6.5,24.3,6.3
59,29/02/2008,0.0,5.8,24.9,6.5
60,01/03/2008,0.0,5.2,26.6,7.5
61,02/03/2008,0.0,7.5,24.8,8.2
62,03/03/2008,0.0,7.2,24.2,7.1
63,04/03/2008,0.0,6.8,24.6,7.5
64,05/03/2008,0.0,7.8,24.7,6.4
65,06/03/2008,0.0,9.0,22.6,5.7
66,07/03/2008,0.0,7.6,22.7,3.7
67,08/03/2008,0.0,7.0,22.9,3.7
68,09/03/2008,0.0,6.9,22.3,4.7
69,10/03/2008,0.0,7.0,24.6,5.1
70,11/03/2008,0.0,6.2,24.9,6.6
71,12/03/2008,0.0,7.5,25.4,7.0
72,13/03/2008,0.0,7.4,25.3,7.8
73,14/03/2008,0.0,6.4,26.6,6.5
74,15/03/2008,0.0,8.6,27.3,6.9
75,16/03/2008,0.0,4.0,26.0,7.2
76,17/03/2008,0.0,9.0,25.4,8.0
77,18/03/2008,0.0,8.8,23.8,7.9
78,19/03/2008,0.0,7.9,25.3,6.5
79,20/03/2008,0.0,5.9,26.5,6.8
80,21/03/2008,0.0,7.3,27.5,7.2
81,22/03/2008,0.0,7.6,26.9,8.4
82,23/03/2008,0.0,7.0,25.6,9.2
83,24/03/2008,0.0,7.3,25.5,9.6
84,25/03/2008,0.0,7.0,24.9,8.5
85,26/03/2008,0.0,6.2,26.4,8.9
86,27/03/2008,0.0,7.3,26.7,9.7
87,28/03/2008,0.0,7.1,27.3,9.6
88,29/03/2008,0.0,8.3,28.2,10.0
89,30/03/2008,0.0,7.5,28.4,9.2
90,31/03/2008,0.0,8.7,28.6,9.9
91,01/04/2008,0.0,8.0,31.7,10.0
92,02/04/2008,0.0,8.8,31.9,10.8
93,03/04/2008,0.0,9.7,29.9,11.7
94,04/04/2008,0.0,8.4,30.0,10.5
95,05/04/2008,0.0,8.2,26.8,10.1
96,06/04/2008,0.0,7.7,27.6,11.0
97,07/04/2008,0.0,8.6,27.8,10.6
98,08/04/2008,0.0,7.5,28.8,10.9
99,09/04/2008,0.0,9.2,29.0,10.9
100,10/04/2008,0.0,10.6,29.0,9.9
101,11/04/2008,0.0,7.5,29.9,9.9
102,12/04/2008,0.0,7.5,30.9,11.1
