,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.3,28.8,7.4
1,02/01/2008,0.0,2.7,23.4,7.0
2,03/01/2008,0.0,2.3,24.9,7.4
3,04/01/2008,0.0,2.5,27.4,4.7
4,05/01/2008,0.0,2.5,27.6,5.0
5,06/01/2008,0.0,2.4,29.4,5.5
6,07/01/2008,0.0,2.4,30.1,5.4
7,08/01/2008,0.0,2.5,30.1,4.5
8,09/01/2008,0.0,2.6,29.6,5.0
9,10/01/2008,0.0,2.5,28.8,4.6
10,11/01/2008,0.0,2.5,29.0,5.2
11,12/01/2008,0.0,2.4,27.2,5.1
12,13/01/2008,0.0,2.2,30.1,3.8
13,14/01/2008,0.0,2.5,27.8,3.7
14,15/01/2008,0.0,2.3,26.1,6.0
15,16/01/2008,0.0,2.4,25.7,5.7
16,17/01/2008,0.0,2.2,27.1,4.3
17,18/01/2008,0.0,1.8,23.6,6.0
18,19/01/2008,0.3,1.6,26.7,6.8
19,20/01/2008,0.0,2.3,28.2,6.9
20,21/01/2008,0.0,2.5,27.2,7.1
21,22/01/2008,0.0,2.5,28.6,5.5
22,23/01/2008,0.0,3.0,30.7,8.2
23,24/01/2008,0.0,3.3,30.4,8.7
24,25/01/2008,0.0,3.0,29.7,9.8
25,26/01/2008,0.0,2.9,29.8,11.0
26,27/01/2008,0.0,3.2,30.0,10.0
27,28/01/2008,0.0,3.1,29.2,8.8
28,29/01/2008,0.0,3.0,28.6,8.4
29,30/01/2008,0.0,3.1,28.9,8.2
30,31/01/2008,0.0,3.3,28.1,7.9
31,01/02/2008,0.0,4.2,30.1,6.0
32,02/02/2008,0.0,5.2,30.8,5.8
33,03/02/2008,0.0,4.9,30.4,5.8
34,04/02/2008,0.0,4.8,30.4,5.4
35,05/02/2008,0.0,4.8,30.8,5.1
36,06/02/2008,0.0,4.6,30.4,4.6
37,07/02/2008,0.0,3.9,28.6,4.9
38,08/02/2008,0.0,4.3,30.4,5.6
39,09/02/2008,0.0,4.1,31.5,5.6
40,10/02/2008,0.0,3.5,30.6,5.6
41,11/02/2008,0.0,4.7,29.2,7.1
42,12/02/2008,0.0,5.1,30.1,6.2
43,13/02/2008,0.0,5.3,30.4,4.4
44,14/02/2008,0.0,4.2,30.0,4.8
45,15/02/2008,0.0,3.5,31.4,4.1
46,16/02/2008,0.0,3.9,31.2,3.8
47,17/02/2008,0.0,4.2,33.1,4.0
48,18/02/2008,0.0,4.4,32.1,4.2
49,19/02/2008,0.0,4.5,31.4,3.8
50,20/02/2008,0.0,4.2,31.4,3.8
51,21/02/2008,0.0,5.1,31.4,5.3
52,22/02/2008,0.0,5.4,33.4,5.4
53,23/02/2008,0.0,4.4,34.4,4.6
54,24/02/2008,0.0,4.5,36.4,5.4
55,25/02/2008,0.0,5.3,34.1,6.2
56,26/02/2008,0.0,6.4,34.6,4.6
57,27/02/2008,0.0,4.5,32.8,5.5
58,28/02/2008,0.0,4.8,31.4,6.6
59,29/02/2008,0.0,4.6,32.1,6.1
60,01/03/2008,0.0,4.9,32.4,6.9
61,02/03/2008,0.0,4.7,32.4,5.1
62,03/03/2008,0.0,5.2,32.9,4.0
63,04/03/2008,0.0,5.7,31.8,4.6
64,05/03/2008,0.0,5.3,32.4,3.7
65,06/03/2008,0.0,5.1,30.0,1.5
66,07/03/2008,0.0,4.7,29.2,2.5
67,08/03/2008,0.0,4.6,29.9,2.9
68,09/03/2008,0.0,4.3,30.9,4.6
69,10/03/2008,0.0,3.8,31.4,4.8
70,11/03/2008,0.0,6.0,31.4,4.0
71,12/03/2008,0.0,5.6,31.5,5.8
72,13/03/2008,0.0,5.5,33.8,6.8
73,14/03/2008,0.0,4.7,33.9,5.9
74,15/03/2008,0.0,5.6,33.4,4.4
75,16/03/2008,0.0,5.1,31.6,5.8
76,17/03/2008,0.0,5.1,31.1,3.9
77,18/03/2008,0.0,6.2,31.3,4.2
78,19/03/2008,0.0,5.5,32.5,6.0
79,20/03/2008,0.0,4.8,32.0,6.9
80,21/03/2008,0.0,6.2,34.1,7.5
81,22/03/2008,0.0,5.6,33.2,7.2
82,23/03/2008,0.0,6.4,34.1,7.1
83,24/03/2008,0.0,6.1,32.0,6.8
84,25/03/2008,0.0,5.5,32.1,8.1
85,26/03/2008,0.0,6.2,34.1,9.0
86,27/03/2008,0.0,7.2,34.9,8.0
87,28/03/2008,0.0,6.6,34.5,7.1
88,29/03/2008,0.0,7.7,35.1,6.5
89,30/03/2008,0.0,6.9,35.1,6.4
90,31/03/2008,0.0,7.8,37.1,7.1
91,01/04/2008,0.0,8.7,37.9,7.4
92,02/04/2008,0.0,7.9,38.1,8.4
93,03/04/2008,0.0,8.8,37.8,8.4
94,04/04/2008,0.0,8.2,37.8,8.6
95,05/04/2008,0.0,8.1,37.6,8.9
96,06/04/2008,0.0,7.9,36.4,8.9
97,07/04/2008,0.0,7.9,36.1,8.7
98,08/04/2008,0.0,6.8,36.9,8.7
99,09/04/2008,0.0,7.8,36.6,9.1
100,10/04/2008,0.0,8.5,36.9,7.9
101,11/04/2008,0.0,8.1,36.9,7.9
102,12/04/2008,0.0,8.1,37.1,8.2
103,13/04/2008,0.0,6.9,35.4,9.0
104,14/04/2008,2.4,5.9,33.4,10.7
105,15/04/2008,0.0,6.5,34.0,12.4
106,16/04/2008,0.0,8.2,35.1,10.0
107,17/04/2008,0.0,8.7,36.1,9.4
108,18/04/2008,0.0,8.4,36.8,6.9
109,19/04/2008,0.0,8.3,38.1,8.0
110,20/04/2008,0.0,8.9,37.3,10.2
111,21/04/2008,0.0,8.8,39.1,10.8
112,22/04/2008,0.0,9.0,40.1,10.6
113,23/04/2008,0.0,8.8,39.1,10.2
114,24/04/2008,0.0,7.9,37.9,10.2
115,25/04/2008,0.0,9.6,38.1,10.1
116,26/04/2008,0.0,8.4,37.8,9.4
117,27/04/2008,0.0,8.7,38.1,9.6
118,28/04/2008,0.0,8.0,37.4,9.6
119,29/04/2008,0.0,8.1,36.6,10.4
120,30/04/2008,0.0,7.0,35.9,12.1
121,01/05/2008,0.0,8.9,36.1,9.6
122,02/05/2008,0.0,8.6,36.3,8.6
123,03/05/2008,0.0,8.7,37.0,8.4
124,04/05/2008,0.0,7.1,37.4,9.2
125,05/05/2008,0.0,7.9,36.1,10.7
126,06/05/2008,0.0,7.0,36.4,14.1
127,07/05/2008,0.0,7.3,35.1,13.6
128,08/05/2008,0.0,8.2,37.9,12.0
129,09/05/2008,0.0,8.6,38.1,12.4
130,10/05/2008,0.0,9.0,39.1,12.4
131,11/05/2008,0.0,8.6,40.1,13.9
132,12/05/2008,0.5,4.4,38.9,15.1
133,13/05/2008,0.0,8.3,36.6,12.8
134,14/05/2008,0.0,7.9,36.5,13.1
135,15/05/2008,0.0,7.0,36.0,14.9
136,16/05/2008,0.0,8.2,35.1,14.8
137,17/05/2008,0.0,7.0,34.8,13.4
138,18/05/2008,3.1,4.1,34.4,12.4
139,19/05/2008,0.0,3.3,32.4,11.9
140,20/05/2008,0.0,7.3,34.1,11.9
141,21/05/2008,0.0,7.4,32.4,10.9
142,22/05/2008,0.0,8.7,32.9,10.9
143,23/05/2008,0.0,6.5,34.9,10.8
144,24/05/2008,0.0,7.2,36.9,12.6
145,25/05/2008,0.0,7.6,36.4,14.8
146,26/05/2008,0.0,7.8,36.0,14.4
147,27/05/2008,2.9,7.7,37.6,14.2
148,28/05/2008,0.0,8.5,37.6,14.6
149,29/05/2008,0.0,8.3,35.1,14.6
150,30/05/2008,0.0,7.7,36.1,15.9
151,31/05/2008,0.3,7.4,36.9,15.6
152,01/06/2008,0.0,7.3,36.8,15.2
153,02/06/2008,0.0,7.8,38.9,15.0
154,03/06/2008,0.0,8.3,38.9,15.4
155,04/06/2008,0.0,8.3,37.8,15.4
156,05/06/2008,0.0,8.1,37.4,15.6
157,06/06/2008,0.2,8.0,34.0,16.6
158,07/06/2008,5.5,8.2,35.9,15.5
159,08/06/2008,5.1,7.9,34.4,16.5
160,09/06/2008,24.7,3.8,32.5,17.4
161,10/06/2008,8.4,2.5,25.1,16.5
162,11/06/2008,15.6,3.2,29.6,16.4
163,12/06/2008,1.0,2.9,26.5,16.4
164,13/06/2008,0.4,4.6,31.4,15.4
165,14/06/2008,0.9,5.4,32.9,15.6
166,15/06/2008,4.8,6.9,32.9,15.9
167,16/06/2008,2.1,4.9,31.9,16.5
168,17/06/2008,0.9,4.8,33.1,16.1
169,18/06/2008,0.0,6.4,34.4,16.4
170,19/06/2008,0.6,6.4,34.0,17.0
171,20/06/2008,19.5,7.5,34.9,16.2
172,21/06/2008,33.4,6.4,30.1,14.4
173,22/06/2008,5.4,4.4,29.9,14.4
174,23/06/2008,8.8,4.3,29.0,14.4
175,24/06/2008,10.0,6.0,31.1,15.6
176,25/06/2008,0.0,5.0,29.6,15.5
177,26/06/2008,1.9,4.0,31.1,16.6
178,27/06/2008,18.8,4.9,31.1,16.2
179,28/06/2008,0.0,5.5,30.1,15.2
180,29/06/2008,19.1,4.5,30.4,16.4
181,30/06/2008,0.6,3.7,29.8,16.9
182,01/07/2008,0.4,2.2,29.5,16.6
183,02/07/2008,0.0,4.2,28.4,15.8
184,03/07/2008,1.4,5.4,29.5,16.4
185,04/07/2008,26.4,5.0,30.1,16.0
186,05/07/2008,34.2,3.5,28.0,16.4
187,06/07/2008,24.1,2.3,28.9,15.9
188,07/07/2008,12.7,2.0,26.1,16.9
189,08/07/2008,18.5,1.4,26.6,16.2
190,09/07/2008,29.5,0.4,24.6,16.0
