,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.9,31.5,7.2
1,02/01/2008,0.0,5.8,28.5,8.0
2,03/01/2008,0.0,4.9,28.5,5.6
3,04/01/2008,0.0,4.6,30.2,4.0
4,05/01/2008,0.0,3.7,29.7,4.4
5,06/01/2008,0.0,3.7,31.6,4.3
6,07/01/2008,0.0,4.6,29.7,3.4
7,08/01/2008,0.0,4.5,29.3,2.8
8,09/01/2008,0.0,3.9,29.1,3.5
9,10/01/2008,0.0,3.6,28.3,3.7
10,11/01/2008,0.0,3.5,27.6,3.2
11,12/01/2008,0.0,4.0,28.7,2.8
12,13/01/2008,0.0,3.9,29.2,2.5
13,14/01/2008,0.0,3.2,26.1,3.9
14,15/01/2008,0.0,4.4,25.7,6.0
15,16/01/2008,0.0,3.8,25.3,5.4
16,17/01/2008,0.0,4.0,24.3,2.9
17,18/01/2008,0.0,3.3,24.9,3.3
18,19/01/2008,0.0,3.5,28.2,4.7
19,20/01/2008,0.0,3.6,25.7,5.4
20,21/01/2008,0.0,4.1,27.9,6.1
21,22/01/2008,0.0,3.6,26.6,6.6
22,23/01/2008,0.0,4.8,31.7,6.6
23,24/01/2008,0.0,3.8,30.0,7.1
24,25/01/2008,0.0,3.9,29.5,7.7
25,26/01/2008,0.0,3.9,30.2,8.1
26,27/01/2008,0.0,4.9,31.9,7.5
27,28/01/2008,0.0,4.1,30.9,7.1
28,29/01/2008,0.0,4.6,30.4,6.3
29,30/01/2008,0.0,5.1,28.7,6.7
30,31/01/2008,0.0,4.6,30.1,6.1
31,01/02/2008,0.0,4.6,28.7,5.9
32,02/02/2008,0.0,3.8,29.7,4.7
33,03/02/2008,0.0,4.2,27.1,5.0
34,04/02/2008,0.0,4.5,29.4,5.2
35,05/02/2008,0.0,5.3,29.5,4.6
36,06/02/2008,0.0,4.3,28.4,4.3
37,07/02/2008,0.0,5.2,28.9,5.4
38,08/02/2008,0.0,4.1,29.6,7.5
39,09/02/2008,0.0,4.9,29.6,6.9
40,10/02/2008,0.0,3.8,28.5,6.9
41,11/02/2008,0.0,5.6,29.2,7.4
42,12/02/2008,0.0,4.4,28.9,6.1
43,13/02/2008,0.0,4.4,29.4,5.9
44,14/02/2008,0.0,5.6,29.0,3.6
45,15/02/2008,0.0,4.8,30.0,4.1
46,16/02/2008,0.0,5.9,29.8,3.9
47,17/02/2008,0.0,6.8,30.7,3.8
48,18/02/2008,0.0,6.5,30.4,4.3
49,19/02/2008,0.0,5.8,29.0,3.5
50,20/02/2008,0.0,5.8,29.1,3.6
51,21/02/2008,0.0,6.0,29.4,3.5
52,22/02/2008,0.0,4.9,29.8,5.1
53,23/02/2008,0.0,5.3,32.0,5.4
54,24/02/2008,0.0,7.3,32.9,5.6
55,25/02/2008,0.0,6.1,33.3,5.8
56,26/02/2008,0.0,6.8,32.5,5.9
57,27/02/2008,0.0,5.5,31.5,4.7
58,28/02/2008,0.0,6.3,31.6,4.3
59,29/02/2008,0.0,9.0,31.0,5.1
60,01/03/2008,0.0,6.6,30.7,5.9
61,02/03/2008,0.0,7.5,30.4,5.6
62,03/03/2008,0.0,5.8,31.6,4.2
63,04/03/2008,0.0,7.1,31.9,4.8
64,05/03/2008,0.0,6.8,30.5,4.8
65,06/03/2008,0.0,5.7,30.8,4.6
66,07/03/2008,0.0,7.2,29.6,1.6
67,08/03/2008,0.0,6.9,28.9,2.8
68,09/03/2008,0.0,6.0,28.8,2.5
69,10/03/2008,0.0,6.0,28.7,2.8
70,11/03/2008,0.0,6.5,30.0,4.3
71,12/03/2008,0.0,6.4,31.4,5.6
72,13/03/2008,0.0,7.3,30.5,5.3
73,14/03/2008,0.0,6.2,31.6,3.0
74,15/03/2008,0.0,7.1,30.6,2.4
75,16/03/2008,0.0,7.6,31.8,3.2
76,17/03/2008,0.0,7.0,28.6,4.6
77,18/03/2008,0.0,6.4,27.8,6.7
78,19/03/2008,0.0,6.9,30.5,2.0
79,20/03/2008,0.0,6.2,29.2,3.2
80,21/03/2008,0.0,8.5,31.6,5.0
81,22/03/2008,0.0,7.2,31.9,6.8
82,23/03/2008,0.0,6.4,33.0,6.6
83,24/03/2008,0.0,7.4,29.1,5.0
84,25/03/2008,0.0,7.2,30.8,5.6
85,26/03/2008,0.0,6.4,30.0,7.7
86,27/03/2008,0.0,8.1,32.3,7.9
87,28/03/2008,0.0,7.8,30.0,6.3
88,29/03/2008,0.0,8.2,31.5,4.9
89,30/03/2008,0.0,8.4,31.5,4.6
