,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.6,26.6,7.3
1,02/01/2008,0.0,3.9,26.0,4.7
2,03/01/2008,0.0,2.7,23.6,1.8
3,04/01/2008,0.0,4.0,24.1,1.1
4,05/01/2008,0.0,2.1,25.7,3.9
5,06/01/2008,0.0,4.9,25.4,4.0
6,07/01/2008,0.0,2.6,26.1,3.6
7,08/01/2008,0.0,4.5,25.3,1.5
8,09/01/2008,0.0,4.5,24.6,3.1
9,10/01/2008,0.0,4.7,24.4,4.0
10,11/01/2008,0.0,2.2,24.3,5.9
11,12/01/2008,0.0,2.5,25.0,3.0
12,13/01/2008,0.0,4.0,24.6,1.8
13,14/01/2008,0.0,4.6,23.5,2.8
14,15/01/2008,0.0,3.5,23.1,2.0
15,16/01/2008,0.0,3.6,22.1,-1.2
16,17/01/2008,0.0,4.3,22.9,2.6
17,18/01/2008,0.0,2.5,21.8,-0.0
18,19/01/2008,0.0,2.8,23.2,0.1
19,20/01/2008,0.0,3.5,23.7,3.2
20,21/01/2008,0.0,4.1,24.0,4.3
21,22/01/2008,0.0,4.1,25.6,6.7
22,23/01/2008,0.0,3.2,26.9,4.0
23,24/01/2008,0.0,2.9,27.9,7.0
24,25/01/2008,0.0,5.6,28.4,6.5
25,26/01/2008,0.0,4.6,26.7,5.4
26,27/01/2008,0.0,4.0,28.2,3.9
27,28/01/2008,0.0,4.5,28.1,6.2
28,29/01/2008,0.0,4.6,27.9,5.4
29,30/01/2008,0.0,3.5,25.0,7.1
30,31/01/2008,0.0,4.3,23.6,6.2
31,01/02/2008,0.0,4.3,26.0,5.6
32,02/02/2008,0.0,4.2,25.8,5.3
33,03/02/2008,0.0,3.8,26.1,3.5
34,04/02/2008,0.0,4.0,25.6,3.2
35,05/02/2008,0.0,3.6,25.0,3.5
36,06/02/2008,0.0,4.9,25.3,2.2
37,07/02/2008,0.0,4.0,25.5,2.0
38,08/02/2008,0.0,3.7,26.5,3.1
39,09/02/2008,0.1,5.0,28.0,4.6
40,10/02/2008,0.0,3.2,27.0,5.1
41,11/02/2008,0.0,4.1,25.3,3.9
42,12/02/2008,0.0,4.1,25.5,4.2
43,13/02/2008,0.0,5.9,25.7,3.4
44,14/02/2008,0.0,5.2,26.2,3.3
45,15/02/2008,0.0,4.7,27.0,2.8
46,16/02/2008,0.0,4.6,27.7,3.9
47,17/02/2008,0.0,5.2,27.6,2.6
48,18/02/2008,0.0,6.0,28.3,1.0
49,19/02/2008,0.0,6.8,28.5,2.8
50,20/02/2008,0.0,5.8,27.5,3.8
51,21/02/2008,0.0,6.0,26.7,4.3
52,22/02/2008,0.0,5.4,28.6,2.9
53,23/02/2008,0.0,6.6,29.6,3.4
54,24/02/2008,0.0,5.8,32.8,4.4
55,25/02/2008,0.0,5.3,31.9,6.3
56,26/02/2008,0.0,7.6,31.0,6.9
57,27/02/2008,0.0,4.8,28.3,6.7
58,28/02/2008,0.0,5.6,27.3,6.9
59,29/02/2008,0.0,5.1,28.3,6.2
60,01/03/2008,0.0,6.0,30.3,5.5
61,02/03/2008,0.0,7.0,27.0,5.9
62,03/03/2008,0.0,7.6,27.0,6.8
63,04/03/2008,0.0,7.5,28.3,6.9
64,05/03/2008,0.0,7.5,26.7,4.8
65,06/03/2008,0.0,7.8,24.3,5.5
66,07/03/2008,0.0,8.8,25.4,-0.9
67,08/03/2008,0.0,5.5,26.7,0.0
