,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.3,34.4,12.2
1,02/01/2008,0.0,4.3,30.4,10.7
2,03/01/2008,0.0,4.0,30.7,11.3
3,04/01/2008,0.0,4.3,32.2,9.3
4,05/01/2008,0.0,3.7,31.3,10.6
5,06/01/2008,0.0,4.1,31.7,9.8
6,07/01/2008,0.0,4.2,32.6,9.8
7,08/01/2008,0.0,4.0,32.4,8.7
8,09/01/2008,0.0,4.1,32.4,8.6
9,10/01/2008,0.0,4.0,31.7,8.0
10,11/01/2008,0.0,4.2,32.2,8.2
11,12/01/2008,0.0,4.2,32.1,6.6
12,13/01/2008,0.0,4.1,31.2,7.4
13,14/01/2008,0.0,4.1,32.1,9.2
14,15/01/2008,0.0,4.4,28.8,10.3
15,16/01/2008,0.0,4.1,30.3,8.7
16,17/01/2008,0.0,3.8,29.2,7.9
17,18/01/2008,0.0,3.9,29.4,9.6
18,19/01/2008,0.0,4.2,32.3,10.4
19,20/01/2008,0.0,3.8,30.4,9.9
20,21/01/2008,0.0,4.1,33.2,10.0
21,22/01/2008,0.0,5.4,31.7,10.2
22,23/01/2008,0.0,4.1,32.4,10.0
23,24/01/2008,0.0,4.9,35.0,10.1
24,25/01/2008,0.0,4.3,34.2,11.3
25,26/01/2008,0.0,4.8,35.1,12.0
26,27/01/2008,0.0,4.8,35.2,12.9
27,28/01/2008,0.0,4.5,35.1,12.8
28,29/01/2008,0.0,4.6,35.3,10.4
29,30/01/2008,0.0,4.5,33.3,11.2
30,31/01/2008,0.0,4.6,34.1,11.7
31,01/02/2008,0.0,3.7,26.4,6.1
32,02/02/2008,0.0,4.1,26.5,5.4
33,03/02/2008,0.0,3.9,26.1,5.4
34,04/02/2008,0.0,3.8,26.2,4.9
35,05/02/2008,0.0,4.3,26.0,4.4
36,06/02/2008,0.0,4.0,26.3,4.4
37,07/02/2008,0.0,3.8,26.7,4.7
38,08/02/2008,0.0,3.7,26.5,7.0
39,09/02/2008,0.6,3.4,27.1,7.7
40,10/02/2008,0.0,3.5,27.2,8.0
41,11/02/2008,0.0,3.3,27.0,7.9
42,12/02/2008,0.0,3.7,25.4,6.1
43,13/02/2008,0.0,4.5,26.5,4.3
44,14/02/2008,0.0,4.5,26.3,4.1
