,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.5,20.7,2.3
1,02/01/2008,0.0,3.7,14.3,3.5
2,03/01/2008,0.0,3.4,19.8,-1.7
3,04/01/2008,0.0,3.2,23.7,-1.7
4,05/01/2008,0.0,3.9,26.2,-1.2
5,06/01/2008,0.0,3.2,26.7,2.0
6,07/01/2008,0.0,4.3,26.5,1.5
7,08/01/2008,0.0,4.1,26.0,1.3
8,09/01/2008,0.0,3.7,26.5,0.5
9,10/01/2008,0.0,4.1,24.5,0.3
10,11/01/2008,0.0,4.0,25.8,0.1
11,12/01/2008,0.0,3.5,25.2,-1.7
12,13/01/2008,0.0,3.5,24.7,-1.7
13,14/01/2008,0.0,3.6,23.0,-2.2
14,15/01/2008,0.0,4.2,22.0,4.7
15,16/01/2008,0.0,3.4,21.5,4.5
16,17/01/2008,0.0,4.2,24.4,-0.5
17,18/01/2008,0.0,4.3,20.8,-0.2
18,19/01/2008,0.8,3.8,22.5,0.9
19,20/01/2008,0.0,3.5,21.0,2.3
20,21/01/2008,0.0,3.2,25.3,2.8
21,22/01/2008,0.0,2.6,26.5,2.5
22,23/01/2008,0.0,3.6,29.0,4.0
23,24/01/2008,0.0,3.7,28.5,4.3
24,25/01/2008,0.0,3.6,27.2,5.6
25,26/01/2008,0.0,4.3,28.1,5.6
26,27/01/2008,0.0,4.5,27.0,5.2
27,28/01/2008,0.0,4.9,27.5,5.3
28,29/01/2008,0.0,3.9,25.7,2.8
29,30/01/2008,0.0,4.2,26.0,2.6
30,31/01/2008,0.0,4.6,27.5,3.1
31,01/02/2008,0.0,4.1,27.7,4.1
32,02/02/2008,0.0,4.9,28.4,3.8
33,03/02/2008,0.0,4.0,28.5,3.7
34,04/02/2008,0.0,4.8,27.8,4.1
35,05/02/2008,0.0,5.3,27.8,4.3
36,06/02/2008,0.0,4.8,28.0,2.3
37,07/02/2008,0.0,4.9,27.1,2.6
38,08/02/2008,0.0,4.2,28.2,2.9
39,09/02/2008,0.2,4.4,28.5,3.4
40,10/02/2008,0.4,3.9,28.3,5.9
41,11/02/2008,0.2,4.0,25.7,7.6
42,12/02/2008,0.0,3.5,26.5,6.0
43,13/02/2008,0.0,4.8,27.3,4.8
44,14/02/2008,0.0,4.7,27.3,4.6
45,15/02/2008,0.0,4.8,29.4,3.4
46,16/02/2008,0.0,4.7,29.4,3.5
