,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.4,33.6,12.3
1,02/01/2008,0.0,6.9,29.6,11.8
2,03/01/2008,0.0,5.0,30.2,13.4
3,04/01/2008,0.0,5.1,32.4,10.5
4,05/01/2008,0.0,2.9,32.3,10.2
5,06/01/2008,0.0,3.2,32.4,8.8
6,07/01/2008,0.0,4.3,31.8,8.4
7,08/01/2008,0.0,4.2,31.9,8.3
8,09/01/2008,0.0,4.1,31.8,8.4
9,10/01/2008,0.0,3.9,30.8,7.7
10,11/01/2008,0.0,3.6,28.0,7.6
11,12/01/2008,0.0,4.2,31.1,7.4
12,13/01/2008,0.0,4.0,31.6,6.6
13,14/01/2008,0.0,3.6,29.4,8.0
14,15/01/2008,0.0,4.2,28.4,10.5
15,16/01/2008,0.0,4.0,28.0,8.5
16,17/01/2008,0.0,4.1,26.8,7.0
17,18/01/2008,0.0,4.0,28.5,7.8
18,19/01/2008,0.0,4.1,36.2,10.2
19,20/01/2008,0.0,4.0,30.0,10.3
20,21/01/2008,0.0,4.8,31.7,10.4
21,22/01/2008,0.0,3.7,29.4,11.9
22,23/01/2008,0.0,5.2,34.2,10.4
23,24/01/2008,0.0,3.7,33.0,11.1
24,25/01/2008,0.0,4.2,32.3,12.3
25,26/01/2008,0.0,4.4,33.8,12.5
26,27/01/2008,0.0,4.6,33.1,11.8
27,28/01/2008,0.0,4.6,33.1,12.4
28,29/01/2008,0.0,4.7,34.0,11.9
29,30/01/2008,0.0,4.8,31.1,11.7
30,31/01/2008,0.0,4.5,32.2,11.5
31,01/02/2008,0.0,4.9,30.2,9.8
32,02/02/2008,0.0,4.3,31.1,9.2
33,03/02/2008,0.0,4.7,30.4,9.2
34,04/02/2008,0.0,4.4,30.4,9.3
35,05/02/2008,0.0,5.0,30.0,9.1
36,06/02/2008,0.0,5.0,30.5,8.7
37,07/02/2008,0.0,5.0,29.8,9.4
38,08/02/2008,0.0,5.1,30.3,10.5
39,09/02/2008,0.0,4.7,30.8,11.1
40,10/02/2008,0.0,5.2,31.6,10.8
41,11/02/2008,0.0,5.5,31.4,11.5
42,12/02/2008,0.0,4.4,29.8,10.2
43,13/02/2008,0.0,5.1,30.4,9.4
44,14/02/2008,0.0,6.1,30.1,8.7
45,15/02/2008,0.0,5.6,31.1,8.8
46,16/02/2008,0.0,5.6,31.4,8.1
47,17/02/2008,0.0,5.5,31.8,9.0
48,18/02/2008,0.0,4.8,30.7,8.8
49,19/02/2008,0.0,5.1,31.4,7.9
50,20/02/2008,0.0,4.9,32.0,8.1
51,21/02/2008,0.0,5.2,32.0,9.2
52,22/02/2008,0.0,5.1,31.9,9.0
53,23/02/2008,0.0,5.6,33.7,10.0
54,24/02/2008,0.0,5.6,34.4,10.7
55,25/02/2008,0.0,5.5,31.8,10.3
56,26/02/2008,0.0,5.7,31.7,9.3
57,27/02/2008,0.0,6.7,32.9,8.3
58,28/02/2008,0.0,5.8,31.0,9.2
59,29/02/2008,0.0,6.1,31.6,9.0
60,01/03/2008,0.0,4.9,33.3,11.1
61,02/03/2008,0.0,5.4,32.6,11.0
62,03/03/2008,0.0,5.5,32.1,9.4
63,04/03/2008,0.0,4.8,31.2,9.4
64,05/03/2008,0.0,6.0,32.0,10.4
65,06/03/2008,0.0,6.1,31.3,8.8
66,07/03/2008,0.0,5.2,31.7,8.4
67,08/03/2008,0.0,5.0,30.3,7.4
68,09/03/2008,0.0,5.4,31.1,8.2
69,10/03/2008,0.0,5.4,31.9,9.2
70,11/03/2008,0.0,5.4,32.8,11.3
71,12/03/2008,0.0,5.8,33.6,10.6
72,13/03/2008,0.0,6.5,32.4,10.0
73,14/03/2008,0.0,6.7,32.1,10.0
74,15/03/2008,0.0,6.4,32.3,9.0
75,16/03/2008,0.0,6.0,33.2,8.9
76,17/03/2008,0.0,5.6,31.8,10.3
77,18/03/2008,0.0,7.7,30.8,10.2
78,19/03/2008,0.0,5.9,31.2,9.6
79,20/03/2008,0.0,6.6,31.6,10.4
80,21/03/2008,0.0,5.9,31.8,10.5
81,22/03/2008,0.0,5.8,31.6,10.8
82,23/03/2008,0.0,6.0,32.0,10.4
