,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,5.9,25.3,8.8
1,02/01/2008,0.0,4.9,21.7,9.0
2,03/01/2008,0.0,3.6,21.1,2.3
3,04/01/2008,0.0,3.7,23.3,2.4
4,05/01/2008,0.0,4.1,25.4,3.1
5,06/01/2008,0.0,3.8,26.6,6.3
6,07/01/2008,0.0,5.0,26.4,7.3
7,08/01/2008,0.0,4.6,26.1,7.4
8,09/01/2008,0.0,5.3,26.7,7.5
9,10/01/2008,0.0,4.7,26.0,7.3
10,11/01/2008,0.0,4.2,25.7,7.2
11,12/01/2008,0.0,4.0,24.5,7.3
12,13/01/2008,0.0,5.0,24.9,6.0
13,14/01/2008,0.0,4.2,24.9,7.5
14,15/01/2008,0.0,4.5,24.2,9.5
15,16/01/2008,0.0,4.7,22.3,7.1
16,17/01/2008,0.0,3.9,23.1,6.4
17,18/01/2008,0.0,3.4,22.8,6.8
18,19/01/2008,0.0,3.6,25.0,7.2
19,20/01/2008,0.0,3.6,22.6,8.1
20,21/01/2008,0.0,4.5,26.7,8.7
21,22/01/2008,0.0,4.3,26.4,8.5
22,23/01/2008,0.0,4.9,28.6,9.1
23,24/01/2008,0.0,4.7,26.4,10.3
24,25/01/2008,0.0,4.7,28.0,11.0
25,26/01/2008,0.0,4.7,28.2,10.7
26,27/01/2008,0.0,5.1,28.3,11.1
27,28/01/2008,0.0,5.0,26.8,10.6
28,29/01/2008,0.0,4.4,25.8,9.7
29,30/01/2008,0.0,5.8,28.1,9.5
30,31/01/2008,0.0,4.7,27.1,8.7
31,01/02/2008,0.0,5.1,26.8,8.0
32,02/02/2008,0.0,3.4,25.5,7.5
33,03/02/2008,0.0,4.4,26.4,8.1
34,04/02/2008,0.0,4.5,26.8,8.1
35,05/02/2008,0.0,7.2,26.9,7.2
36,06/02/2008,0.0,5.7,27.2,7.8
37,07/02/2008,0.0,5.3,25.5,7.4
38,08/02/2008,1.9,6.9,26.9,8.2
39,09/02/2008,0.0,6.5,27.0,8.2
40,10/02/2008,0.0,4.6,26.6,7.9
41,11/02/2008,0.0,4.8,26.0,8.5
42,12/02/2008,0.0,5.7,26.0,7.7
43,13/02/2008,0.0,4.1,25.9,7.8
44,14/02/2008,0.0,6.3,27.3,6.9
45,15/02/2008,0.0,6.2,28.0,6.5
46,16/02/2008,0.0,5.8,29.0,7.4
47,17/02/2008,0.0,6.6,28.3,7.6
48,18/02/2008,0.0,6.0,28.8,7.2
49,19/02/2008,0.0,6.2,28.6,7.6
50,20/02/2008,0.0,6.0,28.5,6.8
51,21/02/2008,0.0,5.3,28.0,7.8
52,22/02/2008,0.0,6.8,28.7,8.0
