,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.2,22.8,6.0
1,02/01/2008,0.0,3.0,21.0,3.4
2,03/01/2008,0.0,4.3,17.8,0.8
3,04/01/2008,0.0,2.2,21.0,1.4
4,05/01/2008,0.0,3.4,22.6,1.7
5,06/01/2008,0.0,3.3,24.0,1.7
6,07/01/2008,0.0,4.5,24.1,5.3
7,08/01/2008,0.0,3.2,24.1,4.7
8,09/01/2008,0.0,4.4,23.4,4.0
9,10/01/2008,0.0,3.9,22.7,4.0
10,11/01/2008,0.0,3.3,23.7,3.7
11,12/01/2008,0.0,4.3,23.1,2.7
12,13/01/2008,0.0,3.6,23.0,4.4
13,14/01/2008,0.0,3.7,22.7,4.6
14,15/01/2008,0.0,3.9,22.0,4.4
15,16/01/2008,0.0,3.3,19.1,3.4
16,17/01/2008,0.0,3.5,20.1,4.4
17,18/01/2008,0.0,3.4,20.1,4.4
18,19/01/2008,0.0,3.6,19.7,4.4
19,20/01/2008,0.0,3.1,19.4,3.7
20,21/01/2008,0.0,3.1,22.9,4.7
21,22/01/2008,0.0,3.0,23.3,5.7
22,23/01/2008,0.0,3.8,25.3,6.0
23,24/01/2008,0.0,3.1,24.3,6.6
24,25/01/2008,0.0,2.7,22.7,6.6
25,26/01/2008,0.0,4.4,24.9,6.9
26,27/01/2008,0.0,4.1,22.0,4.6
27,28/01/2008,0.0,4.3,22.0,6.6
28,29/01/2008,0.0,3.7,22.3,6.6
29,30/01/2008,0.0,4.8,23.0,6.6
30,31/01/2008,0.0,4.4,23.0,5.4
31,01/02/2008,0.0,4.2,26.1,5.6
32,02/02/2008,0.0,2.6,23.6,5.9
33,03/02/2008,0.0,4.4,22.7,6.7
34,04/02/2008,0.0,3.9,23.1,7.5
35,05/02/2008,0.0,3.6,24.3,4.6
36,06/02/2008,0.0,4.7,25.9,4.9
37,07/02/2008,0.0,3.6,24.7,6.1
38,08/02/2008,0.0,4.3,25.2,4.7
39,09/02/2008,0.0,2.9,26.6,5.3
40,10/02/2008,0.1,3.0,24.3,6.6
41,11/02/2008,0.0,4.2,23.7,7.4
42,12/02/2008,0.0,5.6,24.5,7.4
43,13/02/2008,0.0,3.1,25.5,5.5
44,14/02/2008,0.0,3.9,24.5,5.2
45,15/02/2008,0.0,3.9,24.7,4.6
46,16/02/2008,0.0,3.7,25.0,6.1
47,17/02/2008,0.0,7.8,23.9,6.9
48,18/02/2008,0.0,5.9,24.2,7.9
49,19/02/2008,0.0,4.6,25.2,5.4
50,20/02/2008,0.0,5.3,24.3,6.1
51,21/02/2008,0.0,5.3,24.9,6.0
52,22/02/2008,0.0,5.1,24.0,6.3
53,23/02/2008,0.0,4.6,28.1,5.6
54,24/02/2008,0.0,4.6,26.2,7.7
55,25/02/2008,0.0,5.8,26.5,8.2
56,26/02/2008,0.0,4.9,25.5,6.3
57,27/02/2008,0.0,5.2,27.2,7.0
58,28/02/2008,0.0,4.6,23.3,4.7
59,29/02/2008,0.0,4.4,23.4,5.7
60,01/03/2008,0.0,5.3,24.3,7.3
61,02/03/2008,0.0,4.7,24.3,7.4
62,03/03/2008,0.0,6.7,24.3,6.7
63,04/03/2008,0.0,7.1,24.4,7.1
64,05/03/2008,0.0,4.9,24.4,4.6
65,06/03/2008,0.0,6.7,25.2,4.6
66,07/03/2008,0.0,5.7,24.5,5.9
67,08/03/2008,0.0,7.9,23.8,5.1
68,09/03/2008,0.0,5.4,24.5,6.2
69,10/03/2008,0.0,5.4,25.4,6.4
70,11/03/2008,0.0,4.1,25.2,6.7
71,12/03/2008,0.0,5.7,26.9,7.5
72,13/03/2008,0.0,8.6,25.6,6.6
73,14/03/2008,0.0,7.2,27.2,6.8
74,15/03/2008,0.0,7.2,27.7,7.2
75,16/03/2008,0.0,7.8,24.2,8.0
76,17/03/2008,0.0,7.0,24.4,9.6
77,18/03/2008,0.0,5.1,24.0,9.0
78,19/03/2008,0.0,6.1,26.3,8.3
79,20/03/2008,0.0,6.0,26.9,8.0
80,21/03/2008,0.0,5.0,27.7,7.6
81,22/03/2008,0.0,5.8,27.1,8.8
82,23/03/2008,0.0,7.6,26.8,9.6
83,24/03/2008,0.0,6.1,25.1,9.9
84,25/03/2008,0.0,5.5,28.2,9.1
85,26/03/2008,0.0,8.5,26.3,8.3
86,27/03/2008,0.0,7.2,27.3,8.8
87,28/03/2008,0.0,7.5,26.9,9.5
88,29/03/2008,0.0,10.9,27.3,9.6
89,30/03/2008,0.0,9.2,26.6,8.5
90,31/03/2008,0.0,9.4,26.6,8.8
91,01/04/2008,0.0,5.1,31.2,9.3
92,02/04/2008,0.0,10.2,29.7,10.2
93,03/04/2008,0.0,10.0,29.7,9.8
94,04/04/2008,0.0,5.5,29.7,10.3
95,05/04/2008,0.0,6.3,26.7,9.0
96,06/04/2008,0.0,8.2,25.2,11.1
97,07/04/2008,0.0,9.3,27.0,10.4
98,08/04/2008,0.0,8.1,28.0,10.1
99,09/04/2008,0.0,8.0,26.1,10.2
100,10/04/2008,0.0,10.1,27.0,10.0
101,11/04/2008,0.0,7.8,27.9,9.1
102,12/04/2008,0.0,6.8,27.4,10.5
103,13/04/2008,5.9,6.7,23.3,11.0
104,14/04/2008,0.7,3.6,23.7,9.1
105,15/04/2008,0.0,8.6,25.2,9.3
106,16/04/2008,0.0,4.2,24.3,9.5
107,17/04/2008,0.0,6.2,29.0,10.7
108,18/04/2008,0.0,6.2,31.0,9.9
109,19/04/2008,0.0,10.7,31.0,8.7
110,20/04/2008,0.0,8.6,30.1,10.8
111,21/04/2008,0.0,8.1,33.6,12.1
112,22/04/2008,0.0,7.5,33.4,11.7
113,23/04/2008,0.0,9.1,32.8,12.0
114,24/04/2008,0.0,8.9,32.0,13.8
115,25/04/2008,0.0,8.2,32.3,12.9
116,26/04/2008,0.0,8.9,31.8,12.0
117,27/04/2008,0.0,5.7,30.2,12.2
118,28/04/2008,0.2,7.4,29.2,12.6
119,29/04/2008,0.0,5.9,28.6,11.8
120,30/04/2008,0.0,7.7,28.1,11.1
121,01/05/2008,0.0,6.0,30.2,11.5
122,02/05/2008,0.0,9.5,30.4,11.3
123,03/05/2008,0.0,10.1,31.8,11.5
124,04/05/2008,0.0,7.8,30.6,12.3
125,05/05/2008,0.0,13.3,30.5,12.1
126,06/05/2008,0.0,7.7,31.8,14.6
127,07/05/2008,0.0,7.6,31.4,13.7
128,08/05/2008,0.0,6.6,32.8,13.1
129,09/05/2008,0.0,9.1,33.6,13.6
130,10/05/2008,0.0,6.7,34.1,13.7
131,11/05/2008,0.9,6.0,33.2,15.1
132,12/05/2008,7.2,7.8,31.7,15.6
133,13/05/2008,0.0,8.4,32.4,13.2
134,14/05/2008,0.0,5.5,30.8,13.1
135,15/05/2008,0.0,6.8,31.0,14.1
136,16/05/2008,0.0,5.7,29.2,11.8
137,17/05/2008,0.0,6.6,30.8,12.5
138,18/05/2008,0.0,6.6,28.2,12.8
139,19/05/2008,0.0,6.5,27.9,11.5
140,20/05/2008,0.0,7.2,28.2,12.0
141,21/05/2008,0.0,7.5,28.7,12.9
142,22/05/2008,0.0,8.9,28.3,14.0
143,23/05/2008,0.0,7.1,28.6,12.9
144,24/05/2008,0.0,7.9,30.6,12.9
145,25/05/2008,0.0,8.7,32.4,12.6
146,26/05/2008,0.0,9.1,32.6,14.2
147,27/05/2008,0.0,8.4,31.9,13.8
148,28/05/2008,0.0,7.3,31.2,13.4
149,29/05/2008,0.0,7.5,30.6,12.8
150,30/05/2008,2.0,7.5,31.0,10.8
151,31/05/2008,8.4,9.9,31.9,9.9
152,01/06/2008,0.0,8.6,31.3,11.6
153,02/06/2008,0.1,9.8,32.1,11.4
154,03/06/2008,0.2,7.2,32.0,11.4
155,04/06/2008,0.2,9.5,32.7,12.4
156,05/06/2008,5.6,5.7,31.7,13.8
157,06/06/2008,4.5,5.6,31.8,13.7
158,07/06/2008,36.6,5.5,30.5,15.3
159,08/06/2008,2.5,6.3,27.1,13.7
160,09/06/2008,15.1,6.2,27.1,14.1
161,10/06/2008,27.1,5.1,26.6,12.2
162,11/06/2008,12.1,5.4,20.4,12.0
163,12/06/2008,9.7,2.3,23.4,12.5
164,13/06/2008,13.5,4.8,24.1,14.0
165,14/06/2008,1.8,3.4,26.7,12.4
166,15/06/2008,1.2,4.1,26.4,12.6
167,16/06/2008,25.0,8.8,26.7,13.3
168,17/06/2008,13.8,3.8,26.4,14.3
169,18/06/2008,0.0,6.7,27.3,13.5
170,19/06/2008,0.3,6.1,28.0,15.0
171,20/06/2008,0.5,5.5,27.9,14.7
172,21/06/2008,0.9,5.3,27.1,15.3
173,22/06/2008,0.0,5.2,26.8,13.2
174,23/06/2008,0.4,4.3,26.6,13.0
175,24/06/2008,2.2,4.9,27.4,12.9
176,25/06/2008,0.6,6.4,26.9,13.1
177,26/06/2008,1.1,4.9,26.7,12.9
178,27/06/2008,4.8,6.0,27.1,13.0
179,28/06/2008,15.9,6.5,26.1,14.0
180,29/06/2008,1.2,7.4,25.7,13.2
181,30/06/2008,3.6,6.1,25.3,13.3
182,01/07/2008,6.5,4.1,22.5,14.4
183,02/07/2008,14.7,3.4,22.5,14.4
184,03/07/2008,21.9,4.3,23.4,13.9
185,04/07/2008,11.9,5.0,23.1,13.4
186,05/07/2008,8.9,5.7,23.2,14.0
187,06/07/2008,18.3,1.9,23.4,14.3
188,07/07/2008,22.6,2.9,22.0,14.0
189,08/07/2008,36.2,3.0,21.6,13.1
190,09/07/2008,21.6,4.4,20.4,13.8
191,10/07/2008,7.5,1.0,21.8,13.7
192,11/07/2008,6.3,6.1,22.4,13.6
193,12/07/2008,8.5,5.2,22.0,13.7
194,13/07/2008,6.3,3.2,24.4,12.6
195,14/07/2008,2.7,5.8,24.1,13.0
196,15/07/2008,2.9,5.4,22.8,13.1
197,16/07/2008,0.4,2.9,24.0,13.7
198,17/07/2008,11.1,6.0,25.7,13.5
199,18/07/2008,14.6,5.2,25.4,13.4
200,19/07/2008,3.6,5.9,24.6,12.4
201,20/07/2008,0.1,3.3,24.0,12.6
202,21/07/2008,2.5,3.9,24.5,11.5
203,22/07/2008,2.9,7.4,25.0,10.7
204,23/07/2008,4.9,5.3,26.2,10.8
205,24/07/2008,15.2,6.2,25.6,14.5
206,25/07/2008,24.9,3.0,26.2,12.9
207,26/07/2008,3.9,7.4,25.5,14.7
208,27/07/2008,0.7,5.0,21.8,13.0
209,28/07/2008,1.9,4.5,26.2,13.4
210,29/07/2008,3.0,2.5,26.1,12.4
211,30/07/2008,1.0,3.8,25.6,12.0
212,31/07/2008,5.5,5.2,25.6,13.8
213,01/08/2008,1.0,2.8,27.8,12.4
214,02/08/2008,8.2,4.1,27.6,13.5
215,03/08/2008,3.7,5.3,26.8,12.8
216,04/08/2008,0.0,4.0,27.4,13.4
217,05/08/2008,0.0,4.4,27.6,13.2
218,06/08/2008,18.0,4.3,27.4,12.8
219,07/08/2008,5.0,7.3,26.1,14.5
220,08/08/2008,2.4,4.2,26.2,14.1
221,09/08/2008,0.2,3.7,26.3,13.2
222,10/08/2008,5.2,3.5,27.4,13.2
223,11/08/2008,8.0,4.4,28.1,13.7
224,12/08/2008,0.5,4.0,27.2,14.9
225,13/08/2008,0.4,5.2,26.9,14.4
226,14/08/2008,28.8,5.8,27.0,14.2
227,15/08/2008,4.0,8.2,26.7,14.1
228,16/08/2008,17.5,2.5,24.6,14.0
229,17/08/2008,1.7,5.4,25.7,14.3
230,18/08/2008,22.3,5.1,24.6,14.5
231,19/08/2008,9.1,5.0,24.3,14.9
232,20/08/2008,8.8,1.8,22.9,14.6
233,21/08/2008,9.0,2.9,23.3,14.1
234,22/08/2008,9.0,1.8,25.7,14.4
235,23/08/2008,3.4,3.0,26.4,13.8
236,24/08/2008,19.7,3.7,26.1,13.9
237,25/08/2008,22.4,5.7,24.8,14.0
238,26/08/2008,22.0,8.4,24.4,13.9
239,27/08/2008,7.4,2.7,23.4,14.3
240,28/08/2008,14.6,1.7,24.0,13.3
241,29/08/2008,1.3,2.7,22.8,14.3
242,30/08/2008,0.6,3.7,23.5,14.3
243,31/08/2008,0.0,4.5,25.1,13.0
244,01/09/2008,0.1,5.4,26.6,11.7
245,02/09/2008,2.2,4.7,26.6,13.0
246,03/09/2008,2.1,2.7,26.6,13.1
247,04/09/2008,0.0,6.6,26.2,12.5
248,05/09/2008,4.6,5.2,26.4,11.8
249,06/09/2008,3.0,4.3,25.5,12.0
250,07/09/2008,0.0,4.7,24.2,13.1
251,08/09/2008,20.1,5.0,23.7,13.6
252,09/09/2008,9.6,5.2,24.8,12.7
253,10/09/2008,2.5,2.0,23.8,14.0
