,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,6.5,27.9,6.0
1,02/01/2008,0.0,5.9,23.7,7.0
2,03/01/2008,0.0,4.1,22.8,7.4
3,04/01/2008,0.0,4.1,25.8,5.4
4,05/01/2008,0.0,3.6,27.1,4.7
5,06/01/2008,0.0,4.8,27.6,5.0
6,07/01/2008,0.0,5.3,28.9,5.7
7,08/01/2008,0.0,4.8,28.7,5.5
8,09/01/2008,0.0,5.7,29.0,5.6
9,10/01/2008,0.0,4.9,26.6,4.5
10,11/01/2008,0.0,4.7,27.2,5.3
11,12/01/2008,0.0,4.7,27.7,4.7
12,13/01/2008,0.0,4.3,27.0,3.4
13,14/01/2008,0.0,5.3,26.9,3.7
14,15/01/2008,0.0,4.9,25.1,6.5
15,16/01/2008,0.0,4.5,26.2,6.2
16,17/01/2008,0.0,4.3,24.8,4.1
17,18/01/2008,0.0,3.2,24.4,4.4
18,19/01/2008,0.0,3.2,26.1,6.2
19,20/01/2008,0.0,4.3,26.4,6.4
20,21/01/2008,0.0,4.5,27.6,5.9
21,22/01/2008,0.0,4.5,27.6,6.6
22,23/01/2008,0.0,5.3,31.7,7.7
23,24/01/2008,0.0,5.6,31.2,8.6
24,25/01/2008,0.0,5.5,30.4,9.4
25,26/01/2008,0.0,5.0,30.8,10.4
26,27/01/2008,0.0,5.1,30.8,10.5
27,28/01/2008,0.0,5.7,29.2,8.9
28,29/01/2008,0.0,5.8,27.8,8.6
29,30/01/2008,0.0,5.8,28.9,8.6
30,31/01/2008,0.0,5.4,29.4,7.5
31,01/02/2008,0.0,4.7,22.8,9.9
32,02/02/2008,0.0,4.7,26.4,9.9
33,03/02/2008,0.0,4.9,26.2,8.1
34,04/02/2008,0.0,4.8,22.8,9.0
35,05/02/2008,0.0,4.0,26.2,9.8
36,06/02/2008,0.0,4.4,22.7,8.0
37,07/02/2008,0.0,5.6,31.6,8.9
38,08/02/2008,0.0,4.2,26.4,9.0
39,09/02/2008,0.0,2.7,31.7,9.9
40,10/02/2008,0.0,8.3,31.6,11.7
41,11/02/2008,0.0,2.9,26.3,10.1
42,12/02/2008,0.0,4.1,23.7,11.7
43,13/02/2008,0.0,3.9,25.5,8.0
44,14/02/2008,0.0,4.5,26.4,8.9
45,15/02/2008,0.0,6.4,23.7,9.7
46,16/02/2008,0.0,9.1,22.9,7.9
47,17/02/2008,0.0,1.8,22.9,11.5
48,18/02/2008,0.0,4.5,26.6,11.6
49,19/02/2008,0.0,7.3,26.6,9.6
50,20/02/2008,0.0,4.7,31.8,11.5
51,21/02/2008,0.0,2.2,30.9,15.1
52,22/02/2008,0.0,5.8,26.5,10.7
53,23/02/2008,0.0,6.2,26.7,9.8
54,24/02/2008,0.0,4.2,35.9,11.6
55,25/02/2008,0.0,8.4,27.6,16.1
56,26/02/2008,0.0,8.0,34.6,10.7
