,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.2,28.2,5.3
1,02/01/2008,0.0,3.6,25.9,4.8
2,03/01/2008,0.0,3.0,22.2,2.2
3,04/01/2008,0.0,4.1,24.8,1.8
4,05/01/2008,0.0,2.6,26.2,2.9
5,06/01/2008,0.0,4.6,27.3,4.2
6,07/01/2008,0.0,3.0,27.3,4.6
7,08/01/2008,0.0,4.6,26.7,3.7
8,09/01/2008,0.0,5.3,26.7,4.3
9,10/01/2008,0.0,5.2,25.9,4.2
10,11/01/2008,0.0,2.6,25.8,5.7
11,12/01/2008,0.0,3.3,25.8,2.1
12,13/01/2008,0.0,3.3,26.1,1.3
13,14/01/2008,0.0,3.6,26.0,2.1
14,15/01/2008,0.0,4.6,25.0,3.3
15,16/01/2008,0.0,3.4,24.3,2.0
16,17/01/2008,0.0,4.3,25.3,2.3
17,18/01/2008,0.0,3.2,24.7,2.3
18,19/01/2008,0.0,2.9,25.6,1.2
19,20/01/2008,0.0,3.6,24.6,2.3
20,21/01/2008,0.0,4.8,25.4,4.6
21,22/01/2008,0.0,5.2,26.4,6.5
22,23/01/2008,0.0,3.2,28.3,6.4
23,24/01/2008,0.0,3.9,29.3,8.9
24,25/01/2008,0.0,7.0,29.4,8.4
25,26/01/2008,0.0,4.8,29.2,8.4
26,27/01/2008,0.0,4.3,29.3,7.3
27,28/01/2008,0.0,4.6,28.7,7.9
28,29/01/2008,0.0,4.2,28.2,7.0
29,30/01/2008,0.0,4.5,26.4,7.0
30,31/01/2008,0.0,4.6,26.3,5.2
31,01/02/2008,0.0,4.2,30.7,8.7
32,02/02/2008,0.0,3.1,31.7,8.0
33,03/02/2008,0.0,3.2,31.5,10.5
34,04/02/2008,0.0,3.9,31.5,10.4
35,05/02/2008,0.0,3.4,31.2,9.9
36,06/02/2008,0.0,4.3,30.5,8.2
37,07/02/2008,0.0,4.1,30.9,9.6
38,08/02/2008,0.0,4.0,31.7,10.5
39,09/02/2008,0.0,4.4,32.4,10.5
40,10/02/2008,0.0,5.5,32.6,10.5
41,11/02/2008,0.0,3.6,31.0,12.7
42,12/02/2008,0.0,4.1,32.0,12.4
43,13/02/2008,0.0,4.7,32.0,11.0
44,14/02/2008,0.0,5.0,33.0,10.5
45,15/02/2008,0.0,4.5,32.0,9.0
46,16/02/2008,0.0,4.6,33.8,10.4
47,17/02/2008,0.0,5.1,32.7,9.6
48,18/02/2008,0.0,4.5,32.4,9.4
49,19/02/2008,0.0,3.9,33.2,9.3
50,20/02/2008,0.0,4.8,32.4,9.0
51,21/02/2008,0.0,4.3,32.1,9.5
52,22/02/2008,0.0,4.8,33.3,9.9
53,23/02/2008,0.0,5.0,28.3,9.7
54,24/02/2008,0.0,5.2,37.1,9.1
55,25/02/2008,0.0,5.9,36.0,9.6
56,26/02/2008,0.0,4.6,35.8,11.0
57,27/02/2008,0.0,5.7,33.7,11.5
58,28/02/2008,0.0,5.7,33.8,12.0
59,29/02/2008,0.0,5.3,34.3,12.3
60,01/03/2008,0.0,5.4,34.6,11.6
61,02/03/2008,0.0,4.6,32.9,12.8
62,03/03/2008,0.0,6.4,35.3,10.8
63,04/03/2008,0.0,6.0,33.3,11.0
64,05/03/2008,0.0,4.9,33.9,10.3
65,06/03/2008,0.0,5.8,31.5,10.8
66,07/03/2008,0.0,5.9,30.8,5.9
67,08/03/2008,0.0,5.6,32.1,6.9
68,09/03/2008,0.0,5.1,33.0,10.0
69,10/03/2008,0.0,5.4,33.0,8.8
70,11/03/2008,0.0,5.0,33.5,10.2
