,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,2.6,25.9,6.5
1,02/01/2008,0.0,2.1,26.0,7.9
2,03/01/2008,0.0,3.4,27.2,7.6
3,04/01/2008,0.0,3.1,26.4,6.5
4,05/01/2008,0.0,3.2,25.9,5.7
5,06/01/2008,0.0,2.3,27.8,6.0
6,07/01/2008,0.0,3.1,27.3,5.8
7,08/01/2008,0.0,3.7,26.1,4.7
8,09/01/2008,0.0,3.1,25.9,4.8
9,10/01/2008,0.0,3.0,25.5,4.8
10,11/01/2008,0.0,3.1,24.1,4.5
11,12/01/2008,0.0,3.9,24.6,3.7
12,13/01/2008,0.0,3.5,25.5,2.6
13,14/01/2008,0.0,3.0,24.4,4.4
14,15/01/2008,0.0,4.0,23.6,8.3
15,16/01/2008,0.0,4.5,23.4,7.2
16,17/01/2008,0.0,4.1,23.4,5.1
17,18/01/2008,0.0,3.3,22.4,5.4
18,19/01/2008,0.0,4.1,24.6,5.3
19,20/01/2008,0.0,4.0,25.1,5.7
20,21/01/2008,0.0,4.2,25.8,6.4
21,22/01/2008,0.0,1.8,26.4,7.7
22,23/01/2008,0.0,4.3,28.4,8.0
23,24/01/2008,0.0,2.3,25.9,8.2
24,25/01/2008,0.0,4.8,29.7,8.8
25,26/01/2008,0.0,4.1,27.2,9.8
26,27/01/2008,0.0,2.8,29.6,9.9
27,28/01/2008,0.0,3.0,27.4,8.5
28,29/01/2008,0.0,4.7,27.4,8.0
29,30/01/2008,0.0,4.1,26.5,8.1
30,31/01/2008,0.0,4.0,26.4,7.9
31,01/02/2008,0.0,3.4,26.8,7.1
32,02/02/2008,0.0,3.5,27.2,6.9
33,03/02/2008,0.0,3.7,27.8,6.5
34,04/02/2008,0.0,4.0,27.5,6.3
35,05/02/2008,0.0,3.6,26.8,6.2
36,06/02/2008,0.0,3.9,27.1,5.4
37,07/02/2008,0.0,3.0,26.8,6.1
38,08/02/2008,0.0,3.6,27.4,7.0
39,09/02/2008,0.0,3.9,28.2,7.1
40,10/02/2008,0.2,3.3,28.2,7.5
41,11/02/2008,0.0,4.0,28.0,7.0
42,12/02/2008,0.0,3.6,26.4,6.4
43,13/02/2008,0.0,4.1,28.1,5.6
44,14/02/2008,0.0,3.8,28.0,4.8
45,15/02/2008,0.0,4.6,28.7,4.3
46,16/02/2008,0.0,4.2,28.4,4.5
47,17/02/2008,0.0,4.7,28.0,4.6
48,18/02/2008,0.0,4.5,28.4,5.0
49,19/02/2008,0.0,4.5,27.7,4.3
50,20/02/2008,0.0,4.3,27.7,3.9
51,21/02/2008,0.0,4.2,27.8,4.4
52,22/02/2008,0.0,4.5,28.9,5.4
53,23/02/2008,0.0,5.4,29.7,4.5
54,24/02/2008,0.0,4.9,30.9,4.8
55,25/02/2008,0.0,5.0,29.5,5.9
56,26/02/2008,0.0,5.3,29.6,5.5
57,27/02/2008,0.0,4.6,29.5,5.3
58,28/02/2008,0.0,4.3,28.0,6.0
59,29/02/2008,0.0,4.5,29.4,6.8
60,01/03/2008,0.0,5.0,29.1,7.3
61,02/03/2008,0.0,5.0,28.7,6.8
62,03/03/2008,0.0,5.1,28.4,5.6
63,04/03/2008,0.0,4.9,28.6,5.9
64,05/03/2008,0.0,5.7,28.2,6.3
65,06/03/2008,0.0,5.5,26.5,4.3
66,07/03/2008,0.0,5.3,27.2,2.2
67,08/03/2008,0.0,4.9,26.6,2.7
68,09/03/2008,0.0,5.9,27.4,3.7
69,10/03/2008,0.0,5.0,28.6,4.6
70,11/03/2008,0.0,5.0,29.1,5.2
71,12/03/2008,0.0,5.5,29.7,6.1
72,13/03/2008,0.0,5.9,28.9,6.1
73,14/03/2008,0.0,5.7,29.2,3.8
74,15/03/2008,0.0,5.8,29.6,4.4
75,16/03/2008,0.0,5.6,29.1,5.2
76,17/03/2008,0.3,5.3,27.4,5.4
77,18/03/2008,0.0,5.8,24.6,6.2
78,19/03/2008,0.0,4.9,28.9,3.0
79,20/03/2008,0.0,5.7,29.0,4.3
80,21/03/2008,0.0,5.9,30.1,6.9
81,22/03/2008,0.0,6.2,30.3,7.9
82,23/03/2008,0.0,5.8,29.6,7.0
83,24/03/2008,0.0,5.5,29.1,5.8
84,25/03/2008,0.0,5.2,28.7,6.5
85,26/03/2008,0.0,6.6,30.3,8.1
86,27/03/2008,0.0,7.7,30.5,7.6
87,28/03/2008,0.0,7.0,30.6,6.1
88,29/03/2008,0.0,6.1,30.2,5.6
89,30/03/2008,0.0,6.4,30.7,5.8
90,31/03/2008,0.0,6.5,30.7,7.0
91,01/04/2008,0.0,7.0,31.5,7.4
92,02/04/2008,0.0,6.8,31.3,7.3
93,03/04/2008,0.0,7.0,32.2,8.0
94,04/04/2008,0.0,7.2,31.5,7.3
95,05/04/2008,0.0,5.9,30.6,7.6
96,06/04/2008,0.0,6.9,31.0,8.4
97,07/04/2008,0.0,7.1,30.9,9.5
98,08/04/2008,0.0,7.5,30.9,8.0
99,09/04/2008,0.0,6.9,30.7,7.7
100,10/04/2008,0.0,6.7,30.8,7.1
101,11/04/2008,0.0,6.4,30.2,7.4
102,12/04/2008,0.0,6.8,31.3,8.4
103,13/04/2008,1.5,5.8,31.5,9.8
104,14/04/2008,2.5,5.3,30.8,11.2
105,15/04/2008,0.1,6.0,29.6,12.9
106,16/04/2008,0.0,6.5,31.3,10.5
107,17/04/2008,0.0,6.1,31.8,8.5
108,18/04/2008,0.0,7.1,32.3,7.5
109,19/04/2008,0.0,6.7,32.1,7.4
110,20/04/2008,0.0,7.9,32.6,9.1
111,21/04/2008,0.0,8.4,33.7,10.3
112,22/04/2008,0.0,8.2,33.3,9.8
113,23/04/2008,0.0,8.1,32.7,9.8
114,24/04/2008,0.0,6.9,32.5,9.9
115,25/04/2008,0.0,8.0,32.9,8.8
116,26/04/2008,0.0,7.6,32.5,9.4
117,27/04/2008,0.3,7.5,32.3,8.8
118,28/04/2008,0.0,7.3,32.6,8.5
119,29/04/2008,0.0,7.0,32.0,9.4
120,30/04/2008,0.0,6.7,30.8,10.1
121,01/05/2008,0.0,7.8,31.3,9.3
122,02/05/2008,0.0,8.0,31.2,8.5
123,03/05/2008,0.0,7.5,32.3,8.2
124,04/05/2008,0.0,7.3,32.1,8.9
125,05/05/2008,0.0,6.7,32.4,10.0
126,06/05/2008,0.0,6.7,31.6,12.7
127,07/05/2008,0.0,5.7,30.7,12.8
128,08/05/2008,0.0,7.2,31.9,12.0
129,09/05/2008,0.0,6.9,32.4,11.4
130,10/05/2008,0.0,7.7,32.7,11.8
131,11/05/2008,0.0,7.2,33.0,11.8
132,12/05/2008,0.0,7.0,33.4,11.9
133,13/05/2008,0.0,7.4,32.9,12.7
134,14/05/2008,0.0,7.0,32.4,13.7
135,15/05/2008,0.0,6.2,31.6,16.1
136,16/05/2008,0.0,6.1,30.6,14.6
137,17/05/2008,0.0,6.6,30.9,13.9
138,18/05/2008,0.3,6.6,30.9,12.1
139,19/05/2008,0.4,5.7,29.9,12.4
140,20/05/2008,0.0,6.3,29.4,12.4
141,21/05/2008,0.0,6.2,29.2,11.7
142,22/05/2008,0.0,5.0,28.3,11.1
143,23/05/2008,0.0,6.0,29.0,9.7
144,24/05/2008,0.0,5.6,30.5,11.1
145,25/05/2008,0.1,6.7,31.3,11.8
146,26/05/2008,0.1,6.4,29.5,13.0
147,27/05/2008,0.7,5.7,30.5,14.9
148,28/05/2008,0.0,6.2,30.9,14.2
149,29/05/2008,0.0,6.2,31.6,15.7
