,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,3.3,28.1,-0.2
1,02/01/2008,0.0,5.8,21.7,-1.2
2,03/01/2008,0.0,4.2,23.1,2.9
3,04/01/2008,0.0,3.7,27.0,2.4
4,05/01/2008,0.0,3.2,27.5,1.8
5,06/01/2008,0.0,4.0,26.7,2.7
6,07/01/2008,0.0,4.1,26.4,2.7
7,08/01/2008,0.0,3.7,26.2,1.2
8,09/01/2008,0.0,3.7,27.0,1.6
9,10/01/2008,0.0,3.7,25.7,1.6
10,11/01/2008,0.0,3.7,25.6,2.8
11,12/01/2008,0.0,3.8,26.6,-1.0
12,13/01/2008,0.0,4.0,25.3,-0.7
13,14/01/2008,0.0,3.8,25.0,4.9
14,15/01/2008,0.0,4.7,24.7,6.4
15,16/01/2008,0.0,3.9,24.8,5.2
16,17/01/2008,0.0,3.6,24.9,0.5
17,18/01/2008,0.0,3.4,22.6,0.2
18,19/01/2008,0.0,3.5,25.0,0.8
19,20/01/2008,0.0,3.5,24.4,3.0
20,21/01/2008,0.0,3.6,25.8,0.3
21,22/01/2008,0.0,3.8,26.4,3.8
22,23/01/2008,0.0,4.5,29.7,5.8
23,24/01/2008,0.0,4.4,29.0,7.2
24,25/01/2008,0.0,3.9,29.0,4.8
25,26/01/2008,0.0,4.6,29.3,7.2
26,27/01/2008,0.0,5.3,30.1,9.6
27,28/01/2008,0.0,4.5,27.9,6.0
28,29/01/2008,0.0,3.8,26.1,4.6
29,30/01/2008,0.0,4.4,26.1,3.3
30,31/01/2008,0.0,6.0,26.4,2.1
31,01/02/2008,0.0,2.9,29.6,-3.6
32,02/02/2008,0.0,3.9,27.7,-3.4
33,03/02/2008,0.0,3.5,29.6,-1.5
34,04/02/2008,0.0,3.5,27.9,-1.7
35,05/02/2008,0.0,3.8,27.8,-0.8
36,06/02/2008,0.0,3.3,27.8,-3.6
37,07/02/2008,0.0,2.9,29.7,-4.5
38,08/02/2008,0.0,3.5,25.1,-0.6
39,09/02/2008,0.0,3.2,22.4,-1.6
40,10/02/2008,0.1,2.4,15.9,-0.4
41,11/02/2008,0.0,2.2,29.6,0.5
42,12/02/2008,0.0,2.2,29.6,-0.5
43,13/02/2008,0.0,2.2,29.7,-1.5
44,14/02/2008,0.0,2.6,29.7,-0.8
45,15/02/2008,0.0,2.5,27.0,-0.8
