,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.2,31.4,6.7
1,02/01/2008,0.0,5.7,28.9,7.5
2,03/01/2008,0.0,5.0,28.0,4.4
3,04/01/2008,0.0,4.5,29.5,3.2
4,05/01/2008,0.0,4.1,29.4,3.7
5,06/01/2008,0.0,4.2,31.5,4.0
6,07/01/2008,0.0,5.0,30.1,3.2
7,08/01/2008,0.0,4.7,28.9,2.6
8,09/01/2008,0.0,3.9,29.0,2.8
9,10/01/2008,0.0,3.7,27.8,3.4
10,11/01/2008,0.0,3.7,27.4,2.7
11,12/01/2008,0.0,4.0,27.5,2.5
12,13/01/2008,0.0,4.0,29.1,1.7
13,14/01/2008,0.0,3.3,25.2,3.3
14,15/01/2008,0.0,4.7,24.4,5.9
15,16/01/2008,0.0,3.8,24.6,5.4
16,17/01/2008,0.0,4.0,23.8,2.7
17,18/01/2008,0.0,3.3,24.3,3.0
18,19/01/2008,0.0,3.4,26.1,3.9
19,20/01/2008,0.0,3.6,25.3,4.8
20,21/01/2008,0.0,3.9,27.8,5.7
21,22/01/2008,0.0,3.8,26.8,5.9
22,23/01/2008,0.0,4.7,31.3,6.1
23,24/01/2008,0.0,4.2,27.5,6.8
24,25/01/2008,0.0,4.0,30.0,7.4
25,26/01/2008,0.0,3.8,30.0,7.7
26,27/01/2008,0.0,5.4,34.2,7.6
27,28/01/2008,0.0,3.8,30.9,6.6
28,29/01/2008,0.0,4.6,30.1,5.6
29,30/01/2008,0.0,5.5,28.3,5.9
30,31/01/2008,0.0,4.8,29.3,5.6
31,01/02/2008,0.0,4.2,28.7,7.3
32,02/02/2008,0.0,4.9,29.0,6.6
33,03/02/2008,0.0,4.2,29.0,6.6
34,04/02/2008,0.0,5.2,29.4,6.6
35,05/02/2008,0.0,4.7,29.2,5.8
36,06/02/2008,0.0,5.1,29.0,6.0
37,07/02/2008,0.0,4.6,28.5,6.9
38,08/02/2008,0.0,4.3,29.2,7.9
39,09/02/2008,0.0,4.6,29.1,7.6
40,10/02/2008,0.0,4.8,30.0,7.6
41,11/02/2008,0.0,5.1,29.8,7.9
42,12/02/2008,0.0,3.9,28.7,7.9
43,13/02/2008,0.0,6.0,29.4,5.4
44,14/02/2008,0.0,5.2,29.3,5.3
45,15/02/2008,0.0,5.3,30.3,4.7
46,16/02/2008,0.0,5.3,30.9,5.2
47,17/02/2008,0.0,6.8,31.5,5.6
48,18/02/2008,0.0,5.7,30.3,6.3
49,19/02/2008,0.0,5.7,30.3,4.8
50,20/02/2008,0.0,5.6,30.2,4.7
51,21/02/2008,0.0,5.7,30.4,5.0
52,22/02/2008,0.0,5.4,31.7,6.5
53,23/02/2008,0.0,4.9,32.8,6.8
54,24/02/2008,0.0,4.6,35.0,6.9
55,25/02/2008,0.0,5.8,33.2,8.4
56,26/02/2008,0.0,7.0,33.3,6.9
57,27/02/2008,0.0,4.7,32.4,6.2
58,28/02/2008,0.0,6.1,31.6,7.6
59,29/02/2008,0.0,6.0,30.6,6.5
60,01/03/2008,0.0,5.7,32.0,6.6
61,02/03/2008,0.0,5.6,32.5,8.0
62,03/03/2008,0.0,6.0,31.7,5.2
63,04/03/2008,0.0,6.1,31.1,6.2
64,05/03/2008,0.0,6.7,31.1,7.4
65,06/03/2008,0.0,5.1,30.2,5.0
66,07/03/2008,0.0,6.2,29.3,4.5
67,08/03/2008,0.0,6.1,30.4,3.2
68,09/03/2008,0.0,6.9,28.6,5.7
69,10/03/2008,0.0,6.2,29.5,3.6
70,11/03/2008,0.0,4.7,30.5,5.4
71,12/03/2008,0.0,7.7,32.1,6.9
72,13/03/2008,0.0,6.8,31.8,7.2
73,14/03/2008,0.0,6.5,31.5,6.0
74,15/03/2008,0.0,8.3,32.1,6.0
75,16/03/2008,0.0,7.0,31.9,6.8
76,17/03/2008,0.0,6.9,30.3,7.0
77,18/03/2008,0.0,8.3,28.8,6.9
78,19/03/2008,0.0,6.7,31.1,5.1
79,20/03/2008,0.0,6.4,31.3,7.0
80,21/03/2008,0.0,7.4,31.9,8.8
81,22/03/2008,0.0,5.2,32.5,9.2
82,23/03/2008,0.0,6.9,32.2,8.1
83,24/03/2008,0.0,6.9,31.2,7.6
84,25/03/2008,0.0,5.6,31.0,8.5
85,26/03/2008,0.0,6.9,31.9,9.8
