,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.6,31.5,9.6
1,02/01/2008,0.0,5.0,28.0,10.8
2,03/01/2008,0.0,4.5,27.4,7.9
3,04/01/2008,0.0,4.1,29.0,6.0
4,05/01/2008,0.0,3.1,30.2,6.7
5,06/01/2008,0.0,4.1,31.0,7.7
6,07/01/2008,0.0,3.3,31.9,6.6
7,08/01/2008,0.0,3.8,31.6,5.1
8,09/01/2008,0.0,3.8,31.3,4.5
9,10/01/2008,0.0,3.9,32.2,5.2
10,11/01/2008,0.0,3.6,29.6,5.2
11,12/01/2008,0.0,4.1,29.9,4.0
12,13/01/2008,0.0,4.1,30.3,4.8
13,14/01/2008,0.0,3.5,29.4,5.1
14,15/01/2008,0.0,3.3,28.1,8.4
15,16/01/2008,0.0,3.9,29.0,7.1
16,17/01/2008,0.0,3.2,27.8,7.2
17,18/01/2008,0.0,3.5,28.3,7.6
18,19/01/2008,0.0,3.5,31.5,8.7
19,20/01/2008,0.0,3.6,29.4,8.3
20,21/01/2008,0.0,4.3,30.9,8.1
21,22/01/2008,0.0,3.0,31.3,8.4
22,23/01/2008,0.0,3.1,34.7,8.7
23,24/01/2008,0.0,3.6,32.8,9.0
24,25/01/2008,0.0,4.0,32.3,9.5
25,26/01/2008,0.0,4.4,33.0,10.6
26,27/01/2008,0.0,4.3,32.7,10.8
27,28/01/2008,0.0,3.5,32.7,9.8
28,29/01/2008,0.0,4.1,32.9,9.6
29,30/01/2008,0.0,4.3,31.5,9.7
30,31/01/2008,0.0,5.0,31.9,8.1
31,01/02/2008,0.0,3.2,26.9,5.4
32,02/02/2008,0.0,3.6,27.7,5.2
33,03/02/2008,0.0,4.2,27.1,5.4
34,04/02/2008,0.0,3.6,27.3,4.1
35,05/02/2008,0.0,4.2,26.5,4.0
36,06/02/2008,0.0,3.7,26.7,3.9
37,07/02/2008,0.0,3.7,27.9,4.0
38,08/02/2008,0.0,3.6,27.3,6.6
39,09/02/2008,0.3,3.2,28.5,8.2
40,10/02/2008,0.0,3.3,26.8,8.8
41,11/02/2008,0.0,2.9,27.2,8.0
42,12/02/2008,0.0,4.0,26.3,5.8
43,13/02/2008,0.0,3.9,27.5,4.5
44,14/02/2008,0.0,5.0,26.8,3.6
45,15/02/2008,0.0,5.9,28.2,3.5
46,16/02/2008,0.0,4.9,29.8,4.0
47,17/02/2008,0.0,5.1,29.1,4.4
48,18/02/2008,0.0,5.7,25.4,4.5
49,19/02/2008,0.0,4.7,27.4,3.6
50,20/02/2008,0.0,5.2,28.2,3.0
51,21/02/2008,0.0,5.1,28.4,3.7
52,22/02/2008,0.0,4.6,29.9,4.7
53,23/02/2008,0.0,5.9,30.3,5.6
54,24/02/2008,0.0,5.9,32.3,6.5
55,25/02/2008,0.0,5.8,29.5,7.2
56,26/02/2008,0.0,5.8,30.0,4.8
57,27/02/2008,0.0,5.5,29.4,4.8
58,28/02/2008,0.0,5.8,27.2,6.0
59,29/02/2008,0.0,5.3,28.0,5.0
60,01/03/2008,0.0,5.7,30.0,5.8
61,02/03/2008,0.0,5.2,28.4,6.0
62,03/03/2008,0.0,6.0,27.9,3.8
63,04/03/2008,0.0,4.6,26.7,4.9
64,05/03/2008,0.0,6.4,28.3,4.6
65,06/03/2008,0.0,6.7,27.2,3.4
66,07/03/2008,0.0,5.7,27.5,1.3
67,08/03/2008,0.0,6.9,25.4,1.5
68,09/03/2008,0.0,6.6,26.5,2.6
69,10/03/2008,0.0,5.9,28.0,3.8
70,11/03/2008,0.0,5.7,29.0,5.0
71,12/03/2008,0.0,6.3,29.2,5.6
72,13/03/2008,0.0,6.9,29.0,5.5
73,14/03/2008,0.0,6.5,29.5,4.1
74,15/03/2008,0.0,6.8,29.7,4.0
75,16/03/2008,0.0,6.8,29.3,4.7
76,17/03/2008,0.0,6.2,28.0,4.8
77,18/03/2008,0.0,7.3,26.5,5.6
78,19/03/2008,0.0,6.3,28.7,5.6
79,20/03/2008,0.0,6.4,29.6,5.5
