,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,4.3,29.7,7.6
1,02/01/2008,0.0,3.0,24.4,7.6
2,03/01/2008,0.0,2.7,28.1,7.2
3,04/01/2008,0.0,3.0,29.7,5.2
4,05/01/2008,0.0,3.0,30.0,5.2
5,06/01/2008,0.0,3.3,32.0,6.6
6,07/01/2008,0.0,3.2,31.4,6.1
7,08/01/2008,0.0,3.7,32.0,5.1
8,09/01/2008,0.0,3.5,29.8,5.6
9,10/01/2008,0.0,3.6,31.7,5.4
10,11/01/2008,0.0,3.4,30.3,6.4
11,12/01/2008,0.0,3.2,28.3,6.2
12,13/01/2008,0.0,3.2,32.9,4.3
13,14/01/2008,0.0,3.6,30.2,4.7
14,15/01/2008,0.0,3.2,25.7,8.7
15,16/01/2008,0.0,3.8,25.5,6.1
16,17/01/2008,0.0,3.5,28.5,5.4
17,18/01/2008,0.0,2.2,24.0,8.3
18,19/01/2008,0.5,1.5,26.4,7.7
19,20/01/2008,0.0,2.6,28.1,8.2
20,21/01/2008,0.0,3.2,27.6,7.9
21,22/01/2008,0.0,3.1,29.5,7.9
22,23/01/2008,0.0,3.4,30.4,8.9
23,24/01/2008,0.0,4.0,30.1,9.6
24,25/01/2008,0.0,3.4,30.4,11.2
25,26/01/2008,0.0,3.2,30.6,13.4
26,27/01/2008,0.0,3.7,30.8,10.0
27,28/01/2008,0.0,3.5,29.0,9.6
28,29/01/2008,0.0,3.2,29.5,9.4
29,30/01/2008,0.0,3.8,29.9,8.9
30,31/01/2008,0.0,4.2,25.8,8.6
31,01/02/2008,0.0,4.3,29.7,6.8
32,02/02/2008,0.0,4.3,30.7,5.6
33,03/02/2008,0.0,4.2,30.6,6.1
34,04/02/2008,0.0,4.2,30.6,5.7
35,05/02/2008,0.0,4.7,31.1,5.2
36,06/02/2008,0.0,4.7,31.4,4.9
37,07/02/2008,0.0,3.6,28.7,5.7
38,08/02/2008,0.0,4.2,30.7,6.4
39,09/02/2008,0.0,4.2,31.6,6.3
40,10/02/2008,0.0,3.2,29.2,7.8
41,11/02/2008,0.0,4.5,30.1,10.3
42,12/02/2008,0.0,4.8,30.7,9.3
43,13/02/2008,0.0,4.6,30.8,5.4
44,14/02/2008,0.0,4.6,30.7,5.1
45,15/02/2008,0.0,4.3,31.7,4.1
46,16/02/2008,0.0,4.6,32.0,4.5
47,17/02/2008,0.0,4.1,32.6,4.8
48,18/02/2008,0.0,5.1,33.0,4.8
49,19/02/2008,0.0,5.0,32.5,5.0
50,20/02/2008,0.0,4.6,32.1,4.6
51,21/02/2008,0.0,4.6,32.2,5.6
52,22/02/2008,0.0,5.4,32.4,5.5
53,23/02/2008,0.0,5.1,32.3,5.0
54,24/02/2008,0.0,6.0,34.5,5.6
55,25/02/2008,0.0,5.6,34.0,7.0
56,26/02/2008,0.0,5.3,34.3,6.2
57,27/02/2008,0.0,5.4,33.3,7.5
58,28/02/2008,0.0,5.2,32.8,7.4
59,29/02/2008,0.0,5.1,33.0,6.8
60,01/03/2008,0.0,5.6,33.4,8.2
61,02/03/2008,0.0,5.3,33.2,9.0
62,03/03/2008,0.0,4.8,32.7,6.1
63,04/03/2008,0.0,5.4,32.6,5.0
64,05/03/2008,0.0,5.3,32.2,5.2
65,06/03/2008,0.0,5.7,30.2,3.8
66,07/03/2008,0.0,6.2,29.7,1.6
67,08/03/2008,0.0,6.6,29.7,6.4
68,09/03/2008,0.0,5.7,30.1,3.9
69,10/03/2008,0.0,5.6,31.3,5.0
70,11/03/2008,0.0,5.2,32.5,6.2
71,12/03/2008,0.0,6.6,32.4,6.5
72,13/03/2008,0.0,6.5,32.3,7.1
73,14/03/2008,0.0,6.2,33.4,4.7
74,15/03/2008,0.0,6.0,33.8,5.5
75,16/03/2008,0.0,6.6,33.1,6.1
76,17/03/2008,0.0,6.7,31.2,6.3
77,18/03/2008,0.0,8.4,30.2,8.6
78,19/03/2008,0.0,6.6,31.1,8.1
79,20/03/2008,0.0,6.6,31.8,9.5
80,21/03/2008,0.0,6.8,32.7,8.5
81,22/03/2008,0.0,6.7,32.9,9.0
82,23/03/2008,0.0,6.7,33.9,8.6
83,24/03/2008,0.0,6.8,33.4,8.0
84,25/03/2008,0.0,6.7,33.7,8.5
85,26/03/2008,0.0,6.9,34.2,8.2
86,27/03/2008,0.0,6.9,34.5,7.7
87,28/03/2008,0.0,7.0,35.2,7.5
88,29/03/2008,0.0,7.1,35.7,7.5
89,30/03/2008,0.0,7.0,36.2,7.5
90,31/03/2008,0.0,6.9,36.6,7.5
91,01/04/2008,0.0,7.1,37.5,7.5
92,02/04/2008,0.0,7.4,38.2,9.1
93,03/04/2008,0.3,7.5,37.4,8.9
94,04/04/2008,0.0,7.7,37.4,8.7
95,05/04/2008,0.0,7.0,35.1,9.7
96,06/04/2008,0.0,7.3,35.0,10.6
97,07/04/2008,0.0,7.6,35.4,10.1
98,08/04/2008,0.0,7.9,36.0,8.6
99,09/04/2008,0.0,7.7,36.4,9.8
100,10/04/2008,0.0,7.6,36.0,8.2
101,11/04/2008,0.0,6.9,36.1,8.3
102,12/04/2008,0.0,7.8,36.7,9.4
