,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.1,7.9,27.6,8.9
1,02/01/2008,0.0,8.3,22.4,10.0
2,03/01/2008,0.0,3.1,21.8,6.5
3,04/01/2008,0.0,3.2,24.6,4.4
4,05/01/2008,0.0,4.6,26.8,5.2
5,06/01/2008,0.0,2.4,25.5,11.0
6,07/01/2008,0.0,3.9,26.8,5.0
7,08/01/2008,0.0,4.1,26.8,3.5
8,09/01/2008,0.0,4.1,26.0,3.6
9,10/01/2008,0.0,3.5,26.7,4.2
10,11/01/2008,0.0,3.7,25.1,5.1
11,12/01/2008,0.0,4.8,25.5,2.4
12,13/01/2008,0.0,3.2,28.5,6.2
13,14/01/2008,0.0,3.3,24.9,6.4
14,15/01/2008,0.0,3.6,23.6,7.4
15,16/01/2008,0.0,3.4,23.5,4.2
16,17/01/2008,0.0,3.0,23.3,4.7
17,18/01/2008,0.0,3.0,25.0,5.5
18,19/01/2008,0.0,5.4,28.0,8.3
19,20/01/2008,0.0,6.1,25.8,6.2
20,21/01/2008,0.0,3.5,26.9,5.8
21,22/01/2008,0.0,3.4,27.5,6.2
22,23/01/2008,0.0,4.7,29.7,7.8
23,24/01/2008,0.0,4.4,28.5,8.0
24,25/01/2008,0.0,3.6,27.7,8.5
25,26/01/2008,0.0,4.5,27.7,9.6
26,27/01/2008,0.0,4.6,28.8,9.0
27,28/01/2008,0.0,4.2,28.3,8.0
28,29/01/2008,0.0,4.8,28.7,8.9
29,30/01/2008,0.0,4.7,27.3,8.8
30,31/01/2008,0.0,4.7,27.3,6.6
31,01/02/2008,0.0,4.1,30.0,6.6
32,02/02/2008,0.0,4.4,30.5,6.2
33,03/02/2008,0.0,4.8,31.1,6.4
34,04/02/2008,0.0,4.6,30.8,6.5
35,05/02/2008,0.0,4.7,29.4,5.7
36,06/02/2008,0.0,4.9,30.0,5.5
37,07/02/2008,0.0,4.0,30.1,5.1
38,08/02/2008,0.0,4.5,30.9,7.5
39,09/02/2008,0.0,4.0,31.9,7.1
40,10/02/2008,0.0,3.7,30.9,8.2
41,11/02/2008,0.0,3.8,30.9,7.8
42,12/02/2008,0.0,4.0,30.4,6.4
43,13/02/2008,0.0,5.7,31.4,6.3
44,14/02/2008,0.0,5.7,30.2,4.7
45,15/02/2008,0.0,5.7,31.8,5.0
46,16/02/2008,0.0,5.3,32.6,5.4
47,17/02/2008,0.0,5.7,31.9,5.4
48,18/02/2008,0.0,5.8,20.7,4.7
49,19/02/2008,0.0,5.5,31.1,4.7
50,20/02/2008,0.0,4.9,32.0,4.4
51,21/02/2008,0.0,4.6,31.8,5.3
52,22/02/2008,0.0,4.9,33.3,5.1
53,23/02/2008,0.0,6.8,35.5,5.9
54,24/02/2008,0.0,6.1,34.4,8.8
55,25/02/2008,0.0,6.0,32.4,9.2
56,26/02/2008,0.0,5.9,32.9,6.8
57,27/02/2008,0.0,5.5,32.4,7.1
58,28/02/2008,0.0,5.7,31.1,7.5
59,29/02/2008,0.0,5.8,32.1,6.7
60,01/03/2008,0.0,5.1,33.9,8.4
61,02/03/2008,0.0,5.2,31.9,7.5
62,03/03/2008,0.0,5.2,32.0,7.2
63,04/03/2008,0.0,4.2,29.8,9.4
64,05/03/2008,0.0,6.4,32.9,6.9
65,06/03/2008,0.0,6.3,32.0,5.0
66,07/03/2008,0.0,5.3,31.0,4.4
67,08/03/2008,0.0,7.1,29.5,3.3
68,09/03/2008,0.0,6.8,29.8,4.1
69,10/03/2008,0.0,5.5,31.2,5.6
70,11/03/2008,0.0,5.3,33.7,7.2
71,12/03/2008,0.0,6.3,33.1,7.7
72,13/03/2008,0.0,6.4,32.7,7.8
73,14/03/2008,0.0,6.7,33.5,5.8
74,15/03/2008,0.0,6.9,33.6,5.2
75,16/03/2008,0.0,6.7,32.8,6.0
76,17/03/2008,0.0,6.5,31.0,6.4
77,18/03/2008,0.0,7.8,29.5,6.3
78,19/03/2008,0.0,5.7,33.1,5.7
79,20/03/2008,0.0,6.0,33.8,8.1
80,21/03/2008,0.0,6.3,35.4,8.7
81,22/03/2008,0.0,7.2,35.0,9.8
82,23/03/2008,0.0,6.4,33.8,8.6
83,24/03/2008,0.0,6.1,34.0,8.1
84,25/03/2008,0.0,5.2,33.8,8.9
85,26/03/2008,0.0,6.4,35.3,10.1
86,27/03/2008,0.0,6.2,35.5,10.3
87,28/03/2008,0.0,7.3,34.5,10.4
88,29/03/2008,0.0,6.8,34.0,8.7
89,30/03/2008,0.0,5.8,36.3,8.6
90,31/03/2008,0.0,7.1,38.4,8.0
91,01/04/2008,0.0,7.1,36.2,9.2
92,02/04/2008,0.0,6.8,37.2,9.5
93,03/04/2008,0.0,6.7,38.0,10.3
94,04/04/2008,0.0,6.5,35.6,9.4
95,05/04/2008,0.0,5.9,32.5,11.3
96,06/04/2008,0.0,6.4,32.9,11.6
97,07/04/2008,0.0,6.2,35.5,9.8
98,08/04/2008,0.0,7.0,34.3,10.4
99,09/04/2008,0.0,7.0,34.8,7.9
100,10/04/2008,0.0,6.3,35.2,8.3
101,11/04/2008,0.0,6.0,36.8,9.5
102,12/04/2008,0.0,6.2,37.0,11.4
103,13/04/2008,0.0,5.1,34.0,14.1
104,14/04/2008,0.0,8.0,33.4,14.8
105,15/04/2008,0.0,5.4,35.1,14.1
106,16/04/2008,0.0,6.5,36.3,12.9
107,17/04/2008,0.0,6.9,34.7,9.6
108,18/04/2008,0.0,6.4,38.6,9.0
109,19/04/2008,0.0,7.6,37.5,10.3
110,20/04/2008,0.0,6.8,36.9,10.6
111,21/04/2008,0.0,6.8,38.5,11.4
112,22/04/2008,0.0,7.2,38.8,12.2
113,23/04/2008,0.0,7.1,37.2,13.6
114,24/04/2008,0.0,7.9,35.8,13.3
115,25/04/2008,0.0,7.1,39.6,10.3
116,26/04/2008,0.0,6.2,38.0,11.0
117,27/04/2008,0.0,6.1,37.5,12.0
118,28/04/2008,0.0,5.8,37.4,13.4
119,29/04/2008,0.0,7.5,35.6,13.8
120,30/04/2008,0.0,6.9,34.6,12.1
121,01/05/2008,0.0,6.7,36.2,9.9
122,02/05/2008,0.0,7.0,36.1,10.0
123,03/05/2008,0.0,7.1,37.8,10.9
124,04/05/2008,0.0,7.0,37.4,12.5
125,05/05/2008,0.0,6.7,36.9,13.7
126,06/05/2008,0.0,6.3,35.8,15.0
127,07/05/2008,0.0,4.6,33.9,14.8
128,08/05/2008,0.0,6.3,35.6,13.2
129,09/05/2008,0.0,6.3,35.9,13.6
130,10/05/2008,0.0,5.6,36.3,14.9
131,11/05/2008,0.0,6.0,37.1,15.9
132,12/05/2008,0.0,6.5,36.8,17.0
133,13/05/2008,0.0,7.4,35.6,13.6
134,14/05/2008,0.0,6.1,39.0,13.1
135,15/05/2008,0.0,6.5,36.1,14.7
136,16/05/2008,0.0,6.1,35.8,14.2
137,17/05/2008,0.0,5.7,35.1,13.4
138,18/05/2008,0.0,5.7,35.4,12.1
139,19/05/2008,0.0,5.6,34.5,11.8
140,20/05/2008,0.0,5.0,35.1,12.8
141,21/05/2008,0.0,5.6,34.2,13.7
142,22/05/2008,0.0,6.0,31.5,13.2
143,23/05/2008,0.0,5.8,34.3,9.3
144,24/05/2008,0.0,5.6,36.7,10.6
145,25/05/2008,0.0,6.5,36.0,13.1
146,26/05/2008,0.0,6.4,36.8,14.8
147,27/05/2008,0.4,4.0,34.6,14.9
148,28/05/2008,0.0,4.5,35.6,15.9
149,29/05/2008,0.0,6.4,36.9,16.5
150,30/05/2008,0.1,4.6,35.3,14.8
151,31/05/2008,4.2,2.6,38.0,15.4
