,FECHA,PRECIP(mm),EVAP(mm),TMAX(°C),TMIN(°C)
0,01/01/2008,0.0,5.0,24.9,8.0
1,02/01/2008,0.0,4.7,19.3,7.4
2,03/01/2008,0.0,2.8,20.0,3.2
3,04/01/2008,0.0,3.5,21.9,3.8
4,05/01/2008,0.0,3.1,24.2,4.6
5,06/01/2008,0.0,3.5,25.2,5.8
6,07/01/2008,0.0,4.1,25.2,6.8
7,08/01/2008,0.0,4.0,24.7,5.7
8,09/01/2008,0.0,4.4,25.8,6.0
9,10/01/2008,0.0,3.7,24.4,6.1
10,11/01/2008,0.0,3.4,24.0,6.2
11,12/01/2008,0.0,3.6,24.1,6.4
12,13/01/2008,0.0,3.4,23.7,5.7
13,14/01/2008,0.0,4.7,24.3,5.6
14,15/01/2008,0.0,3.7,23.3,9.1
15,16/01/2008,0.0,3.3,22.4,6.4
16,17/01/2008,0.0,2.8,22.8,6.2
17,18/01/2008,0.0,2.6,22.6,6.6
18,19/01/2008,0.0,2.9,25.1,7.3
19,20/01/2008,0.0,2.8,21.2,7.3
20,21/01/2008,0.0,3.3,28.2,7.4
21,22/01/2008,0.0,3.7,25.3,7.1
22,23/01/2008,0.0,4.0,26.8,7.7
23,24/01/2008,0.0,3.8,26.9,9.4
24,25/01/2008,0.0,3.6,26.5,9.9
25,26/01/2008,0.0,4.1,26.7,9.8
26,27/01/2008,0.0,4.4,26.7,10.3
27,28/01/2008,0.0,4.3,26.4,9.7
28,29/01/2008,0.0,3.6,25.4,9.1
29,30/01/2008,0.0,4.5,27.2,9.1
30,31/01/2008,0.0,4.3,26.2,8.1
31,01/02/2008,0.0,4.6,26.7,6.6
32,02/02/2008,0.0,4.2,26.8,7.3
33,03/02/2008,0.0,4.5,26.1,6.9
34,04/02/2008,0.0,4.6,26.4,7.0
35,05/02/2008,0.0,4.8,27.5,6.8
36,06/02/2008,0.0,4.0,26.6,6.7
37,07/02/2008,0.0,3.5,25.9,6.5
38,08/02/2008,1.0,4.0,26.0,6.8
39,09/02/2008,0.0,4.2,26.9,6.6
40,10/02/2008,0.0,4.2,25.9,7.1
41,11/02/2008,0.4,4.4,25.5,7.1
42,12/02/2008,0.0,5.2,26.5,6.8
43,13/02/2008,0.0,5.0,26.5,6.9
44,14/02/2008,0.0,5.0,26.7,7.0
45,15/02/2008,0.0,6.1,27.0,6.5
46,16/02/2008,0.0,5.4,27.8,6.5
47,17/02/2008,0.0,5.6,27.6,7.0
48,18/02/2008,0.0,5.5,28.2,6.6
49,19/02/2008,0.0,5.3,28.1,7.3
50,20/02/2008,0.0,5.5,27.3,7.3
51,21/02/2008,0.0,5.1,27.3,7.1
52,22/02/2008,0.0,5.5,28.0,6.7
53,23/02/2008,0.0,5.8,28.7,7.1
54,24/02/2008,0.0,5.9,29.7,8.2
